,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2,k__Bacteria,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales,k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales,k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales,k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales],k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales,0.0,0.12587391998081396,-0.20259201518362793,-0.0715587825282652,0.0,-0.04320783118429537,0.0,0.0,0.0,0.0,0.793637753205979,0.0,0.0009893885033311713,0.0178044906442739,-0.0017382252518259671,0.05561455538520666,0.07956671371322126,0.08221284801658844,0.03145184995221261,0.0,-0.04888988860770449,0.0,0.0,-0.011444597742722109,0.0,-0.002261093599014464,0.0,0.0,0.024094919653886434,0.0,-0.8096545871381425,0.0,0.11095935123072516,0.0,0.0,-0.0015131205803575454,-0.0014475487221982757,-0.2421787797442602,-0.26509201433958895,0.0
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales,0.013167252592670839,-0.1739471219826228,-0.0011210897494179635,0.0006609002168164905,0.0007917224695236591,0.0024180501862283497,0.0,-0.04471504551233706,0.0008073118026811116,0.17953628441521713,-0.00022318637998012319,0.5807128335875702,-0.00040254667178291466,-0.0012707423123773662,0.00046680369206536764,0.0007580169246823982,0.004133970295566705,-0.11479995906660974,0.0,0.0,0.0,0.0,-0.09195220765022782,0.006093968817022443,0.12476506513266426,0.0006965012127048879,0.0,0.21296970716749103,-0.0008995110026909077,-0.0007967934599119395,0.2964326979498843,-0.48521749257479274,0.0013197803181881312,0.0,-0.0007749071590652383,-0.00012018954829134684,0.08588155803923256,0.0007321198273335696,0.0016046633137253522,-0.0018986237698273832
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales,-0.0016389299128517802,0.01439684154848654,-0.001798569567901732,0.0007094461766047512,-0.0016389299128517724,-0.0011330260114101889,0.0,0.0,-0.001638929912851791,-0.004124812305392923,-0.2035360983700054,-0.0016389299128517737,0.0005600114840956958,0.0,-0.001981167525089944,-0.0036426081150683094,0.3575373032942907,0.03324502659438241,-0.15318660367401174,0.0,0.00292695301013805,0.0,0.019182751261769472,-0.12302998133287571,0.0,0.0,0.0,0.0,0.0,-0.06830582597844917,0.0,0.0,-0.43416338928201575,0.06899387076467801,0.0,-0.002060666580933609,-0.0005037605328982225,0.0024076385095247363,0.0,0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales,-0.0004866435742743861,-0.00031087308275264244,0.0015585329833354951,0.0008260604916184972,-0.00044497771013231893,0.0006289991115200593,0.0008585958137867047,-0.04746185045963792,-0.0003485249280042843,-0.0009086352414276545,8.923765339958625e-05,-0.0004604837861723843,0.001967978175524041,-0.03725739043709155,-0.0007394318072730981,0.0008341265799252549,0.0,0.0012512788000789551,0.33091822521846814,-0.0011901436663977957,0.0,0.0,0.0,0.3062339129337843,-0.07022631721083289,-0.0017183985219809818,0.0794574587615585,0.0003574181326334796,0.0019284908713183158,-0.0006523889032452298,0.0034193525909291737,0.0,-0.00300579999114013,-0.4768358642580137,0.0,-0.00031091908241714954,-0.0010325262914379868,-0.00018486079979155838,-0.26857084695769384,-0.031980746842768214
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales,5.491571956436274e-05,0.0,0.0005495804518393559,-0.0010892520573897906,0.0028203279598547483,0.000359905937374053,-0.024765657622468646,0.0,0.14004635156516687,0.00433269864959437,0.00020859065244827464,8.315885046543102e-05,0.0002745007026423333,0.0,0.0019777893092985223,0.0023174533326396547,-0.0010933707915121182,-0.0011938358756346508,-0.0012357265621293944,0.03370245459386955,0.0,0.0,0.0,-0.00015675894646552068,-0.0005975472751401844,0.7222288239537725,0.10551621975800915,0.0,0.009011138842639597,0.40207556065424227,0.024864806220045305,0.0,1.9362598818629135e-05,-0.0012908267082889322,-0.4258822017628988,-0.0007725893416440382,-9.216195794795897e-05,0.058857011209596063,-0.0003956246803295063,-0.002162465739467222
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales,0.0,0.0,0.0,0.3398250711951503,0.000898617304730149,0.0,0.0,0.0,0.0009065553707157503,0.0,-0.00029817953448873683,0.0,0.07717976149582718,0.0,0.0001045599961782499,0.0,0.0,0.12016623420205716,0.08671367237803157,0.0,0.0,0.0,0.0,0.0,-0.00208061439919062,0.0,0.0663645599930473,0.014976081062031878,0.029536842933456004,0.0,-0.0005112316039348012,0.0,0.0,0.0,0.0,-1.031455312686547,0.0,-0.000943075749989074,0.015564468082346784,0.0
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales],-0.0005744861802333525,0.0,0.20934195216567258,-0.0011011538277103522,-0.004222165776683863,0.0,0.0,0.0,-0.038050987932740664,0.0,-0.6682721065243478,-0.0005831733432824211,-0.5656252057693846,-0.09057151679563703,-1.2323425988551329,0.0,0.0,-0.07550291068718276,0.0,0.04334801899168526,0.0,0.0,0.0,-0.010222220159935756,0.0,-0.0006595255351822907,0.012849724181359441,0.05253644174626855,0.00288268536655993,-0.041425095078568466,0.0017771597599148031,0.0,0.28337051970568083,0.0,0.0,0.0,0.9726230926115024,-0.3146888511410848,0.3538160901371378,0.0
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales,-0.14310339672540429,0.0,0.0,-0.0022842712137752805,-0.14310339672540473,0.0,0.06297978807679286,0.0,-0.14310339672541106,0.0,0.0,-0.14310339672541497,-0.0028677615906439287,0.0,-0.0008383692861587176,0.0,0.0,0.0,-0.03931375368489208,0.029453167492267042,0.0,0.0,0.0,0.0006889384323473506,-0.0035941952683771457,0.0,0.04969284904626887,0.07606902635071085,0.05197438997217216,0.0,0.0,0.0,-0.0015592725849202925,0.0,0.0035567075975997814,0.0,0.0007491574921337005,0.25291832885118215,-0.0009305363274188012,0.0
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39,4.9640748946589106e-05,0.05830298731065371,0.0,-0.0011677151152116561,-0.007548539079414126,0.0,0.0,0.0,-0.012519517120143006,0.0,-0.12000477274782967,6.444077712506276e-05,0.0007022958214897701,0.0,-0.00037689954116726864,0.0020434057812097266,0.0,0.02550236979143226,0.0,-0.00468542744133047,0.0,-0.08895372497110571,0.0,-0.22620721513839678,0.058701338796705686,0.0,0.0,-0.01865475267775174,0.0,0.0,0.0,0.0,0.061237329078250025,0.0,-0.06116619059320414,0.0,0.0,-0.11466806344369113,-0.7266149426098779,0.0
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales,-0.0005557179032436763,-0.003304126774038936,0.0003291937125311807,-0.00020436287213760818,-0.0016982822232058398,-0.0005622705570413729,0.027628175684412434,0.0,-0.0016909591146768547,0.0,0.0,-0.0005557179032436594,0.0003193296657728733,0.000726508019077409,-0.18141712374008445,0.00036930309641581497,0.00028728058514142034,-0.0007920644905872065,-0.0019482535298039768,0.0,0.0007659276033689886,0.12469628442982374,-0.03598921666324976,0.0007405718468778547,0.0037688741556461893,-0.0007146266372833676,-0.002426366937969533,0.0,-0.00018574300259836945,0.00012888273673437726,-0.0008966884344154409,0.0022926717066602464,0.007263688012130814,0.0,0.0006495794919660444,-0.05973713169518409,-0.0010808314784908526,0.001690199826817706,0.0004270589866916432,-0.3405454344239463
