#SampleID,participant number,serial number,time point
DD144,Plant7,-1,-1
DD145,Plant1,2,2
DD146,Plant4,-2,-2
DD147,Plant6,0,0
DD148,Plant6,8,8
DD149,Plant4,8,8
DD150,Plant1,8,8
DD151,Plant3,8,8
DD152,Plant8,10,10
DD153,Plant6,10,10
DD154,Plant2,2,2
DD155,Plant8,8,8
DD157,Plant10,10,10
DD160,Plant4,10,10
DD161,Plant9,9,9
DD162,Plant3,9,9
DD164,Animal11,6,6
DD167,Plant4,5,5
DD168,Plant10,4,4
DD169,Plant7,7,7
ID3,Animal3,3,3
ID4,Animal6,-4,-4
ID5,Animal1,2,2
ID6,Animal5,0,0
ID7,Animal4,1,1
ID8,Animal11,-3,-3
ID9,Animal6,2,2
ID16,Animal4,6,6
ID17,Animal6,3,3
ID18,Animal8,1,1
ID21,Animal10,6,6
ID25,Animal6,4,4
ID27,Animal8,5,5
ID28,Animal6,5,5
ID29,Animal9,7,7
ID30,Animal8,7,7
ID31,Animal11,8,8
ID32,Animal4,5,5
ID33,Animal5,-3,-3
ID34,Animal4,8,8
ID35,Animal8,6,6
ID36,Animal11,5,5
ID37,Animal1,6,6
ID38,Animal5,7,7
ID39,Animal8,0,0
ID40,Animal11,7,7
ID42,Animal8,-1,-1
ID43,Animal2,10,10
ID44,Animal8,2,2
ID45,Animal10,2,2
ID46,Animal1,0,0
ID47,Animal2,-4,-4
ID49,Animal4,-1,-1
ID50,Animal9,10,10
ID51,Animal9,9,9
ID52,Animal1,5,5
ID53,Animal11,-4,-4
ID54,Animal2,0,0
ID55,Animal2,1,1
ID56,Animal2,2,2
ID57,Animal5,3,3
ID58,Animal1,-1,-1
ID59,Animal9,-2,-2
ID60,Animal5,9,9
ID61,Animal10,4,4
ID63,Animal1,-4,-4
ID64,Animal4,0,0
ID83,Animal5,1,1
ID85,Animal10,1,1
ID86,Animal5,-2,-2
ID87,Animal3,-1,-1
ID89,Animal10,0,0
ID90,Animal3,9,9
ID91,Animal11,1,1
ID92,Animal1,-3,-3
ID95,Animal10,-4,-4
ID97,Animal6,7,7
ID98,Animal4,4,4
ID99,Animal9,2,2
ID100,Animal1,4,4
ID103,Animal5,-4,-4
ID104,Animal2,9,9
ID106,Animal2,-1,-1
ID109,Animal4,7,7
ID110,Animal3,5,5
ID112,Animal9,3,3
ID113,Animal10,9,9
ID115,Animal2,8,8
ID117,Animal9,5,5
ID120,Animal2,6,6
ID123,Animal2,7,7
ID124,Animal1,10,10
ID125,Animal6,9,9
ID127,Animal9,0,0
ID128,Animal10,10,10
ID129,Animal8,9,9
ID131,Animal11,9,9
ID132,Animal2,-2,-2
ID133,Animal8,4,4
ID134,Animal8,10,10
ID135,Animal6,-1,-1
ID136,Animal6,0,0
ID138,Animal4,3,3
ID140,Animal6,6,6
ID153,Animal5,2,2
ID155,Animal2,-3,-3
ID156,Animal6,1,1
ID167,Animal8,-3,-3
ID188,Animal8,-4,-4
ID205,Animal9,1,1
ID209,Animal10,3,3
ID210,Animal8,3,3
ID211,Animal8,-2,-2
ID214,Animal2,5,5
ID216,Animal3,-4,-4
ID217,Animal2,4,4
ID220,Animal3,7,7
ID221,Animal10,8,8
ID225,Animal1,7,7
ID230,Animal6,8,8
ID231,Animal11,10,10
ID235,Animal9,-4,-4
ID237,Animal1,1,1
ID238,Animal6,-2,-2
ID239,Animal4,-4,-4
ID240,Animal4,-3,-3
ID241,Animal5,6,6
ID254,Animal5,4,4
ID255,Animal3,6,6
ID256,Animal10,-1,-1
ID257,Animal11,0,0
ID258,Animal4,-2,-2
ID259,Animal1,9,9
ID260,Animal1,8,8
ID261,Animal10,-2,-2
ID262,Animal3,8,8
ID263,Animal4,10,10
ID264,Animal5,5,5
ID265,Animal1,-2,-2
ID266,Animal8,8,8
