#OTU ID		12A	12C	12D	15A	15B	17A	17B	17C	18A	18B	18C	18D	19A	19B	19C	19D	21A	21B	21D	22B	22C	22D	23A	23B	23C	23D	24A	24B	24C	24D	25B	25C	25D	26A	26B	26C	26D	28A	28B	28C	28D	2A	2B	2C	2D	31A	31B	31C	31D	32B	32C	34B	34C	35D	38B	38C	38D	39A	39B	39C	3A	3B	40A	40B	40C	40D	41A	41B	41C	41D	42A	42B	42D	45A	45B	45D	46A	46B	46C	46D	47A	47B	47C	47D	4A	4B	4C	4D	51D	52B	52C	52D	53A	53B	53C	53D	54A	54B	54D	57A	57B	57C	57D	58A	58B	58C	58D	59A	59B	59C	59D	5A	5B	5C	5D	61A	61B	61C	61D	63A	63B	63C	63D	64A	64B	64C	64D	65A	65B	65C	65D	66A	66B	66C	66D	67A	67B	67C	67D	68A	68B	68C	68D	69A	69B	69C	69D	6A	6B	6C	6D	72A	72B	72C	72D	73A	73C	73D	74A	74B	74C	74D	76A	76B	76C	76D	78A	78B	78C	78D	7A	7B	7C	81B	81C	81D	82A	82B	82C	82D	85A	85B	85C	85D	87A	87C	89A	89B	89C	89D	8A	8B	8C	8D	90A	90B	90D	91A	91B	91C	91D	93A	93B	93C	93D	94A	94B	94D	95A	95B	95C	95D	97A	97B	97C	97D	98A	98B	98C	98D	99A	99B	99C	9A	9B	9C	9D
e511d4831d21b91b4c6273f8384df9fa	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	64	0	6	0	0	0	78	0	44	5	13	29	0	0	0	0	129	204	0	82	261	6314	0	0	0	0	13277	14573	102	21	0	20	23	36	5210	0	106	4049	330	90	99	442	312	4872	241	259	0	0	0	0	26	30	0	236	0	0	16	0	0	0	1048	100	112	20	59	1850	6	0	0	73	0	0	0	0	0	7	10	9	3179	337	0	6	0	0	0	0	0	0	0	275	44	16514	18	0	0	20	0	0	0	0	0	0	194	236	805	35	0	15	0	0	25	140	11	0	0	792	0	0	4	121	159	66	0	0	0	0	36	681	46	0	19	0	756	3574	1066	0	0	6	0	0	0	0	0	0	19	0	8	82	29	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	254	0	0	0	0	60	0	23	0	0	0	0	7510	6932	150	752	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	25	0	0

ebe81204b251765913210f79bf89c750	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__	11	0	0	0	13	0	0	0	14	0	0	0	0	0	0	950	0	0	34	0	21	2025	0	0	0	0	212	103	0	0	0	0	10	0	618	0	0	0	21	0	0	0	0	0	0	10	0	0	0	0	0	747	92	24	0	0	0	0	46	38	0	0	56	0	0	0	17954	0	0	0	714	52	24	0	43	105	0	0	0	27	0	0	0	39	0	0	0	0	420	809	4382	3322	0	0	387	407	4567	15	0	0	0	0	71	4446	0	3859	571	64	0	0	156	412	0	0	9	0	0	0	0	4665	31	8896	1241	183	0	14	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	102	907	3975	1859	532	691	0	0	0	0	0	0	74	0	0	0	0	0	229	0	0	813	30	0	1753	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	3863	474	1315	0	0	0	0	0	0	0

1c8a08d6cbac2faa4bfeffdb3dd7948b	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__	9	11	0	0	0	0	0	0	14	4	9	4	0	0	0	0	0	0	5	2319	645	1115	6	0	0	0	584	401	18	0	13	6	7	464	439	215	22	4	0	0	3	0	2	0	0	792	3838	710	129	46	71	644	231	19	0	0	0	45	124	161	0	0	5	0	4	8	0	0	0	0	96	62	56	39	41	2029	0	0	0	0	0	9	0	15	0	0	0	0	53	11	0	0	830	1169	27	2269	31	0	672	0	0	0	0	57	13	0	0	0	0	0	1295	18	3	0	0	0	0	0	0	41	0	0	0	0	0	13	498	0	0	4	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	465	3742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	1230	0	0	0	0	5	0	0	0	6231	434	591	3252	1627	1542	1121	3363	1452	2298	7160	0	0	0	143	43	5	8	0	0	0	0	4769	3306	1846	2433	0	0	0	0	0	3	0

664c097e97e2b82ffa5922491600982e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__ruminis	11	209	10	66	0	420	1147	1976	0	0	20	0	0	0	0	0	0	0	0	612	755	623	0	0	15	41	74	43	204	475	0	0	0	46	44	177	139	664	230	16	465	85	121	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	23	36	37	0	0	0	31	0	0	0	0	23	5159	0	0	0	511	0	0	0	10	0	0	0	0	23	0	0	481	0	0	0	0	56	0	0	278	123	140	1166	0	0	0	284	3190	0	274	474	5	1218	129	142	0	0	0	0	0	0	0	727	1555	386	1395	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	16	0	277	82	57	0	0	0	0	10618	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	624	0	0	0	60	1449	0	0	5	0	0	0	331	296	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2115	4581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

8a9543a61966a30974a78b92e1c4cbd2	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens	10	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	68	92	650	0	0	0	0	117	155	4	737	353	3	129	0	0	0	232	185	1087	707	419	2131	701	836	321	795	9	256	10	0	0	0	0	3	70	62	20	36	0	0	76	75	85	0	0	20	10	22	3955	569	836	128	897	0	28	11	0	0	5994	0	0	4	15	0	7	0	5	0	0	0	0	490	595	27	119	0	0	0	0	1094	53	674	8	0	0	11	165	5	171	0	1574	74	943	1786	58	0	0	0	0	0	88	79	88	2	196	0	470	839	1411	745	0	0	67	221	0	6	5	2	3	0	0	3	0	3	0	0	0	2	0	0	5	0	171	37	122	18	0	0	0	0	2430	0	0	0	0	0	0	0	0	2	0	164	408	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	51	0	0	2	0	0	0	0	0	90	184	367	233	197	4031	3919	65	74	34	77	0	0	3	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0

1b1f72b46cc15e1f1dd2097b9ec04a0c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	20	15	22	0	0	0	19	0	0	0	0	0	0	0	0	96	48	118	0	0	0	0	0	38	0	0	395	95	0	49	19	0	0	0	0	22	56	0	0	0	0	0	0	130	0	0	0	0	0	15	22	19	0	0	0	0	0	32	268	10622	23596	911	0	0	0	0	20	48	0	0	937	181	0	0	0	0	0	0	0	0	0	254	0	22	0	0	0	0	2231	0	0	0	0	887	27	0	0	131	0	19	0	0	0	0	1078	359	468	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0	0	0	1848	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	43	45	0	0	5	0	0	0	0	16	76	0	567	0	0	12	0	0	0	0	0	0	0	0	12	0	623	561	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0

4a240c3c0ab665a8a582e7ffc8ef4906	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__	95	16	0	0	0	5548	14050	2278	891	38	87	0	75	144	32	24	1452	1803	40	0	3	91	130	32	7	11	29	23	60	3	0	0	0	0	5	0	0	0	57	0	0	66	10	73	0	258	0	0	0	0	0	644	63	58	9	0	33	107	44	29	61	0	0	0	0	10	0	0	0	0	1169	55	20	28	0	0	61	626	1160	2151	0	0	0	0	225	0	0	0	724	33	248	258	0	0	78	4	36	0	7	0	24	30	328	71	9	12	15	0	0	0	38	9	0	0	0	0	13	0	0	66	0	21	5	0	11	0	20	0	325	0	0	0	0	0	0	112	31	0	0	0	0	0	0	0	0	0	17	0	0	19	20	0	0	27	173	0	0	0	41	17	77	43	0	0	0	113	0	0	0	0	15	13	0	0	0	0	20	33	4	0	0	0	4	0	9	304	25	93	0	21	13	0	0	0	0	0	0	0	11	0	0	0	0	0	0	615	1909	4	182	385	0	6	64	52	61	9	0	821	15	65	2234	1617	157	0	0	0	0

c523d7cb3d8bc2ddd0de8ad16a91d0f5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__alactolyticus	1664	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	1209	842	451	1315	0	0	0	0	0	0	0	0	0	0	265	0	176	0	0	364	1929	131	0	0	141	109	0	35	0	32	5192	0	0	341	0	0	0	0	74	241	174	157	188	0	0	45	386	177	767	99	794	473	1953	1106	0	354	0	384	0	0	220	0	96	673	949	112	0	0	19	382	0	30	0	52	26	551	315	147	0	0	0	81	0	29	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	37	7517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1496	0	0	0	0	0	0	0	0	2030	0	0	0	0	0	0	0	0	0	0	0	0	5209	1539	167	0	0	0	0	124	0	616	251	0	0	0	0	0	0	0	0	0	130	0

2cd118377e053c5c75d4890a5cd1a779	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	19	1076	66	100	447	0	17	95	47	75	22	9	147	19	0	3	310	415	104	76	45	175	8	0	0	0	0	0	0	0	0	31	0	0	6	6	0	0	94	0	0	14	16	75	35	149	0	0	0	0	0	75	103	228	0	8	4	36	47	60	249	317	19	0	0	12	13	6	9	0	36	149	47	0	0	0	189	496	9	0	0	21	0	245	190	1573	50	0	11	6	0	0	15	0	0	8	1356	0	0	0	0	0	0	1362	55	0	0	5	0	0	0	170	2264	53	11	0	6	0	0	1731	36	10	0	15	35	0	0	0	36	0	0	0	0	0	100	0	230	391	29	406	1051	0	0	0	289	0	275	113	54	127	0	15	53	0	0	0	0	155	305	180	233	81	0	38	27	0	57	234	0	0	50	37	0	22	10	128	13	16	68	0	10703	1331	0	14	13	0	10	8	0	11	0	0	307	12	0	0	0	0	0	0	0	59	854	330	583	338	0	138	9	0	7	22	0	0	0	0	0	0	0	0	25	12	1296	1185	287	2862	343

e2a44a4ff90d4b0aaff7201b72dac500	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	12	49	2	19	14	0	0	6	0	0	206	31	28	44	0	136	0	6	471	26	0	152	0	0	186	0	9	0	9	44	0	0	0	195	20	60	133	30	54	0	56	17	10	38	115	156	23	0	0	2	304	1112	625	168	0	0	8	360	1891	333	819	512	17	6	22	16	14	0	0	50	0	299	407	4795	2021	14	245	1904	0	19	0	0	0	13	21	0	25	0	0	15	0	530	0	0	29	34	0	0	11	0	65	59	1883	35	593	20	547	0	0	0	4	8	17	57	14	0	0	0	0	16	163	10	517	13	0	0	0	0	105	0	12	0	0	0	0	48	45	6	263	0	0	0	0	0	0	8	2315	72	93	86	22	23	82	32	281	0	0	0	0	36	0	0	0	22	45	25	0	66	61	0	13	0	0	0	13	34	35	865	0	0	619	2915	715	1527	641	10	10	14	0	0	8	3	1658	57	7	8	0	55	431	0	0	0	0	70	244	5	20	0	33	108	0	0	20	0	0	0	0	0	0	0	17	312	59	42	24	48	1426

7c1ba4c6f4b27dd4228a83e412081daa	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	32	6262	396	640	680	0	0	0	10	0	57	0	0	0	0	20	0	0	0	152	88	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	81	52	36	0	0	28	0	145	216	65	360	34	0	0	44	27	214	89	0	0	0	0	0	15	0	0	0	0	0	28	58	0	134	0	0	0	33	20	0	0	0	0	99	80	66	135	1334	9	33	7	7	0	0	31	93	579	1776	1115	1189	169	147	0	1393	720	3026	193	437	188	83	38	1554	47	303	55	0	0	0	0	128	26	163	0	513	178	175	26	1204	490	756	0	84	0	92	84	0	79	0	437	14	0	46	65	83	76	54	0	0	0	0	0	0	0	0	0	42	7	53	0	264	62	292	81	64	113	0	48	19	0	278	7	49	0	0	0	0	0	213	0	47	0	50	336	233	0	0	0	0	48	48	31	0	0	143	110	0	146	0	0	22	28	0	0	0	0	0	0	0	0	0	154	447	0	42	991	2357	132	0	147	63	368	323	187	420	43	0	0	35	0	38	173

