,y score 0,y score 1,y pred,y test
177,0.51830316,0.48169684,0,0
178,0.5597722,0.4402278,0,1
179,0.809302,0.19069803,0,0
180,0.31082243,0.6891776,1,1
181,0.45427513,0.54572487,1,0
182,0.4209444,0.5790556,1,1
183,0.5801097,0.41989025,0,0
184,0.588199,0.41180095,0,1
185,0.6845648,0.3154352,0,0
186,0.66439867,0.33560136,0,0
187,0.4440406,0.5559594,1,1
188,0.40066433,0.5993357,1,1
189,0.46726006,0.53273994,1,0
190,0.4790424,0.5209576,1,0
191,0.479953,0.520047,1,1
192,0.5724051,0.4275949,0,0
193,0.34725863,0.6527414,1,0
194,0.4067121,0.5932879,1,0
195,0.3710124,0.6289876,1,1
196,0.63254404,0.367456,0,1
197,0.4094026,0.5905974,1,1
198,0.36842704,0.63157296,1,1
199,0.65464103,0.34535897,0,0
200,0.4942615,0.5057385,1,0
201,0.5916624,0.4083376,0,0
202,0.4966808,0.5033192,1,0
203,0.32356757,0.67643243,1,1
204,0.4749921,0.5250079,1,0
205,0.31323546,0.68676454,1,0
206,0.39693838,0.6030616,1,1
207,0.7002707,0.2997293,0,0
208,0.57378054,0.42621943,0,0
209,0.55202496,0.447975,0,1
210,0.28217834,0.71782166,1,1
211,0.67635095,0.32364905,0,0
212,0.45547038,0.5445296,1,1
213,0.56203353,0.43796647,0,0
214,0.59059405,0.40940595,0,0
215,0.41696107,0.5830389,1,0
216,0.47595823,0.5240418,1,0
217,0.4479584,0.5520416,1,0
218,0.5355468,0.46445325,0,0
219,0.67425144,0.3257486,0,0
220,0.3290559,0.6709441,1,1
221,0.4802209,0.5197791,1,1
222,0.58120626,0.41879374,0,0
223,0.41898102,0.581019,1,0
224,0.36422294,0.63577706,1,1
225,0.48761952,0.5123805,1,0
226,0.5579493,0.4420507,0,0
227,0.5737647,0.42623532,0,1
228,0.5325009,0.46749908,0,0
229,0.44604307,0.5539569,1,0
230,0.5145938,0.48540622,0,1
231,0.28352386,0.71647614,1,0
232,0.32042283,0.6795772,1,0
233,0.58512396,0.41487604,0,0
234,0.4091211,0.5908789,1,0
235,0.52679574,0.47320428,0,0
236,0.37998885,0.62001115,1,1
237,0.43016082,0.5698392,1,1
238,0.39397627,0.6060237,1,1
239,0.5377841,0.46221587,0,1
240,0.42980874,0.57019126,1,1
241,0.42090708,0.5790929,1,1
242,0.61749434,0.38250569,0,0
243,0.40351993,0.5964801,1,1
244,0.25397646,0.74602354,1,1
245,0.40390682,0.5960932,1,0
246,0.30754155,0.69245845,1,0
247,0.5206783,0.47932175,0,0
248,0.6927905,0.3072095,0,0
249,0.5685562,0.43144378,0,0
250,0.6899687,0.31003127,0,0
251,0.49947345,0.50052655,1,0
252,0.5513274,0.4486726,0,0
253,0.5281619,0.47183812,0,1
254,0.5420091,0.45799085,0,0
255,0.45992613,0.5400739,1,1
256,0.53235865,0.46764132,0,0
257,0.39385378,0.6061462,1,1
258,0.50734615,0.49265385,0,0
259,0.38212776,0.61787224,1,0
260,0.3677833,0.6322167,1,1
261,0.50185156,0.49814847,0,1
262,0.26199627,0.73800373,1,1
263,0.5643351,0.43566492,0,1
264,0.47239727,0.52760273,1,1
265,0.5404378,0.4595622,0,0
266,0.577562,0.42243803,0,0
267,0.63025266,0.36974734,0,0
268,0.5784101,0.4215899,0,1
269,0.41358346,0.58641654,1,1
270,0.5167122,0.4832878,0,1
271,0.66673493,0.33326507,0,0
272,0.546692,0.45330802,0,1
273,0.7362246,0.2637754,0,0
274,0.57797563,0.42202434,0,0
275,0.552678,0.447322,0,0
276,0.6508305,0.34916946,0,0
277,0.38565612,0.6143439,1,1
278,0.62664664,0.3733534,0,0
279,0.6507782,0.34922186,0,1
280,0.4063167,0.5936833,1,1
281,0.50350976,0.49649027,0,1
282,0.6017096,0.39829043,0,0
283,0.4394648,0.5605352,1,0
284,0.43019098,0.569809,1,1
285,0.60247767,0.3975223,0,0
286,0.42142725,0.57857275,1,1
287,0.5928966,0.4071034,0,0
288,0.4634627,0.5365373,1,0
289,0.59699357,0.40300646,0,0
290,0.6538984,0.34610158,0,0
291,0.32659614,0.67340386,1,1
292,0.6047821,0.39521787,0,0
293,0.68385947,0.31614053,0,0
294,0.40363687,0.5963631,1,0
295,0.7192216,0.28077844,0,0
296,0.39340872,0.6065913,1,1
297,0.66116405,0.33883598,0,0
298,0.34801537,0.65198463,1,1
299,0.33360112,0.6663989,1,1
300,0.5051305,0.4948695,0,1
301,0.54341984,0.45658013,0,0
302,0.52503145,0.47496858,0,1
303,0.57755303,0.42244697,0,0
304,0.41318256,0.58681744,1,0
305,0.67654234,0.32345766,0,1
306,0.5134403,0.4865597,0,0
307,0.39808768,0.6019123,1,1
308,0.52717626,0.47282374,0,1
309,0.42879927,0.5712007,1,0
310,0.54233557,0.45766443,0,1
311,0.37687743,0.6231226,1,0
312,0.62770796,0.372292,0,0
313,0.39318508,0.6068149,1,1
314,0.44993716,0.55006284,1,1
315,0.38319474,0.61680526,1,1
316,0.38752097,0.61247903,1,1
317,0.36846715,0.63153285,1,0
318,0.73568106,0.26431894,0,0
319,0.6211972,0.3788028,0,0
320,0.63261855,0.36738145,0,1
321,0.4284215,0.5715785,1,1
322,0.6327654,0.36723462,0,0
323,0.45421338,0.5457866,1,0
324,0.35646898,0.643531,1,1
325,0.6281762,0.37182376,0,0
326,0.5267588,0.47324124,0,0
327,0.54173744,0.45826256,0,0
328,0.584652,0.415348,0,0
329,0.6300609,0.36993906,0,0
330,0.65968555,0.34031445,0,0
331,0.5543678,0.44563225,0,0
332,0.59265757,0.40734243,0,1
333,0.38258368,0.6174163,1,1
334,0.5310033,0.4689967,0,0
335,0.5364555,0.4635445,0,0
336,0.7075765,0.29242346,0,0
337,0.6319665,0.36803356,0,1
338,0.5382192,0.4617808,0,0
339,0.5112065,0.48879346,0,1
340,0.41873866,0.58126134,1,0
341,0.33018285,0.66981715,1,0
342,0.55704176,0.4429582,0,0
343,0.45437974,0.54562026,1,0
344,0.5127138,0.48728618,0,1
345,0.59432334,0.40567666,0,1
346,0.57601595,0.42398408,0,0
347,0.46214265,0.53785735,1,1
348,0.40068305,0.59931695,1,0
349,0.60615444,0.39384553,0,0
350,0.67671716,0.32328287,0,0
351,0.513683,0.48631698,0,0
352,0.32191205,0.67808795,1,1
353,0.50232637,0.49767366,0,1
354,0.4891727,0.5108273,1,0
355,0.7560178,0.24398221,0,0
356,0.5569511,0.4430489,0,0
357,0.4246726,0.5753274,1,1
358,0.39992833,0.60007167,1,1
359,0.50779045,0.49220952,0,1
360,0.47733665,0.52266335,1,0
361,0.3208682,0.6791318,1,0
362,0.62637526,0.37362474,0,0
363,0.4369017,0.5630983,1,0
364,0.4257726,0.5742274,1,1
365,0.72020197,0.27979806,0,0
366,0.39925742,0.6007426,1,1
367,0.41809797,0.581902,1,0
368,0.63575065,0.36424938,0,0
369,0.52582866,0.47417134,0,0
370,0.57216656,0.42783344,0,0
371,0.6450372,0.35496283,0,0
372,0.4561661,0.5438339,1,0
373,0.679826,0.320174,0,0
374,0.4939946,0.5060054,1,0
375,0.45990658,0.5400934,1,0
376,0.3595354,0.6404646,1,1
377,0.5341757,0.4658243,0,0
378,0.36297268,0.6370273,1,1
379,0.5133699,0.48663008,0,0
380,0.6777673,0.3222327,0,0
381,0.46619314,0.53380686,1,1
382,0.66886544,0.3311346,0,0
383,0.6111975,0.38880253,0,1
384,0.6655236,0.3344764,0,0
385,0.5518246,0.44817537,0,1
386,0.63651806,0.36348194,0,0
387,0.3655709,0.6344291,1,1
388,0.43174022,0.5682598,1,1
389,0.6543243,0.3456757,0,0
390,0.58306223,0.41693777,0,0
391,0.439043,0.560957,1,1
392,0.7153267,0.28467327,0,0
393,0.38789463,0.61210537,1,1
394,0.5401665,0.45983353,0,0
395,0.74353135,0.25646868,0,0
396,0.4974894,0.5025106,1,1
397,0.4522745,0.5477255,1,0
398,0.2752999,0.7247001,1,1
399,0.69620216,0.30379784,0,0
400,0.5180867,0.48191336,0,0
401,0.40793443,0.5920656,1,1
402,0.66079044,0.33920956,0,0
403,0.3310861,0.6689139,1,0
404,0.4564997,0.5435003,1,0
405,0.56871474,0.43128523,0,0
406,0.38351536,0.61648464,1,1
407,0.5982278,0.4017722,0,0
408,0.47601134,0.52398866,1,0
409,0.4096951,0.5903049,1,1
410,0.64890635,0.35109368,0,0
411,0.6265291,0.37347093,0,0
412,0.4769044,0.5230956,1,1
413,0.62658495,0.37341505,0,0
414,0.45820808,0.5417919,1,1
415,0.501591,0.49840897,0,0
416,0.4920931,0.5079069,1,1
417,0.42703217,0.5729678,1,1
418,0.59050465,0.40949538,0,0
419,0.33681226,0.66318774,1,0
420,0.53813875,0.46186122,0,1
421,0.58531123,0.41468877,0,1
422,0.5998343,0.4001657,0,1
423,0.5676462,0.4323538,0,0
424,0.3673566,0.6326434,1,1
425,0.6082773,0.3917227,0,1
426,0.52398145,0.47601858,0,1
427,0.28073692,0.7192631,1,0
428,0.3987196,0.6012804,1,0
429,0.5003325,0.49966756,0,1
430,0.6330638,0.3669362,0,0
431,0.43065292,0.5693471,1,0
432,0.5566808,0.44331917,0,0
433,0.4728155,0.5271845,1,1
434,0.5079442,0.49205577,0,0
435,0.46859914,0.53140086,1,0
436,0.5945064,0.4054936,0,1
437,0.5020293,0.49797073,0,0
438,0.6145121,0.38548794,0,1
439,0.49090648,0.5090935,1,0
440,0.80140656,0.19859344,0,0
441,0.41347247,0.5865275,1,0
442,0.61089873,0.38910124,0,1
443,0.35190535,0.64809465,1,1
444,0.63568985,0.36431018,0,0
445,0.6065302,0.3934698,0,0
446,0.39345455,0.60654545,1,0
447,0.5700147,0.42998526,0,0
448,0.6291316,0.37086838,0,0
449,0.42124575,0.57875425,1,1
450,0.4850474,0.5149526,1,1
451,0.5093324,0.49066758,0,0
452,0.40857357,0.59142643,1,1
453,0.5409856,0.4590144,0,1
454,0.6169261,0.38307393,0,0
455,0.6309142,0.36908576,0,0
456,0.5238416,0.47615838,0,1
457,0.6898769,0.31012306,0,0
458,0.57323295,0.42676705,0,1
459,0.54986,0.45014003,0,0
460,0.5384815,0.4615185,0,0
461,0.39445788,0.6055421,1,1
462,0.59462494,0.40537506,0,0
463,0.7134047,0.28659528,0,0
464,0.6888755,0.3111245,0,0
465,0.42152852,0.5784715,1,0
466,0.3430891,0.6569109,1,1
467,0.48830652,0.5116935,1,0
468,0.5659282,0.4340718,0,0
469,0.4644065,0.5355935,1,1
470,0.42639744,0.57360256,1,0
471,0.6935438,0.30645624,0,0
472,0.6694319,0.33056808,0,0
473,0.641549,0.35845098,0,0
474,0.5092977,0.49070224,0,1
475,0.6650916,0.33490843,0,0
476,0.5782634,0.42173663,0,0
477,0.43435144,0.56564856,1,0
478,0.44262266,0.55737734,1,0
479,0.6822027,0.3177973,0,0
480,0.4164747,0.5835253,1,1
481,0.52484894,0.4751511,0,1
482,0.5733355,0.4266645,0,0
483,0.6266564,0.3733436,0,0
484,0.3039927,0.6960073,1,1
485,0.49334538,0.5066546,1,0
486,0.5404364,0.45956358,0,0
487,0.55905354,0.44094646,0,0
488,0.31040007,0.68959993,1,0
489,0.5489663,0.4510337,0,1
490,0.436216,0.563784,1,0
491,0.37294972,0.6270503,1,0
492,0.5266672,0.47333282,0,0
493,0.44393128,0.5560687,1,1
494,0.3362968,0.6637032,1,1
495,0.43906838,0.5609316,1,0
496,0.60265845,0.39734155,0,0
497,0.5038826,0.4961174,0,0
498,0.40802878,0.5919712,1,1
499,0.30316228,0.6968377,1,0
500,0.563462,0.43653798,0,0
501,0.74208546,0.25791454,0,0
502,0.43512565,0.56487435,1,1
503,0.59374493,0.40625507,0,1
504,0.41891527,0.5810847,1,0
505,0.52971613,0.4702839,0,1
506,0.28524607,0.7147539,1,1
507,0.599892,0.40010798,0,1
508,0.61905545,0.38094455,0,0
509,0.6104351,0.38956487,0,0
510,0.5015199,0.49848008,0,1
511,0.39199919,0.6080008,1,1
512,0.47233808,0.5276619,1,1
513,0.7209851,0.2790149,0,1
514,0.48520482,0.5147952,1,1
515,0.62326336,0.37673664,0,1
516,0.5764767,0.42352334,0,0
517,0.39791173,0.6020883,1,1
518,0.64847755,0.35152245,0,0
519,0.26718408,0.7328159,1,0
520,0.39945942,0.6005406,1,1
521,0.59034956,0.40965042,0,0
522,0.4755118,0.5244882,1,1
523,0.28701597,0.712984,1,1
524,0.47568172,0.5243183,1,1
525,0.574631,0.42536905,0,0
526,0.29357547,0.70642453,1,0
527,0.56691325,0.43308675,0,0
528,0.54858124,0.45141876,0,0
529,0.51095766,0.48904234,0,1
530,0.48904145,0.51095855,1,1
531,0.5505881,0.44941193,0,1
532,0.54446375,0.45553625,0,0
533,0.55783796,0.442162,0,0
534,0.4308828,0.5691172,1,0
535,0.37940294,0.62059706,1,1
536,0.49523383,0.50476617,1,0
537,0.6570934,0.34290656,0,1
538,0.47358328,0.5264167,1,1
539,0.7315723,0.26842776,0,0
540,0.45865005,0.54134995,1,0
541,0.409872,0.590128,1,0
542,0.4747693,0.5252307,1,1
543,0.36137748,0.6386225,1,1
544,0.40494543,0.59505457,1,1
545,0.66746557,0.33253446,0,0
546,0.78632337,0.21367663,0,0
547,0.6606873,0.33931264,0,0
548,0.5622858,0.4377142,0,0
549,0.674556,0.325444,0,0
550,0.61689633,0.38310367,0,1
551,0.58906555,0.41093445,0,0
552,0.32924247,0.67075753,1,1
553,0.48702765,0.51297235,1,0
554,0.7026421,0.29735792,0,1
555,0.54766476,0.45233527,0,1
556,0.53972995,0.46027008,0,0
557,0.39660448,0.6033955,1,1
558,0.34297413,0.6570259,1,0
559,0.42529714,0.57470286,1,0
560,0.73869383,0.2613062,0,0
561,0.45019305,0.54980695,1,0
562,0.4553454,0.5446546,1,0
563,0.72307324,0.27692676,0,1
564,0.50446725,0.49553278,0,1
565,0.5809125,0.4190875,0,1
566,0.6133054,0.3866946,0,0
567,0.69013953,0.3098605,0,0
568,0.64136213,0.35863787,0,0
569,0.6841787,0.31582132,0,0
570,0.5431081,0.45689192,0,0
571,0.5505477,0.44945228,0,1
572,0.41537964,0.58462036,1,0
573,0.57368433,0.42631567,0,0
574,0.66505265,0.33494738,0,0
575,0.5784979,0.4215021,0,0
576,0.408638,0.591362,1,1
577,0.4126799,0.5873201,1,0
578,0.7684436,0.23155639,0,0
579,0.46384913,0.5361509,1,0
580,0.37804806,0.62195194,1,0
581,0.36310577,0.6368942,1,0
582,0.5362706,0.4637294,0,0
583,0.43783236,0.56216764,1,0
584,0.4352833,0.5647167,1,0
585,0.471583,0.528417,1,0
586,0.6368124,0.3631876,0,0
587,0.39984852,0.6001515,1,0
588,0.61785483,0.3821452,0,1
589,0.53887707,0.46112293,0,1
590,0.40271062,0.5972894,1,1
591,0.63794756,0.36205247,0,0
592,0.6006011,0.3993989,0,0
593,0.52166927,0.4783307,0,1
594,0.441661,0.558339,1,0
595,0.2529986,0.7470014,1,0
596,0.49478775,0.50521225,1,1
597,0.7571962,0.24280383,0,0
598,0.46692145,0.53307855,1,1
599,0.3935039,0.6064961,1,1
600,0.6661216,0.33387843,0,0
601,0.655856,0.34414396,0,0
602,0.4975477,0.5024523,1,0
603,0.34568268,0.6543173,1,1
604,0.4805205,0.5194795,1,1
605,0.38998425,0.61001575,1,0
606,0.44513834,0.55486166,1,1
607,0.5786419,0.4213581,0,0
608,0.46285462,0.5371454,1,0
609,0.56043947,0.43956056,0,0
610,0.74327326,0.25672674,0,0
611,0.61018896,0.38981107,0,1
612,0.5080794,0.49192056,0,0
613,0.44911647,0.55088353,1,1
614,0.5972798,0.40272018,0,0
615,0.66077876,0.3392212,0,1
616,0.3007391,0.6992609,1,1
617,0.6272942,0.37270585,0,0
618,0.6832733,0.31672668,0,0
619,0.65460575,0.34539428,0,1
620,0.43174475,0.56825525,1,0
621,0.6317855,0.36821446,0,0
622,0.63029575,0.36970428,0,0
623,0.41918516,0.58081484,1,1
624,0.6629598,0.33704016,0,0
625,0.36020052,0.6397995,1,0
626,0.61419713,0.38580284,0,1
627,0.56251836,0.43748167,0,0
628,0.6998099,0.3001901,0,0
629,0.306966,0.693034,1,0
630,0.5169896,0.4830104,0,1
631,0.56330156,0.4366984,0,1
632,0.70071393,0.29928607,0,0
633,0.74181044,0.25818953,0,1
634,0.43112117,0.5688788,1,1
635,0.41288483,0.58711517,1,0
636,0.54273367,0.4572663,0,1
637,0.59010184,0.40989813,0,0
638,0.5720749,0.42792514,0,1
639,0.63429725,0.36570275,0,0
640,0.56836814,0.43163186,0,1
641,0.2780344,0.7219656,1,1
642,0.60915047,0.39084953,0,0
643,0.49543124,0.50456876,1,1
644,0.63818824,0.3618118,0,1
645,0.5395931,0.4604069,0,0
646,0.40725172,0.5927483,1,0
647,0.6169349,0.3830651,0,0
648,0.7841837,0.21581633,0,0
649,0.41889554,0.58110446,1,1
650,0.5248941,0.47510588,0,1
651,0.40681386,0.59318614,1,0
652,0.5600579,0.4399421,0,1
653,0.6111591,0.38884088,0,0
654,0.6455433,0.35445672,0,0
655,0.44175196,0.55824804,1,1
656,0.7447908,0.25520918,0,0
657,0.45576668,0.5442333,1,0
658,0.581373,0.41862705,0,0
659,0.4119233,0.5880767,1,0
660,0.5820193,0.41798067,0,1
661,0.40566158,0.5943384,1,1
662,0.73421,0.26579,0,0
663,0.5860434,0.41395658,0,1
664,0.6091001,0.3908999,0,0
665,0.49924886,0.50075114,1,1
666,0.40498585,0.59501415,1,1
667,0.3565302,0.6434698,1,1
668,0.5433905,0.45660952,0,1
669,0.5066868,0.49331322,0,0
670,0.62057763,0.37942237,0,0
671,0.54054344,0.4594566,0,0
672,0.40887064,0.59112936,1,1
673,0.43885577,0.56114423,1,0
674,0.40738302,0.592617,1,1
675,0.3684209,0.6315791,1,0
676,0.6479149,0.35208514,0,1
677,0.54409766,0.4559023,0,1
678,0.49802768,0.5019723,1,0
679,0.33018088,0.6698191,1,1
680,0.6084077,0.39159232,0,1
681,0.53409845,0.46590155,0,0
682,0.6021657,0.39783427,0,0
683,0.7763774,0.2236226,0,0
684,0.3411808,0.6588192,1,1
685,0.37483954,0.62516046,1,1
686,0.3912081,0.6087919,1,1
687,0.82928044,0.17071958,0,0
688,0.36779612,0.6322039,1,1
689,0.6192498,0.3807502,0,1
690,0.6878551,0.31214485,0,0
691,0.6212514,0.3787486,0,1
692,0.3303396,0.6696604,1,1
693,0.30800962,0.6919904,1,0
694,0.3185675,0.6814325,1,1
695,0.5103197,0.48968032,0,0
696,0.4536761,0.5463239,1,1
697,0.4461246,0.5538754,1,0
698,0.24635309,0.7536469,1,0
699,0.40914792,0.5908521,1,1
700,0.4365176,0.5634824,1,1
701,0.6077884,0.39221162,0,0
702,0.38721704,0.61278296,1,0
703,0.57071996,0.42928007,0,0
704,0.565946,0.43405402,0,0
705,0.4253111,0.5746889,1,0
706,0.5497893,0.45021066,0,1
707,0.3863234,0.6136766,1,1
708,0.60473204,0.39526793,0,1
709,0.5359313,0.4640687,0,0
710,0.5624136,0.4375864,0,0
711,0.55013,0.44986996,0,0
712,0.7855583,0.21444172,0,0
713,0.6077323,0.3922677,0,0
714,0.41988027,0.5801197,1,1
715,0.77615225,0.22384773,0,0
716,0.6743388,0.32566118,0,1
717,0.46507394,0.53492606,1,0
718,0.60730326,0.3926967,0,0
719,0.63425887,0.36574113,0,0
720,0.37114632,0.6288537,1,1
721,0.5618026,0.43819737,0,1
722,0.6276094,0.37239063,0,1
723,0.4751367,0.5248633,1,0
724,0.6034481,0.3965519,0,0
725,0.50209355,0.49790642,0,0
726,0.4200731,0.5799269,1,0
727,0.51305974,0.4869403,0,1
728,0.31291062,0.6870894,1,1
729,0.29215002,0.70785,1,1
730,0.41868246,0.58131754,1,0
731,0.4233346,0.5766654,1,0
732,0.52486444,0.4751356,0,0
733,0.49503624,0.50496376,1,1
734,0.5675715,0.4324285,0,0
735,0.71890324,0.28109676,0,0
736,0.50100815,0.49899185,0,1
737,0.3096543,0.6903457,1,1
738,0.6282017,0.37179828,0,1
739,0.4591428,0.5408572,1,1
740,0.6791266,0.3208734,0,0
741,0.51599157,0.48400846,0,0
742,0.5506935,0.44930646,0,0
743,0.3756287,0.6243713,1,1
744,0.5573368,0.44266322,0,0
745,0.50192404,0.498076,0,0
746,0.41035277,0.58964723,1,1
747,0.4815275,0.5184725,1,1
748,0.44558173,0.55441827,1,1
749,0.7518058,0.24819425,0,0
750,0.50320673,0.49679324,0,1
751,0.38389176,0.61610824,1,0
752,0.58988714,0.41011283,0,1
753,0.548349,0.451651,0,0
754,0.5666001,0.43339992,0,0
755,0.52841246,0.47158757,0,0
756,0.59604526,0.40395474,0,0
757,0.50413144,0.4958686,0,0
758,0.3582242,0.6417758,1,0
759,0.31514025,0.68485975,1,1
760,0.37341344,0.62658656,1,0
761,0.5128708,0.48712918,0,1
762,0.69365346,0.30634654,0,0
763,0.63353884,0.3664612,0,0
764,0.55278784,0.44721216,0,0
765,0.479855,0.520145,1,1
766,0.49744254,0.50255746,1,1
767,0.7150707,0.28492928,0,0
768,0.58110523,0.4188948,0,1
769,0.55723363,0.44276637,0,1
770,0.5238771,0.47612292,0,0
771,0.44913745,0.55086255,1,0
772,0.38143593,0.61856407,1,0
