,y score 0,y score 1,y pred,y test
0,0.62882906,0.37117094,0,0
1,0.51758564,0.48241436,0,1
2,0.43979603,0.56020397,1,0
3,0.34950012,0.6504999,1,1
4,0.3950414,0.6049586,1,1
5,0.69684297,0.30315703,0,0
6,0.483824,0.516176,1,1
7,0.41237772,0.5876223,1,0
8,0.6854066,0.31459337,0,0
9,0.6013946,0.3986054,0,0
10,0.56108093,0.4389191,0,1
11,0.31314486,0.68685514,1,1
12,0.7302135,0.26978645,0,0
13,0.39232075,0.60767925,1,1
14,0.53278184,0.46721813,0,0
15,0.5569093,0.44309068,0,0
16,0.605377,0.39462298,0,0
17,0.5345417,0.46545827,0,0
18,0.7991711,0.20082891,0,0
19,0.6381711,0.3618289,0,0
20,0.37120378,0.6287962,1,1
21,0.58282816,0.41717187,0,1
22,0.4537251,0.5462749,1,0
23,0.58534443,0.41465557,0,0
24,0.53283674,0.46716326,0,0
25,0.6453139,0.35468608,0,0
26,0.5524656,0.44753438,0,0
27,0.54144293,0.45855707,0,0
28,0.45232117,0.5476788,1,0
29,0.4376161,0.5623839,1,0
30,0.30877173,0.6912283,1,1
31,0.5773934,0.42260662,0,0
32,0.5975249,0.40247512,0,1
33,0.44923735,0.55076265,1,1
34,0.42735976,0.57264024,1,1
35,0.41356248,0.5864375,1,0
36,0.7027999,0.29720008,0,0
37,0.7701727,0.2298273,0,0
38,0.39133602,0.608664,1,1
39,0.49822026,0.50177974,1,0
40,0.40026146,0.59973854,1,1
41,0.6690174,0.33098263,0,0
42,0.46134102,0.538659,1,0
43,0.29594725,0.70405275,1,1
44,0.39337486,0.60662514,1,1
45,0.5046034,0.49539658,0,1
46,0.31511003,0.68489,1,0
47,0.5079591,0.49204087,0,0
48,0.48552072,0.5144793,1,1
49,0.38916337,0.6108366,1,1
50,0.40486008,0.5951399,1,1
51,0.4901467,0.5098533,1,1
52,0.44422394,0.55577606,1,1
53,0.6441418,0.35585824,0,0
54,0.5457665,0.4542335,0,1
55,0.60745287,0.39254716,0,0
56,0.6626991,0.33730087,0,0
57,0.45989883,0.5401012,1,1
58,0.4965648,0.5034352,1,0
59,0.4242987,0.5757013,1,0
60,0.43295026,0.56704974,1,1
61,0.4372447,0.5627553,1,0
62,0.48726755,0.51273245,1,1
63,0.58137393,0.41862604,0,0
64,0.5781835,0.42181653,0,1
65,0.6930803,0.30691972,0,0
66,0.44184333,0.55815667,1,0
67,0.32730108,0.6726989,1,1
68,0.43408883,0.5659112,1,0
69,0.6212581,0.37874192,0,0
70,0.5155138,0.48448625,0,1
71,0.45285344,0.54714656,1,1
72,0.37513644,0.62486356,1,0
73,0.63392377,0.3660762,0,0
74,0.7757433,0.22425668,0,0
75,0.5211426,0.47885737,0,1
76,0.7121855,0.28781453,0,0
77,0.46063226,0.53936774,1,1
78,0.48304194,0.51695806,1,0
79,0.7027078,0.29729217,0,0
80,0.5820222,0.41797784,0,1
81,0.51620555,0.48379442,0,0
82,0.6185106,0.38148937,0,1
83,0.26612043,0.73387957,1,0
84,0.41315794,0.58684206,1,0
85,0.45996833,0.5400317,1,0
86,0.35404503,0.64595497,1,0
87,0.50847703,0.49152297,0,0
88,0.35976845,0.64023155,1,1
89,0.4223277,0.5776723,1,1
90,0.32032824,0.67967176,1,1
91,0.49981874,0.50018126,1,1
92,0.72829115,0.27170882,0,0
93,0.57577586,0.42422414,0,0
94,0.46251643,0.5374836,1,0
95,0.46692556,0.53307444,1,1
