ID,Unassigned;p__;c__;o___0,Unassigned;p__;c__;o___1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_2,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_3,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_3,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_4,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_1,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Thiobacterales_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales_1,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales_0,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales_1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_0,k__Bacteria; p__TM7; c__TM7-3; o__CW040_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales_0
72d8,-0.8080516288176096,0.024453167497957996,0.09329348241093155,-0.860154515638462,-0.16049707662650708,-0.9714247941851821,-0.16933557984123157,-1.2640649040199954,-1.6226658172268267,-0.17871382681286282,-0.37856356775524236,0.04029366751174501,0.5990551404391389,0.7735317785508802,0.22298192331873642,4.15074960904159,4.39019428844386,-1.85202824339299,-0.7929137210909996,9.551072774076847,0.3105008759783457,2.1498283785313332,-4.592623653922141,3.105334816658266,1.5952615384472952,-0.7662584349863331,-0.3861078586248507,-0.5031734322141322,-0.19171662469513903,-0.5214745054495223,-0.062439144844825094,-0.17859707447933607,0.6420032258731951,-0.7118424162738014,-0.047972370155774005,0.039911370636889994,-0.5871865202228774,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.6167905941205454,-0.5015316186977915
72d14,-5.72096737722621,2.758454599461742,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,0.03424455496171638,-0.3037765510826439,0.4557874976542627,-0.687112699130768,-0.967684119714,-1.7172575604787408,-0.12447405349985169,-0.5793950222443555,0.5584400089486824,0.15080754000139585,0.3838295292443494,0.043718187676411294,1.8549186519013448,-0.356014592190916,-0.2415152104647671,-0.6509069139301065,2.054022509525714,-3.273508210414569,1.2885927113758207,-1.5632704777588613,-0.8133470635331167,1.426985619311665,-0.5031734322141322,-0.19171662469513903,-0.2191528558234212,-0.3184448064142442,-0.17859707447933607,-0.31214687379153505,-0.5923243772067023,-0.047972370155774005,0.039911370636889994,0.5916311414531424,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.6212053254808798,-0.47175808125270124
949.di,-0.6806781926659073,0.03297429876152057,-0.1907425253949852,4.189060988362881,-0.14705501016006467,0.9231751491998429,-0.4778771873857726,-1.3410969855570847,-0.9738420773104116,-0.22632223069488142,-0.42321414397115076,-0.7335389791488398,-0.5173055444854706,-0.3722351487295711,-0.16148198041319856,-0.15343539391512429,-1.0549998513561503,-0.6902140156995233,0.7366864698557937,0.4807490823830827,-1.610357651755617,-0.5221062412643647,-0.025151038499278116,-0.9017460659676697,-0.4196798309785145,0.3130034062438877,0.06750309944864047,-0.43276696278629817,-0.19171662469513903,-0.7023020104079338,0.090685400135922,-0.17859707447933607,1.8848347361894684,4.695495104616514,-0.047972370155774005,0.039911370636889994,-0.590068175895032,-0.15691203556686995,0.12959525463293928,4.3630367070034906,-0.32374987077331624,-0.4984013670104887
632.d0,-0.5106530499939569,0.04434877842216262,-0.1907425253949852,0.9027276379744114,-0.11182184885304387,2.266254750552291,-0.044131604412519704,-1.4812994600159335,1.0009177951094546,-0.13074479957624024,-0.49695963847612884,-0.0971212496056337,-0.5383418618722019,-0.3722351487295711,-0.16148198041319856,0.0041466602660765505,-1.2233036993592201,-0.7702937445032211,-0.05237855729154964,0.49364893987100367,-1.9672281029505296,-0.7679485148041185,0.5082175902662753,-0.9780974440057225,-0.4072473758330193,1.3546102731121716,-0.06838517025575518,0.4941194606739609,-0.19171662469513903,-0.39682240055363405,-0.16799441890263572,-0.17859707447933607,-0.5268296734253982,-0.04399758148548501,-0.14764791987203643,-0.03625472691546185,-0.5903619513180262,-0.15691203556686995,-0.045721968505672894,1.1382247678632182,0.03531067114715849,-0.5004657687092605
614.d0,-0.1307156804155969,0.06976613620038886,-0.1907425253949852,-0.5555186415194648,-0.157558670662621,-0.26945985704801995,-0.19206771641267623,-1.4038988583274834,0.21044702558169076,0.3545572059418541,0.11411097656731019,1.628202464551384,1.9269073802114802,-0.3722351487295711,-0.16148198041319856,-0.5146948573906869,-0.37819718026783455,-0.4088623753444863,-0.08161563795432944,-0.3807736719125314,1.9134554893933253,-0.7682838730529342,0.7624827804781189,-0.4398160676489372,2.0901870436983665,-0.7222693338786038,-0.4421539725995903,0.6106716653072735,-0.19171662469513903,0.8635907476766504,0.23627213392376722,-0.17859707447933607,0.4588735425219316,-0.26677389784769945,-0.047972370155774005,0.039911370636889994,-0.5896784823853841,-0.15691203556686995,0.21931506206428575,-0.23412007962111073,0.6504156476963691,-0.49789035123263664
98di,0.15006343017664367,0.08854992448237624,0.027726897735496685,2.9792376461720496,-0.08065978448446369,0.8818324116151275,0.023365827240604955,-0.9153107860047155,0.24796434431728104,-0.4879498599945845,-0.6334601893579139,-0.3172939602294952,-0.5291554473440261,3.2423973509550947,-1.601411495818167,1.7183614846883306,-2.3152118477814114,-1.9699742057092753,0.5488884377301498,-0.48551617626094473,-1.5962138524641996,-0.8756179247641727,0.15955711417162066,-0.8648970435422058,-0.08663063710712518,1.388026485283306,-0.3976747528784443,-0.5031734322141322,-0.19171662469513903,-0.5284459108382628,-0.056535765940865026,-0.17859707447933607,-0.5316626281663012,-0.05030923675807483,-0.047972370155774005,0.039911370636889994,-0.5903619513180262,-0.15691203556686995,-0.41998773432467185,-0.05959827470129784,-0.2152359055765973,-0.5015316186977915
71di,0.6137799628690174,-1.4000170877208384,-0.1907425253949852,-0.8579743472675817,-0.16037638589182962,-0.7405062463241295,-0.20694530170890443,-1.719499607500242,-0.09475572432886199,0.11779373392896826,-0.9192392899867176,-0.6915442890146097,5.529468047345629,-0.3722351487295711,-0.16148198041319856,-1.0098489061856613,0.32922111926200687,0.21808565352930329,-0.23960372013068587,-0.4682089096508169,3.388286471118673,-0.18897811390876304,-0.08086071380225232,-1.135321661093173,0.03053489823555142,-0.6162341667833544,-0.466090991834426,-0.5031734322141322,-0.19171662469513903,-0.6883626309615131,0.07888154797561,-0.17859707447933607,2.7336047653031486,-1.1759361418718302,-0.047972370155774005,0.039911370636889994,-0.58978948484623,-0.15691203556686995,-0.01838270286745447,-0.23412007962111073,-0.21104855630369052,-0.5015316186977915
615.d0,7.822227053332009,8.830787076407821,-0.1907425253949852,0.7596109162167296,-0.11683388860425759,-0.627842600951132,-0.11023416462426354,-1.2703813732065445,0.9681989670412662,1.0159425780142937,0.03787280701097592,2.327575336903829,-0.4128631145925625,-0.3722351487295711,-0.16148198041319856,-1.0603553489500328,0.2996830081483695,0.20171262754483046,-0.29212136377842807,0.43280326479699055,0.04105826434907753,-0.0873826754840832,0.8421260159445305,-1.130058008097524,0.01351163840565445,-0.4669748892598046,-0.4107156095861625,1.3231221982985557,-0.19171662469513903,-0.6419828233259456,1.1080537457475965,-0.17859707447933607,0.4779027984632402,1.5953828417848883,-0.5752845879006003,-0.3630291090657933,-0.59007971674723,-0.15691203556686995,-0.023993106631571618,-0.23412007962111073,4.156662403176404,-0.5015316186977915
85d8,-2.7451269373208502,1.0705614058287773,-0.1907425253949852,-0.846747041546289,-0.15975485968584946,-1.1950314270625237,-0.1278927070476779,-1.0220841654633397,-1.4996914791383171,0.02422932410022332,0.07511556284417731,-0.768762478018351,0.6761595708380095,-0.2531460926610652,-0.12152145938775437,7.946532423265172,9.683035997193759,-1.3338381711285259,-1.2840863384435628,-0.2104681360036059,-2.5247561479026874,1.746335187478371,-3.9080954552134335,2.0685701586333347,0.6949118160579695,-0.8067942674743078,-0.04701637707125777,-0.495263452481309,-0.19171662469513903,-0.7066259498679637,0.0943469076178377,-0.17859707447933607,-0.5340220663583636,-0.3551946542447493,-0.047972370155774005,0.039911370636889994,4.670277872959543,4.154130801290038,-0.41998773432467185,-0.23412007962111073,-0.6329744519243202,-0.4879041946876311
631.di,-0.052311479805862725,0.07501128389519175,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,0.46291869525345136,-0.39304787281386244,-1.8362029947523342,0.7748192251791834,1.3951750941617485,1.0624019804508638,-0.768762478018351,-0.5908418496373583,-0.3722351487295711,-0.16148198041319856,1.092164969513702,-2.796522822191162,-1.8718733759886237,-0.16145764507352206,-0.2988174902954546,-2.22047071796004,-0.199054678378117,-1.0256197635609041,-0.2961638355478837,0.8271161386771394,0.6415412590206041,-0.541968991328933,-0.5031734322141322,-0.19171662469513903,-0.21444537920957366,-0.3224310927630422,-0.17859707447933607,-0.6438239372536941,-0.24067857472387708,-0.047972370155774005,0.039911370636889994,-0.586875857377918,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.5628549976103,-0.4690295550090129
