,y score 0,y score 1,y pred,y test
0,0.666317,0.33368304,0,0
1,0.5750973,0.4249027,0,0
2,0.48008353,0.5199165,1,0
3,0.56500185,0.43499812,0,0
4,0.43237883,0.5676212,1,1
5,0.50231665,0.49768335,0,0
6,0.414546,0.585454,1,0
7,0.4039049,0.5960951,1,1
8,0.5750735,0.4249265,0,0
9,0.34490436,0.65509564,1,1
10,0.35380638,0.6461936,1,1
11,0.455074,0.544926,1,1
12,0.57229584,0.42770416,0,0
13,0.5334768,0.4665232,0,0
14,0.41062784,0.58937216,1,1
15,0.4866612,0.5133388,1,0
16,0.487931,0.512069,1,0
17,0.40838337,0.59161663,1,1
18,0.4295084,0.5704916,1,1
19,0.46458936,0.53541064,1,1
20,0.54190123,0.45809874,0,0
21,0.50859034,0.4914097,0,0
22,0.7071569,0.2928431,0,0
23,0.5385267,0.4614733,0,1
24,0.44479203,0.55520797,1,1
25,0.416381,0.583619,1,1
26,0.57814467,0.4218553,0,0
27,0.585937,0.41406298,0,1
28,0.55139667,0.44860333,0,1
29,0.6970165,0.30298352,0,0
30,0.5204989,0.47950116,0,0
31,0.33647156,0.66352844,1,1
32,0.4882776,0.5117224,1,1
33,0.31366473,0.68633527,1,1
34,0.42126465,0.57873535,1,0
35,0.6580514,0.34194866,0,0
36,0.31503314,0.68496686,1,1
37,0.54314893,0.45685107,0,0
38,0.45854717,0.5414528,1,0
39,0.45121586,0.54878414,1,0
40,0.530604,0.469396,0,1
41,0.6242577,0.37574232,0,0
42,0.6054333,0.3945667,0,1
43,0.5066899,0.4933101,0,0
44,0.5095949,0.49040505,0,0
45,0.61463714,0.38536286,0,0
46,0.6196656,0.38033438,0,1
47,0.3235156,0.6764844,1,1
48,0.5297309,0.4702691,0,1
49,0.33327574,0.66672426,1,1
50,0.616734,0.38326597,0,1
51,0.4875402,0.5124598,1,1
52,0.5380858,0.4619142,0,0
53,0.47519797,0.524802,1,1
54,0.38583535,0.61416465,1,1
55,0.6207408,0.37925926,0,1
56,0.42136675,0.57863325,1,0
57,0.5580994,0.44190064,0,0
58,0.43920565,0.56079435,1,0
59,0.5736619,0.4263381,0,1
60,0.43201375,0.56798625,1,1
61,0.48490828,0.5150917,1,1
62,0.34163022,0.6583698,1,1
63,0.54022974,0.45977026,0,0
64,0.5018599,0.49814013,0,1
65,0.5292887,0.4707113,0,0
66,0.4624765,0.5375235,1,1
67,0.5520916,0.44790837,0,0
68,0.4091618,0.5908382,1,1
69,0.42309493,0.5769051,1,0
70,0.43023223,0.5697678,1,0
71,0.568045,0.431955,0,1
72,0.66997325,0.33002675,0,0
73,0.5968303,0.4031697,0,0
74,0.3530178,0.6469822,1,0
75,0.53175116,0.4682488,0,0
76,0.44108063,0.55891937,1,0
77,0.4351521,0.5648479,1,0
78,0.4954613,0.5045387,1,1
79,0.41713226,0.58286774,1,0
80,0.51104283,0.48895717,0,1
81,0.46555126,0.53444874,1,0
82,0.40135843,0.5986416,1,1
83,0.5559686,0.44403142,0,1
84,0.43377328,0.5662267,1,1
85,0.62806726,0.37193274,0,0
86,0.47420603,0.52579397,1,0
87,0.44790685,0.55209315,1,0
88,0.40149146,0.59850854,1,0
89,0.56235313,0.43764684,0,0
90,0.5506488,0.44935116,0,0
91,0.73715353,0.26284647,0,0
92,0.5448713,0.45512873,0,1
93,0.6658511,0.33414885,0,0
94,0.57536757,0.4246324,0,1
95,0.38968176,0.61031824,1,0
96,0.44947696,0.55052304,1,0
97,0.5928738,0.40712616,0,0
98,0.6445687,0.3554313,0,0
99,0.5617868,0.43821326,0,1
100,0.35325193,0.64674807,1,0
101,0.41761565,0.58238435,1,0
102,0.29055345,0.70944655,1,1
103,0.35814595,0.64185405,1,1
104,0.2725988,0.7274012,1,1
105,0.5479584,0.4520416,0,1
106,0.4171129,0.5828871,1,1
107,0.49966472,0.5003353,1,1
108,0.53716516,0.46283486,0,0
109,0.6421794,0.35782057,0,0
110,0.46713197,0.532868,1,0
111,0.7238297,0.2761703,0,1
112,0.5471815,0.45281848,0,0
113,0.39193362,0.6080664,1,0
114,0.50197804,0.49802196,0,0
115,0.48563892,0.5143611,1,0
116,0.44517666,0.55482334,1,0
117,0.5004059,0.49959406,0,0
118,0.5459804,0.4540196,0,0
119,0.30504537,0.69495463,1,1
120,0.5853795,0.41462052,0,0
