Group	7_13	_min1	7_13	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	7_13	7_13	_min1	7_13	_min1	_min1	_min1	7_13	7_13	_min1	7_13	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	7_13	_min1	_min1	7_13	_min1	_min1	_min1	7_13	_min1	_min1
ID	R027W03	R040W00	R040W02	R053W01	R023W00	R035W00	R053W02	R059W00	R059W02	R061W00	R061W02	R070W04	R072W02	R078W01	R078W02	R079W00	R080W01	R091W00	R091W02	R095W02	R097W00	R097W02	R099W02	R102W00	R102W02	R104W00	R107W01	R108W01	R109W01	R111W01	R111W02	R112W01	R112W02	R114W01	R114W03	R118W00	R118W02	R119W02	R122W01	R122W03	R127W01	R127W02.02	R128W01	R136W01	R136W02	R137W00	R137W02	R138W00	R138W02	R143W00	R149W01	R149W03	R152W01	R152W03	R162W02	R164W01	R164W03	R168W00	R168W03	R172W02	R176W01	R177W01	R177W03	R180W01	R186W00	R199W01	R199W03	R201W01	R211W01
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	283	95	182	36	275	0	420	22	0	0	0	0	72	175	0	35	67	318	137	28	173	341	67	15	374	12	57	0	135	119	71	215	222	58	833	11	0	112	18	0	141	0	2	13	0	85	69	52	0	157	666	430	12	295	9	45	11	34	0	48	221	212	0	9	226	14	13	192	128
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|Unclassified_member_of_Leptotrichiaceae	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	473	871	156	360	1562	2	984	165	5	55	18	0	8	525	2231	117	631	1081	180	7	315	252	73	0	1641	957	293	0	511	16	118	250	241	227	303	105	62	250	60	0	29	0	473	74	0	138	0	133	0	564	1583	759	503	2362	26	23	76	19	0	0	38	2892	41	16	634	611	0	1076	218
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia	45	0	10	0	184	0	0	8	0	0	0	1871	101	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	30	0	24	0	0	0	0	0	0	0	0	0	23	0	0	0	9	0	0	0	0	66	0	0	0	0	0	8	0	0	0	0	0	13	0	0	0	10	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Brachymonas	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	5	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	3	0	0	0	0	0	0	0	0	54	0	0	4	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|Unclassified_member_of_Neisseriaceae	31	28	60	0	99	0	0	0	0	0	0	0	0	0	0	661	0	4	9	0	0	0	25	0	0	9	108	0	16	12	37	1	132	31	36	0	0	262	0	0	37	0	0	0	0	0	16	0	24	0	76	32	0	27	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|Unclassified_member_of_Neisseriaceae	0	0	30	0	12	0	0	0	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	0	0	0	2	0	1754	0	1	0	32	0	0	0	0	0	0	0	5	17	0	0	0	0	28	9	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella	10	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	50	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	27	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	5	41	34	0	2	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	33	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	30	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	1304	37	140	169	278	0	886	0	0	0	0	0	0	536	0	662	17	1814	49	0	3785	1093	216	19	98	0	594	0	572	0	6100	103	3685	334	655	59	6879	750	344	0	1341	0	0	72	0	3687	0	107	0	293	944	123	15	2053	0	16	2428	24	0	0	5053	0	0	252	485	0	0	14641	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	34	7	17	82	32	0	53	93	10	112	65	0	66	38	91	28	617	91	24	224	10	129	13	303	60	245	15	0	179	55	25	44	25	82	91	8	17	62	51	31	71	15	0	47	0	37	67	29	0	27	62	180	52	105	31	28	118	196	0	116	33	389	4	38	58	67	13	534	190
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	25	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|Unclassified_member_of_Enterobacteriaceae	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	0	426	11	0	122	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	55	0	0	8	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	65	118	112	897	966	0	549	0	0	0	0	0	0	72	0	3	0	0	0	0	43	0	175	20	75	0	41	0	4	11	1795	4	0	0	0	0	0	41	0	0	6	0	11	1038	0	254	0	308	0	99	1313	95	0	1560	7	0	309	1082	0	0	78	0	0	12	2399	0	0	22	0
k__Bacteria|p__SR1|Unclassified	0	19	4	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	8	0	0	0	0	27	0	0	0	0	0	26	0	0	25	0	0	0	0	11	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	0	0	13	0	47	0	0	0	0	0	0	0	6	78	2	182	271	143	43	215	438	265	0	0	0	6	0	0	29	18	12	56	31	138	705	0	0	81	0	0	0	0	0	0	0	15	422	4	0	3	62	445	6	16	29	0	0	0	3	5	0	200	5	0	0	30	35	0	116
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__TG5	0	0	6	0	42	0	0	0	0	0	0	0	0	0	0	142	196	180	13	230	49	289	0	0	0	3	0	0	37	99	28	83	60	10	84	0	0	20	0	0	0	0	0	0	0	40	231	5	0	0	19	46	22	20	0	0	0	0	0	9	0	39	0	0	0	9	0	0	151
k__Bacteria|p__TM7|c__TM7-3|Unclassified_member_of_TM7-3	0	19	0	0	3	0	0	0	0	0	0	0	0	4	12	3	0	0	0	0	0	10	0	0	0	0	7	0	0	0	0	0	5	0	3	0	0	14	0	0	35	0	0	0	0	13	0	13	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10
k__Bacteria|p__TM7|c__TM7-3|o__CW040|Unclassified_member_of_CW040	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma	0	0	0	0	0	7	0	0	0	0	0	0	203	0	0	24	0	16	5	38	0	12	0	0	0	0	0	0	0	0	0	21	13	0	3	0	0	0	0	12	0	0	0	0	0	0	177	0	0	0	21	48	0	0	0	0	0	0	14	149	0	6	0	0	0	0	0	0	7
