Group	7_13	_min1	7_13	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	7_13	7_13	_min1	7_13	_min1	_min1	_min1	7_13	7_13	_min1	7_13	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	7_13	_min1	_min1	7_13	_min1	_min1	_min1	7_13	_min1	_min1
ID	R027W03	R040W00	R040W02	R053W01	R023W00	R035W00	R053W02	R059W00	R059W02	R061W00	R061W02	R070W04	R072W02	R078W01	R078W02	R079W00	R080W01	R091W00	R091W02	R095W02	R097W00	R097W02	R099W02	R102W00	R102W02	R104W00	R107W01	R108W01	R109W01	R111W01	R111W02	R112W01	R112W02	R114W01	R114W03	R118W00	R118W02	R119W02	R122W01	R122W03	R127W01	R127W02.02	R128W01	R136W01	R136W02	R137W00	R137W02	R138W00	R138W02	R143W00	R149W01	R149W03	R152W01	R152W03	R162W02	R164W01	R164W03	R168W00	R168W03	R172W02	R176W01	R177W01	R177W03	R180W01	R186W00	R199W01	R199W03	R201W01	R211W01
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0	0	4	0	135	0	0	0	0	0	0	2444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	16856	0	0	36	0	0	9	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae|Unclassified_member_of_Gemellaceae	44	533	3458	154	585	0	461	61	0	110	221	0	0	420	54	89	168	156	303	0	476	706	289	98	208	848	266	710	150	2360	282	590	292	84	300	56	1586	362	202	0	49	0	23	107	0	670	8	110	0	24	433	276	330	433	0	159	800	114	0	0	583	3489	8	32	665	1885	0	296	237
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|Unclassified_member_of_Lactobacillales	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	33	0	0	0	176	0	16	0	5	15	27	774	0	8	0	7	2	0	0	119	51	59	0	0	0	0	11	0	0	163	177	139	27	37	3	7	61	0	0	0	13	22	0	4	0	22	3085	6	17	14	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	428	30	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	322	317	126	1425	1041	0	426	236	2063	891	916	2039	0	1220	326	278	909	1230	102	0	1267	632	42	480	1027	2497	339	0	905	2398	293	426	147	1392	356	374	1584	108	351	118	530	683	72	416	0	362	3117	183	99	216	856	925	2177	427	0	389	893	207	0	212	2396	18	0	165	410	66	0	528	505
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	167	0	0	0	0	0	0	0	0	0	26759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	3	446	0	10	3967	0	73	0	0	0	30	42	0	0	32	279	0	0	0	0	0	122	0	0	42	0	1724	50	43	0	72	0	373	29	23	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	6527	84	0	0	0	0	0	0	0	9	502	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0	0	0	0	0	4	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0	0	16	0	0	33	0	0	0	38	3	0	1	0	0	0	468	0	0	10	0	333	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	496	0	0	0	0	0	0	0	0	1204	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2434	7425	2214	13843	5099	2621	6300	244	2431	2978	8547	21836	28	876	455	6721	2400	2582	4652	47	4561	14223	13911	1575	6428	5236	2721	6269	5801	29022	6476	6942	2701	4785	9184	4518	4904	1789	12651	4415	2257	6062	915	4402	3834	3675	129	1946	560	1935	8465	454	877	2464	7187	4314	7801	1642	0	9581	5208	16426	29	1594	15166	2318	2296	3818	1176
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Unclassified_member_of_Clostridiales	0	0	36	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Unclassified_member_of_Clostridiales	149	55	293	4	116	17	0	0	0	0	0	0	0	2	0	225	61	27	30	11	19	11	6	32	57	189	38	0	11	5	18	52	0	71	13	0	0	18	0	0	0	0	0	1	0	36	0	45	0	11	0	0	0	0	5	0	0	0	0	0	0	322	0	0	56	251	0	23	61
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter_Eubacterium	0	0	25	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|Unclassified_member_of_Lachnospiraceae	48	291	26	93	247	0	25	6	0	35	14	4	4	1	0	8	748	2	24	0	60	48	15	8	56	25	7	0	294	6	54	55	7	16	26	11	9	36	0	0	15	0	79	5	0	36	7	55	4	0	27	42	137	174	0	0	0	44	0	0	21	278	0	29	146	1122	0	103	58
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|Unclassified_member_of_Lachnospiraceae	72	45	650	255	73	6	25	24	10	0	0	0	0	38	52	16	282	28	16	0	23	10	0	35	34	239	0	0	127	13	18	46	11	77	31	30	6	21	60	0	7	0	0	18	0	17	0	25	0	15	12	0	619	379	6	0	0	0	0	0	13	90	0	186	106	300	0	112	145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	5	0	0	0	0	0	0	0	0	16	2	1	29	46	23	0	0	0	0	0	0	0	0	0	49	0	0	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	32	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella	7	6	0	154	35	0	20	0	0	0	0	0	0	27	0	5	24	0	0	0	0	25	0	0	0	17	0	0	76	0	0	0	0	0	0	0	0	28	0	0	50	0	0	0	0	13	6	0	0	10	93	17	0	0	0	0	0	0	0	0	27	55	0	6	24	106	0	0	19
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Moryella	21	108	171	0	28	0	0	22	8	0	0	11	0	57	86	24	150	100	48	7	44	43	0	0	0	290	24	0	208	13	0	80	25	46	18	19	0	39	111	0	17	0	14	25	0	57	0	39	0	8	27	0	139	77	12	7	15	107	0	0	113	604	4	143	124	520	0	0	264
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	36	65	0	211	356	0	35	0	0	0	0	0	3	237	53	22	41	95	22	9	111	30	5	651	192	566	24	0	451	8	63	46	6	102	27	12	0	56	46	0	259	0	27	37	0	62	0	50	0	80	157	47	227	55	20	0	0	7	3	0	157	431	5	43	183	466	0	510	63
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|Unclassified_member_of_Peptostreptococcaceae	0	0	155	0	51	0	0	0	0	0	0	0	0	0	0	8	7	0	11	0	3	18	0	0	0	0	0	0	0	25	10	6	0	10	33	0	0	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	136	0	0	0	0	0	0	0	0	9	0	0	0	8	0	0	15	0	0	0	0	0	0	0	0	5	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	17	53	0	0	238	0	0	0	0	0	0	0	0	0	0	0	2	0	0	11	64	438	0	0	0	0	5	0	0	0	6	19	108	0	150	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	21	76	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0	0	671	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|Unclassified_member_of_Veillonellaceae	0	0	402	0	0	0	0	0	0	0	0	3	0	0	0	76	278	0	0	40	0	0	0	0	0	0	0	0	38	0	0	0	0	61	32	0	0	0	0	0	0	0	0	0	0	0	0	20	0	17	0	18	18	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	36
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Dialister	0	0	68	12	38	0	0	0	0	18	0	0	0	0	0	0	31	0	101	24	0	30	0	0	0	0	0	0	24	0	0	0	0	0	24	0	15	0	0	0	0	0	0	0	0	0	23	0	0	10	0	57	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera	185	175	487	442	581	0	136	1281	800	0	299	0	0	688	40	1091	222	73	2034	572	116	69	0	2000	876	44	741	0	496	0	0	469	401	145	58	0	0	447	0	0	48	11	340	43	47	0	0	264	1447	225	97	85	31	178	0	0	0	276	0	206	27	88	0	2747	890	220	514	90	120
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Schwartzia	0	0	960	3	88	0	0	0	0	18	11	0	0	34	0	24	259	26	17	79	9	62	0	0	0	14	0	0	124	29	10	153	84	89	105	0	0	40	0	0	7	0	0	17	0	0	19	0	0	20	149	157	12	3	0	0	0	0	0	0	0	48	0	0	0	0	0	16	49
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas	225	203	2434	10	1312	0	12	6	19	230	32	7	2	1540	3983	342	1661	141	390	161	316	289	84	0	0	865	90	0	827	162	55	707	229	616	959	135	61	143	0	0	203	0	0	378	0	273	190	1064	459	603	507	363	936	985	0	0	0	0	5	41	47	110	8	246	114	41	1680	1252	693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella	3631	7335	10824	12375	7233	38	5375	12790	15242	8697	5816	31	87	18103	19710	3272	5319	13049	7804	40667	8792	10123	6827	13839	13343	2118	7943	29	9234	2730	3614	11466	4160	9672	4963	6063	110	2589	2093	6216	3746	10749	4118	6003	7968	68	1371	5382	5732	11608	2731	495	2255	7862	13894	3611	8214	5009	15	10116	2587	59	66	2781	13264	3571	26685	4014	923
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|Unclassified_member_of_Mogibacteriaceae	25	49	12	49	60	0	22	0	0	0	0	0	0	25	0	2	2	0	0	0	0	59	0	0	43	0	3	0	5	0	0	16	10	0	13	0	0	12	0	0	0	0	0	0	0	0	58	0	0	0	77	30	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__Mogibacterium	0	13	12	47	54	0	10	0	0	0	0	0	0	26	14	1	0	12	32	0	7	12	0	0	32	0	7	0	27	0	4	16	47	0	0	0	0	13	0	0	0	0	0	0	0	0	12	9	8	10	11	15	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	7	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|Unclassified_member_of_Tissierellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Parvimonas	16	26	2	19	145	0	10	3	0	0	0	0	0	0	0	11	0	16	39	12	43	202	0	0	20	18	4	0	10	37	14	91	122	10	20	0	0	37	0	0	6	0	0	0	0	0	74	0	0	6	157	9	7	50	0	0	0	0	0	0	0	4	0	0	0	0	3	20	30
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	38	16	29	9	29	0	9	0	0	0	7	0	0	52	3	19	6	15	34	0	0	16	0	22	63	28	6	0	21	8	0	57	21	12	14	0	0	0	14	0	6	0	0	0	0	14	0	11	0	0	46	11	131	81	0	0	0	0	0	0	16	0	0	0	8	36	0	0	17
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Sharpea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
