Group	_min1	_min1	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1
ID	R009W00	R010W00	R010W02	R014W01	R014W02	R016W00	R021W01	R022W00	R028W01	R044W01	R044W03	R057W00	R058W00	R007W01	R024W00	R025W01	R028W03	R029W02	R031W00	R031W02	R039W00	R002W00	R003W00	R006W00	R020W00	R036W00	R057W02	R063W01	R063W03	R066W00	R066W03	R067W00	R069W00	R069W02	R071W00	R071W02	R073W00	R077W00	R077W02	R081W00	R082W01	R082W02	R084W00	R086W00	R086W02	R087W01	R087W03	R089W00	R089W02	R092W00	R096W03	R103W02	R116W00	R116W03	R120W01	R120W03	R121W00	R121W02	R125W02	R129W03	R130W00	R134W00	R134W02	R135W00	R139W00	R139W02	R148W01	R148W03	R151W01	R151W03	R156W01	R156W03	R157W01	R157W02	R159W01	R159W03	R161W00	R161W03	R165W01	R169W00	R169W03	R171W01	R171W02	R174W01	R174W03	R179W01	R187W00	R198W03	R206W00
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|Unclassified_member_of_Lachnospiraceae	23	45	0	21	0	0	140	0	0	50	27	20	45	184	0	12	135	10	271	0	0	44	510	1	0	0	0	45	11	162	0	53	222	8	59	2	101	0	16	146	44	8	25	8	7	104	0	30	29	52	0	3	473	0	40	0	10	0	31	41	25	177	0	102	18	0	51	25	0	0	27	8	0	0	13	10	5	0	20	94	52	0	0	56	15	48	9	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|Unclassified_member_of_Lachnospiraceae	261	116	63	24	4	0	349	3	674	230	126	21	25	458	0	55	362	7	70	0	105	60	433	0	65	22	0	66	95	26	0	20	30	0	73	16	111	34	15	235	280	0	61	16	13	38	0	114	280	15	0	6	0	0	107	0	116	0	21	62	6	203	0	18	41	0	0	11	0	0	108	5	7	5	14	0	36	0	41	0	27	159	27	39	0	95	16	4	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0	0	9	0	12	0	3	0	0	0	0	0	0	0	0	0	3	0	331	0	0	0	4	0	0	0	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	7	0	7	8	2	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	26	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella	0	2	0	2	0	8	0	0	0	0	0	0	6	0	0	0	0	0	114	0	0	0	0	16	0	0	0	16	27	13	0	0	0	0	78	123	11	4	32	84	28	0	19	0	0	0	0	0	0	22	0	24	31	0	28	0	51	0	0	62	0	0	0	0	0	0	11	0	0	0	67	0	0	0	0	0	0	0	128	0	0	7	9	11	0	0	5	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Moryella	309	0	0	209	0	0	38	0	0	1540	182	21	9	542	0	23	32	40	294	0	21	90	1	1	50	28	0	22	13	152	0	131	24	0	55	0	52	2	33	398	339	0	40	37	23	21	0	498	660	150	0	14	50	0	102	0	36	0	19	172	0	408	10	18	35	0	45	0	0	0	159	0	0	0	73	8	121	0	30	0	67	56	12	46	0	133	94	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0	122	0	24	0	66	72	8	0	300	199	13	212	290	0	82	0	0	891	57	48	577	0	65	25	0	0	57	90	105	0	89	39	0	70	88	83	87	92	55	104	4	135	58	8	150	0	420	163	65	0	46	94	0	110	0	50	0	21	94	0	0	0	0	58	6	0	6	0	0	120	18	0	8	18	0	81	0	44	262	15	56	37	98	0	146	81	0	16
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|Unclassified_member_of_Peptostreptococcaceae	0	0	5	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	35	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	31	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	115	0	0	0	0	0	0	9	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	93	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0	0	0	22	0	16	0	0	0	0	0	0	46	0	0	0	0	0	61	618	0	6	0	0	0	0	0	12	620	0	0	0	0	0	43	498	55	0	114	0	13	0	0	0	59	0	27	0	0	11	0	35	0	0	0	0	0	0	0	79	0	0	0	0	21	43	0	0	0	0	0	0	0	0	0	0	0	0	68	0	189	0	0	0	0	0	19	0	59
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|Unclassified_member_of_Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|Unclassified_member_of_Veillonellaceae	0	0	0	0	0	0	11	0	0	0	0	0	19	0	0	0	0	0	37	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	40	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	166	0	0	0	0	0	0	0	46	0	5	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Dialister	0	16	0	0	0	0	0	0	46	0	7	0	16	0	0	4	39	0	323	0	0	58	0	133	0	0	0	0	0	0	0	0	0	0	64	9	37	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	18	55	0	0	15	0	0	0	0	19
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera	0	220	0	38	0	1292	6	466	103	32	1086	390	445	1399	0	1352	17	0	830	8	86	301	558	139	143	89	0	308	4082	159	0	814	464	48	189	211	957	932	219	41	819	79	0	1587	774	96	1658	2303	2510	775	0	0	55	0	0	0	1688	14	660	0	322	255	32	0	0	0	53	126	0	0	27	0	0	0	593	243	1011	33	530	0	0	14	12	23	168	588	1409	131	387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Schwartzia	0	10	0	0	0	0	2	0	0	0	0	0	70	0	7	20	0	0	124	0	0	278	10	137	0	0	0	0	0	8	0	0	14	0	260	0	9	0	17	76	57	18	2	22	0	45	0	0	0	9	0	0	2	5	0	0	10	0	59	0	0	0	0	0	0	0	8	67	0	0	64	4	0	0	0	10	21	12	375	0	123	0	0	133	0	28	0	0	117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas	0	347	0	0	0	10	71	0	1709	729	471	157	505	58	2	372	57	0	2614	26	64	123	32	217	1117	359	0	48	1239	482	0	184	213	16	1310	116	828	129	152	1052	1365	56	576	744	103	2115	0	274	581	698	0	0	258	0	98	0	384	0	239	256	8	160	22	23	274	0	0	0	0	0	115	0	115	45	25	112	453	0	1613	0	33	0	0	491	294	267	34	0	367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella	1646	6467	2142	6865	15665	9928	9971	7805	7032	1461	17597	2305	9168	6622	211	9701	3004	7747	1146	3256	6464	8428	15993	5900	11548	4517	30	2495	36327	5394	75	9922	14431	4634	3637	1894	8432	14541	11376	768	9936	22094	23460	15088	20607	14481	19931	15684	9279	10695	1532	913	13294	16653	4658	460	27235	15273	3784	20215	2786	648	1175	2053	3208	4199	531	4092	17	36	725	17086	1082	1420	7297	2120	9800	13212	498	16470	6362	8436	4762	3580	10963	5249	7964	49486	6744
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|Unclassified_member_of_Mogibacteriaceae	0	2	0	0	0	0	0	0	0	0	0	0	146	26	1	10	0	0	31	0	0	43	0	119	0	0	0	0	248	11	0	39	6	0	6	0	44	0	22	0	5	0	7	0	0	0	0	0	0	21	0	0	18	0	8	5	0	0	0	56	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	12	0	10	0	30	0	0	25	0	18	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__Mogibacterium	0	0	0	0	0	0	0	6	0	38	100	10	48	39	0	26	0	0	24	0	6	35	0	67	12	0	0	0	41	22	0	29	9	0	29	0	35	7	3	0	36	0	3	0	22	0	0	30	13	0	0	11	2	0	0	0	14	0	8	0	0	14	0	0	0	0	0	7	0	0	0	0	0	0	7	0	11	0	0	0	22	8	56	0	0	13	25	0	16
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Parvimonas	0	100	39	0	0	0	3	0	0	7	131	0	169	7	0	3	0	0	497	1	3	146	0	268	0	0	0	3	55	13	0	5	14	7	139	5	29	0	0	71	54	33	11	0	0	0	0	0	0	26	0	0	6	5	14	19	0	0	10	0	8	16	0	0	0	0	0	0	0	0	118	21	0	0	0	20	5	0	129	0	0	0	0	89	0	54	35	0	47
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	0	36	0	19	0	4	11	4	0	166	35	10	0	45	0	14	0	0	37	82	11	10	0	0	23	0	0	0	34	22	0	0	0	0	16	0	18	4	35	12	17	0	27	3	11	46	0	23	6	0	0	0	37	0	99	0	24	0	0	6	0	14	0	0	4	0	11	19	0	0	76	0	0	0	6	0	20	0	0	0	19	18	19	15	0	15	0	0	7
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	30	19	17	0	3	3	138	119	62	29	0	415	639	2	32	10	0	641	0	97	141	0	1614	109	70	0	11	240	1000	12	50	131	7	410	337	238	137	518	44	368	58	165	99	0	14	18	335	396	236	0	31	921	0	44	0	329	0	77	454	263	590	279	81	327	0	38	158	0	0	119	0	15	72	0	0	52	4	255	191	693	82	190	264	0	107	176	0	284
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|Unclassified_member_of_Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	2001	156	0	437	2	0	112	0	208	594	1138	139	421	428	0	826	503	57	823	6663	479	362	1577	12	2863	447	0	103	1161	366	0	102	348	0	498	72	582	949	1183	406	899	2	405	623	136	32	0	2188	3998	401	0	130	3620	0	102	0	738	0	928	2463	315	638	144	1660	1064	0	128	205	3	0	113	0	208	632	32	0	414	0	437	483	591	451	78	239	0	1436	224	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium	0	0	17	0	18	0	0	6	0	0	0	0	0	0	0	0	21	8	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia	0	0	0	0	0	10	0	1495	0	0	0	4	29	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	9	0	0	0	22	0	97	0	0	109	28	0	0	0	0	46	12	0	0	0	0	0	22	0	0	0	0	0	0	0	53	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	105	16	0	289	0	0	0	14	0	36
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|Unclassified_member_of_Comamonadaceae	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Brachymonas	0	3	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|Unclassified_member_of_Neisseriaceae	0	0	0	0	0	0	0	0	0	11	0	0	55	6	0	0	0	11	9	0	7	0	0	0	0	22	0	509	509	0	0	0	146	0	191	7	32	143	38	0	18	0	264	86	12	0	0	0	0	43	29	0	0	0	0	0	1225	24	0	0	47	0	28	0	0	0	0	36	0	0	3	0	0	194	0	0	0	0	0	0	0	0	101	105	527	0	0	0	31
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|Unclassified_member_of_Neisseriaceae	0	1	0	0	0	67	0	0	0	5	0	0	0	0	8	0	0	0	0	5	120	0	0	0	0	51	0	0	25	0	0	0	0	0	0	0	2	259	84	0	19	0	0	37	13	0	0	0	0	0	8	0	0	0	0	0	108	0	107	0	307	199	64	0	0	0	0	0	0	0	25	1524	0	15	0	0	0	0	0	0	0	0	0	0	149	0	177	0	24
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	0	16	0	0	0	5	101	0	0	0	0	3	4	0	0	6	0	0	11	0	1237	130	0	0	284	10	0	53	11	0	0	0	24	0	0	0	9	20	21	0	9	0	2	6	4	0	0	0	6	7	0	0	0	0	0	0	0	0	13	0	16	19	0	19	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0	256	62	0	0	3	1674	794	0	0	166	25	544	0	0	85	0	56	958	0	2054	726	11	0	293	75	0	1726	5167	342	0	494	2955	11	549	26	1543	1323	880	0	1574	0	88	875	0	14	0	947	1189	607	0	0	2887	0	0	0	2966	0	264	0	2122	30	5943	1512	297	0	7137	204	79	0	216	0	56	1677	0	0	9	0	52	17	0	0	0	1098	0	383	782	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	499	153	244	130	248	16	85	114	90	383	14	0	52	33	0	17	125	36	165	45	73	292	137	49	130	37	0	37	204	38	0	21	130	14	126	7	248	27	35	63	198	32	184	85	3	34	4	259	243	19	11	91	108	0	56	0	112	0	82	135	5	137	13	6	34	7	42	13	0	0	106	18	7	15	5	61	71	0	282	22	158	167	1394	55	50	25	23	0	126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium	0	0	0	0	0	0	0	0	0	0	21	3	24	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	83	0	0	0	63	0	0	0	2	0	6	0	5	0	0	11	0	0	0	5	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|Unclassified_member_of_Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	19	0	0	0	0	0	0	0	10	80	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	137	1285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	10	4	0	0	0	0	28	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	379	0	74	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0	0	0	4039	5	6804	0	2121	0	0	20	14	132	265	0	51	0	135	13	0	320	394	0	142	37	5	0	78	1007	45	0	64	1112	0	8	474	14	1294	1980	0	49	0	0	63	18	76	0	0	117	809	0	0	551	0	0	0	418	0	333	0	1026	40	1710	17	504	0	0	0	0	0	0	0	1541	910	0	0	132	0	0	431	6220	0	46	197	0	193	348	0	3708
k__Bacteria|p__SR1|Unclassified_member_of_SR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	35	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	13	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	0	10	0	0	0	0	0	0	6	0	0	0	424	2	12	0	16	0	278	10	0	45	0	238	0	0	0	0	0	29	0	0	14	0	784	26	22	0	0	26	38	32	0	7	0	19	17	0	0	86	0	0	5	0	0	4	58	0	59	40	4	30	4	0	0	0	0	0	0	0	112	27	13	0	0	0	0	4	235	0	0	0	0	92	0	52	0	0	13
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	19	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__TG5	0	0	0	0	0	0	0	0	0	0	0	0	479	0	39	0	0	0	12	0	0	51	0	700	0	0	0	0	0	27	0	3	204	0	1106	27	5	0	0	16	61	9	0	1	0	0	0	0	0	209	0	0	0	0	7	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	24	5	569	0	0	0	0	4	0	169	35	0	14
k__Bacteria|p__TM7|c__TM7-3|Unclassified_member_of_TM7-3	0	0	0	0	0	2	0	0	0	0	0	0	0	24	0	0	0	0	1	0	1	9	0	5	0	0	0	0	7	0	0	16	5	0	0	18	13	0	0	0	0	1	11	0	0	0	0	12	0	0	0	0	32	0	26	0	131	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	7	0	8	11	0	0
k__Bacteria|p__TM7|c__TM7-3|o__CW040|Unclassified_member_of_CW040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	3	0	3	0	87	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__TM7|c__TM7-3|o__CW040|f__F16|Unclassified_member_of_F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma	0	13	294	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	28	18	0	20	0	13	0	0	14	0	0	0	81	0	186	108	7	64	0	0	0	17	0	238	0	0	0	0	0	0	0	6	118	0	0	55	0	1500	0	46	0	0	0	0	0	0	0	0	5	85	0	0	4	54	0	0	0	5	0	0	27	2	8	0	122	0	5	17	3	162	4
