k,type,10,20,30,40,50
100,train_acc,0.8255,0.8821,0.9075,0.9299,0.947
100,train_auc,0.900694221,0.942422569,0.96550499,0.979092716,0.987912265
100,dev_loss,0.408227652,0.308683991,0.253798902,0.217282712,0.195011243
100,dev_acc,0.8296,0.8743,0.9012,0.9154,0.9236
100,dev_auc,0.901191505,0.938356177,0.959269681,0.97061015,0.978563732
110,train_loss,0.449385047,0.315453768,0.262264371,0.20797202,0.169275969
110,train_acc,0.7903,0.8622,0.8874,0.9135,0.9315
110,train_auc,0.869342137,0.934179032,0.95686529,0.975284072,0.983961534
110,dev_loss,0.446103722,0.313987762,0.276732773,0.237614319,0.210922107
110,dev_acc,0.7912,0.8613,0.8783,0.895,0.9126
110,dev_auc,0.873291329,0.935213688,0.952060054,0.966631612,0.973966755
120,train_loss,0.576245964,0.410442352,0.282737374,0.190786585,0.123849027
120,train_acc,0.6934,0.8063,0.8745,0.9311,0.9599
120,train_auc,0.77076137,0.894097924,0.952329138,0.980559529,0.991693424
120,dev_loss,0.575815976,0.413519204,0.292639494,0.208637238,0.158333078
120,dev_acc,0.6893,0.8061,0.868,0.9248,0.946
120,dev_auc,0.765574095,0.892438793,0.947993208,0.975033371,0.984026492
130,train_loss,0.579307795,0.420063376,0.367454708,0.317419887,0.278777033
130,train_acc,0.691,0.8071,0.83,0.8586,0.8892
130,train_auc,0.760904007,0.888261323,0.917190048,0.939232631,0.955028338
130,dev_loss,0.581996381,0.437724411,0.396569282,0.356927305,0.325430125
130,dev_acc,0.6905,0.7949,0.8137,0.8376,0.8622
130,dev_auc,0.759858184,0.87574059,0.901087409,0.921254455,0.935579841
140,train_loss,0.472611099,0.386290878,0.329204708,0.272361845,0.232204095
140,train_acc,0.7859,0.831,0.8568,0.8901,0.909
140,train_auc,0.856841582,0.903566672,0.933442077,0.954452087,0.967430721
140,dev_loss,0.478731155,0.405036867,0.359071165,0.317721754,0.295592129
140,dev_acc,0.7807,0.8175,0.84,0.8678,0.8802
140,dev_auc,0.853947424,0.894392762,0.921683885,0.938423478,0.947890342
150,train_loss,0.438898832,0.352585107,0.31626305,0.261933923,0.20986931
150,train_acc,0.8139,0.8585,0.8711,0.8877,0.9148
150,train_auc,0.877958032,0.921034124,0.93997768,0.959206257,0.973461254
150,dev_loss,0.447922349,0.367892385,0.339687765,0.299178094,0.2587277
150,dev_acc,0.8074,0.8519,0.8627,0.8751,0.893
150,dev_auc,0.871163285,0.913689735,0.929105236,0.945982204,0.959403518
160,train_loss,0.545144141,0.426211387,0.376609683,0.330408394,0.279269993
160,train_acc,0.7247,0.7923,0.8307,0.8588,0.8863
160,train_auc,0.823401245,0.885773493,0.913079469,0.935950317,0.955571625
160,dev_loss,0.54362458,0.437431812,0.399774283,0.371905237,0.341237903
160,dev_acc,0.726,0.7855,0.8154,0.8372,0.8579
160,dev_auc,0.828890631,0.878312265,0.900112414,0.917374745,0.933820341
170,train_loss,0.606831312,0.454554141,0.342678726,0.277820319,0.239005774
170,train_acc,0.6613,0.7867,0.8475,0.8843,0.8979
170,train_auc,0.689962765,0.87308848,0.928417187,0.954416693,0.967073163
170,dev_loss,0.606099665,0.469418883,0.36512661,0.307448447,0.277415931
170,dev_acc,0.6595,0.7753,0.8364,0.8704,0.8821
170,dev_auc,0.693882565,0.861091958,0.917349774,0.942264169,0.954691036
180,train_loss,0.573624134,0.415630788,0.366801471,0.317614883,0.261585802
180,train_acc,0.7142,0.806,0.8331,0.864,0.8966
180,train_auc,0.799110928,0.891473443,0.917039287,0.93962391,0.958840993
180,dev_loss,0.572910547,0.425446689,0.389602244,0.349026561,0.308470577
180,dev_acc,0.7204,0.8029,0.8254,0.8485,0.8785
180,dev_auc,0.799760748,0.884913242,0.905450945,0.925346228,0.941251691
190,train_loss,0.469517052,0.396139473,0.373600215,0.352785587,0.32835117
190,train_acc,0.7871,0.8197,0.8281,0.8379,0.8556
190,train_auc,0.856884302,0.899665764,0.911377007,0.921464118,0.934011751
190,dev_loss,0.466454297,0.398819923,0.381932676,0.373253196,0.36073947
190,dev_acc,0.7869,0.815,0.8235,0.8299,0.8394
190,dev_auc,0.861061692,0.898911969,0.907802425,0.912721328,0.92108625
200,,,,,,
200,,,,,,
200,,,,,,
200,,,,,,
200,,,,,,
200,,,,,,
