k,idx,cycles,deg,modularity
10,0,2,4.0,0.23583984375
10,1,2,3.875,0.23725286160249745
10,2,2,4.125,0.25482093663911853
10,3,2,4.0,0.25634765625
10,4,2,4.0,0.255859375
10,5,2,4.125,0.25987144168962345
10,6,2,3.875,0.3017689906347555
10,7,2,4.0,0.232421875
10,8,2,4.125,0.2281910009182736
10,9,2,4.125,0.261248852157943
20,0,2,4.0,0.2797619047619047
20,1,2,4.0,0.25396825396825395
20,2,2,4.095238095238095,0.2752839372633856
20,3,2,3.9047619047619047,0.3042831647828674
20,4,2,4.0,0.2876984126984127
20,5,2,4.0,0.28316326530612246
20,6,2,4.0,0.2769274376417233
20,7,2,3.9047619047619047,0.3367043426531826
20,8,2,4.095238095238095,0.3155759870200109
20,9,2,4.0,0.2905328798185941
30,0,2,4.0,0.31323964497041423
30,1,2,4.0,0.30196005917159763
30,2,2,3.8461538461538463,0.34940000000000004
30,3,2,4.0,0.37074704142011833
30,4,2,4.076923076923077,0.32449270202919184
30,5,2,4.076923076923077,0.3070487718049128
30,6,2,3.769230769230769,0.3238234069137859
30,7,2,3.8461538461538463,0.29300000000000004
30,8,2,3.923076923076923,0.317762399077278
30,9,2,3.923076923076923,0.3154555940023068
40,0,2,4.064516129032258,0.3274124464600655
40,1,2,3.870967741935484,0.37361111111111106
40,2,2,3.935483870967742,0.3511152915882828
40,3,2,3.935483870967742,0.39223327062617575
40,4,2,4.064516129032258,0.3422776518014613
40,5,2,4.064516129032258,0.33812043335852854
40,6,2,4.064516129032258,0.32363315696649025
40,7,2,4.0,0.3440426638917794
40,8,2,4.0,0.32895421436004163
40,9,2,3.935483870967742,0.34453104004299917
50,0,2,4.055555555555555,0.38872208669544006
50,1,2,4.0,0.38155864197530864
50,2,2,4.055555555555555,0.36751735785325573
50,3,2,4.055555555555555,0.3741790204541189
50,4,2,4.0,0.3915895061728395
50,5,2,4.0,0.33863811728395066
50,6,2,4.055555555555555,0.33749296303246384
50,7,2,3.888888888888889,0.401326530612245
50,8,2,3.7777777777777777,0.37197231833910027
50,9,2,3.9444444444444446,0.36550287641341006
60,0,2,4.048780487804878,0.39192916243286396
60,1,2,3.951219512195122,0.37418076512726717
60,2,2,4.0,0.36771267102914934
60,3,2,4.0,0.3823616894705532
60,4,2,3.902439024390244,0.40507812499999996
60,5,2,4.048780487804878,0.36645376687472786
60,6,2,4.0,0.4335960737656157
60,7,2,4.048780487804878,0.388808245028306
60,8,2,4.0,0.36674598453301616
60,9,2,3.951219512195122,0.3808870598994056
70,0,2,4.043478260869565,0.39605734767025086
70,1,2,4.043478260869565,0.4085443403861718
70,2,2,4.043478260869565,0.4031679963001503
70,3,2,3.9565217391304346,0.36481101316266146
70,4,2,4.0,0.34581758034026466
70,5,2,4.0,0.3937854442344045
70,6,2,4.0,0.38108459357277885
70,7,2,4.043478260869565,0.4057694531159672
70,8,2,3.9565217391304346,0.4033933099867166
70,9,2,4.043478260869565,0.350156087408949
80,0,2,3.9607843137254903,0.41794922066464074
80,1,2,3.9607843137254903,0.4416723850602883
80,2,2,4.0,0.395040369088812
80,3,2,3.9607843137254903,0.42304676012155673
80,4,2,3.9607843137254903,0.4126556219978434
80,5,2,4.03921568627451,0.40696578376849846
80,6,2,4.0,0.4153690888119954
80,7,2,3.9607843137254903,0.4090285266150377
80,8,2,4.03921568627451,0.3772740126307852
80,9,2,4.03921568627451,0.3916957300405316
90,0,2,4.0,0.38954878826530615
90,1,2,3.9642857142857144,0.4243973703433163
90,2,2,4.0,0.40987723214285715
90,3,2,4.035714285714286,0.42442634505442867
90,4,2,3.9642857142857144,0.40926061196331465
90,5,2,4.0,0.45507812499999994
90,6,2,4.0,0.41868622448979587
90,7,2,4.0,0.39680325255102034
90,8,2,3.9642857142857144,0.41721451180910635
90,9,2,3.9285714285714284,0.4236776859504132
100,0,2,4.0,0.40553614619725886
100,1,2,4.032786885245901,0.4197898076541741
100,2,2,4.032786885245901,0.4228964240861921
100,3,2,4.032786885245901,0.43234846982616165
100,4,2,3.9672131147540983,0.4430366778225531
100,5,2,4.0,0.417092179521634
100,6,2,4.0,0.42948804084923403
100,7,2,4.032786885245901,0.4187983343248067
100,8,2,4.032786885245901,0.41251900323881285
100,9,2,4.0,0.43822225208277343
