ID,else;,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f___0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae_0
130,0.010129814765729623,-0.000648117807705714,-0.008980224863649746,-0.031202008334858138,-0.0010412047349667272,-0.24772232322467877,-0.03531784004585592,0.004079921473512809,-0.04006632775456063,-0.04234992165497123,-0.02052555702928933,-0.005257274106543787,-0.0015193701064231343,-0.0036742941158787695,-0.004434346198564718,-0.0029208442880121273,-0.0006113395830632822,-0.0001184219632733482,-0.00454627335494247,-0.007164844897490965,-0.0023010715865376084,-0.005496173530018077,0.003564360205978616,-0.005834245991698413,-0.0010680311100601813
143,-0.0009865912286982825,-0.00010567974335515566,0.033471147595967476,-0.03372820022185716,0.0015039291818022783,-0.11962839816062971,0.0049765351074072955,0.005444888513477707,-0.02726707406584695,-0.035015287894780533,-0.01015063335818574,-0.0048221305235714215,-0.001963570104313853,-0.002822535846466199,-0.0037140501486628112,-0.0029208442880121273,-1.3876386180457311e-05,0.0007699041867908625,-0.004648473436176284,-0.007164844897490965,-0.0015778208340701974,0.005431163441017513,-0.0035000244693661744,0.012066210131870012,-0.0010680311100601813
118,-0.012558603268176857,-0.0004667454197783876,0.020940350422798903,-0.03526555279589737,-0.0011178547958920872,-0.1650708252153869,-0.009711955058369321,0.005987635509911625,-0.0009001774558251158,-0.03969402979339976,-0.016376555535162093,-0.001238024572859102,-0.002080007431114948,-0.0030094464468231005,-0.0045147290169554165,-0.0029208442880121273,-0.0007365674388373947,0.0004127564090409458,-0.004648473436176284,-0.007164844897490965,-0.0017569544227556291,-0.006497996376210978,-0.010633128940624546,-0.005652873603771086,-0.0010680311100601813
128,-0.009062649883616679,-0.00036844153694089973,0.03573564569613034,-0.023350683430235927,-0.0007682594574360693,-0.18919474185252289,-0.020809569874952652,-0.0004361015617966209,-0.03759615906216253,-0.04317329565516783,-0.005130265785730884,-0.0037981839490192335,-0.002571042796954232,-0.0034281789466762275,-0.005445457328136345,-0.0029208442880121273,-0.0002187491498526855,-0.000898384558995258,-0.004555248012588011,-0.007164844897490965,-0.001881557180390387,-0.0024952881997157114,-0.011329880884754548,-0.005694407856316005,-0.0010680311100601813
179,0.0377107391747193,0.00021118719131815202,-0.03251587648914961,-0.006922607504961662,0.0011378208265455615,-0.061662663291031594,-0.014028258357309245,0.012300635638202544,0.009463304370526615,-0.03985965906854592,-0.01073580633710757,-0.0019002865020204065,0.0026050633839183874,0.0016718510515186594,0.005748903128096183,-0.0029208442880121273,0.0003710176717710778,-0.0008233964446216986,-0.004576864686257627,-0.007164844897490965,-0.0005824615884898765,-0.0038672767342662266,0.0018634252834636477,-0.00540459349218648,-0.0010680311100601813
116,-0.012159506706968403,-0.000648117807705714,-0.07513636321949226,0.05526118302740775,0.00047853144894173836,-0.14814705933492628,-0.03486894429571929,-0.0030212411365190747,-0.05217094325049424,-0.0026492070163541617,-0.01841295249584735,0.0009053543861990496,0.0019112158735307436,0.0027818770296955697,-0.002082706182061456,-0.0029208442880121273,-0.0003192949849520366,-0.00024002957196075242,-0.004581957342641541,-0.007164844897490965,-0.0021015233059333803,-0.005354847831774624,0.023291215270224874,-0.005834245991698413,-0.0010680311100601813
163,0.06040169433464495,-0.00021640007041091034,-0.05787345374908892,-0.03257482824002819,-0.0007940664929209844,-0.10968506315695788,0.014733130772187793,-0.016886223977778912,-0.029303230534386455,-0.026442332788989643,-0.018940959230474053,-0.008154135076668555,0.0016985882820731689,-0.0008572233174974531,0.001953264707043898,-0.0029208442880121273,0.0010247899910618952,-0.001038222694377665,-0.003713085005370876,-0.007164844897490965,-0.002085212717890207,-0.0077331166109821875,0.011109255790948836,-0.005834245991698413,-0.0010680311100601813
214,-0.012558603268176857,0.0001668922691107973,-0.0639660165875562,-0.03210371762850077,-0.0007782672638852074,-0.29746797018855026,-0.03215872919186688,-0.007789712607056282,-0.013131651966718755,-0.025215323262052516,-0.015616410200233669,-0.006888895638494368,0.00039330874922837794,-0.0016501209481364562,-0.0023207181178560936,-0.0029208442880121273,-0.00023876476275096174,-0.00022321261756115378,-0.004603195098575366,-0.006349834820674454,-0.0023010715865376084,-0.007269800415615831,-0.00809444073300375,-0.005834245991698413,-0.0010680311100601813
221,-0.012230127132298287,-0.00015540360388785794,-0.07646641241824394,-0.036921002895943154,-0.0011178547958920872,0.19471318220303435,0.0076316689643215075,-0.023727378365421634,-0.036597535247191684,0.006756922905653495,-0.017218181563966525,-0.00969592988850356,0.0021192766780405983,-0.0009755082877596932,0.003966121636555548,0.02821824223250037,0.0007244408526281325,-5.2794286741952986e-05,-0.004593727413529855,-0.005522464218098111,-0.0023010715865376084,-0.0072920232078724475,-0.00280933859777052,-0.005834245991698413,-0.0010680311100601813
225,0.002713917432367598,-0.0002296925830332631,0.00408676226789055,-0.029075577547750173,-7.17917342109597e-05,-0.05163058800916371,0.019666459265713858,-0.01596560438642472,-0.02145140015265823,-0.027282939750887622,0.009416420351567274,0.00618276427021365,0.0016807686242661442,-0.0010647597983411581,0.0032036177438200726,-0.0029208442880121273,-8.108937741981938e-05,0.000426265591975913,-0.0043695232863946495,-0.005909569223473612,0.0008371175985057733,-0.00606606196860356,0.004301401801245578,-0.005834245991698413,-0.0010680311100601813
