Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
six,pca_anna,relative,z_after_relative,1,0.8591203703703704,0.6
six,pca_anna,relative,z_after_relative,0,0.9173611111111112,0.482
six,pca_anna,relative,No,1,0.754537037037037,0.6906666666666667
six,pca_anna,relative,No,0,0.881712962962963,0.5613333333333335
six,mean,robust,No,ICA,0.7555092592592593,0.5493333333333333
six,mean,robust,No,None,0.8949074074074074,0.43533333333333335
six,mean,robust,z_after_robust,ICA,0.9098611111111112,0.524
six,mean,robust,No,PCA,0.7015277777777779,0.6393333333333333
six,mean,robust,No,ICA,0.7237499999999999,0.6853333333333333
six,mean,robust,z_after_robust,PCA,0.8751851851851853,0.5886666666666666
six,mean,robust,z_after_robust,ICA,0.9327314814814816,0.5680000000000001
six,mean,robust,z_after_robust,None,0.8848148148148148,0.5666666666666667
