ID,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___2,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Eggerthella_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae;g___0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae;g___1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae;g___2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__SMB53_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Anaerofustis_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Coprobacillus_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]_0,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Citrobacter_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia_0
157.1M,-0.5724436849320391,-0.1318310030544481,-0.07686982619039254,0.6253102027504114,-1.1629776100928888,0.23095565824182313,0.3605527246269558,-0.3061811960736003,-0.34259085085670815,-0.7531458506019018,-0.5390318548533934,-0.2253960669888151,0.026872244819923428,0.06867039305443676,-0.11725155137861758,-1.905401459673683,0.09206193650912106,-0.9618871484636992,-0.34949512828845286,1.150095253955883,0.06429401687620091,-0.33154767998736223,1.1953044898789433,-0.3256374344002574,-2.8012887096101493,-1.7078883746764795,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.7772975885141041,-0.19192980120866435,-0.5254890622906911,0.16008627446392343,-0.16126077469131395,-0.4130460906016364,-0.5196780735085204,-0.5661084346614941,-0.16894009972382,-0.3669300754002786,-0.3788102672879603,-0.6655927143926096,-0.1913428838712266,-0.3649600730531558,-0.21005465761245726,8.848208228006662,0.46352858800711,-0.3181762690385126,-0.19319071335608098,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,-0.31449876243441605,-0.3261567542515367,-0.36751683925324263,-0.36668188108628696
87.1M,-0.48018012208267435,-0.1318310030544481,0.006623543897582643,0.962952957758723,-1.1465161667290718,0.20319200652884223,0.264076108666323,-0.3061811960736003,6.108369586716082,1.6935547659894352,-0.4842868924067135,-0.11445108885936253,0.026872244819923428,0.0958522736301017,0.6794385164570669,-0.42716689420385556,-0.4248112972404445,-0.18031585672937792,-0.34949512828845286,-0.1417524044461444,-1.9209977352731793,-0.33154767998736223,-0.15475448694082197,-0.3256374344002574,-0.24478851845441413,0.04194780370092214,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.7766960677778191,-0.19185589083672008,-0.5254890622906911,0.16008627446392343,-0.16126077469131395,-0.4130460906016364,-0.5196780735085204,-0.0779218686994809,-0.3524692745871806,-0.3669300754002786,-0.3788102672879603,-0.6655927143926096,-0.1913428838712266,-0.3649600730531558,-0.21005465761245726,-0.101684525095182,-0.24140490509107385,-0.3181762690385126,-0.19319071335608098,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,-0.3081814131488922,-0.3261567542515367,-0.3650943776442437,-0.36668188108628696
84.6M,0.1543548325565688,-0.12809244874282708,-0.1288835027823538,-1.7197030755341594,-1.122970643032128,0.17639161326966782,0.17595473459776462,-0.3061811960736003,-0.34259085085670815,-0.7531458506019018,-0.538855037611004,-0.22655938778112658,0.026872244819923428,0.0724010296464964,-0.20229971867578994,-0.8848576868546789,-0.7606175019667002,-0.6206321314528306,0.907166662234766,-0.4077077923642688,0.11234272422868606,-0.33154767998736223,0.7166248591385117,-0.3256374344002574,-0.24478851845441413,0.04194780370092214,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.6447770255547255,-0.2484519069277842,-0.5254890622906911,0.049941233186869806,-0.10379735959713557,-0.3301544339025757,-0.5196780735085204,-0.529342257627805,-0.15834950697696892,-0.3669300754002786,-0.3788102672879603,-0.6655927143926096,-0.1913428838712266,-0.3649600730531558,-0.21005465761245726,-0.023075436667040365,-0.24140490509107385,-0.3181762690385126,-0.19319071335608098,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,-0.31277739426795054,-0.3261567542515367,-0.3430105847214801,-0.36668188108628696
126.6M,-0.10481009577489331,-0.1283332902395798,-0.20571452786717448,-0.6322842128529365,-1.132587293165806,0.18009758252488026,0.1957176344127443,-0.3061811960736003,0.5610019375775325,-0.03289606580883254,0.47572425403656116,-2.1456373556078647,-0.7281586419718902,0.04678766655257667,-0.20229971867578994,-1.248744074587258,4.499251069237449,1.1871062529733503,0.22804483372941453,-0.4077077923642688,0.11812017049470529,-0.33154767998736223,0.15324953967946767,-0.3256374344002574,-0.24478851845441413,0.04194780370092214,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.7770655601408789,-0.19190129129648306,-0.5242871258894365,0.16008627446392343,-0.16126077469131395,-0.4130460906016364,-0.5196780735085204,-0.5048837099848132,-0.19216840685636943,-0.3669300754002786,-0.3788102672879603,-0.6655927143926096,0.025158353203317527,-0.3649600730531558,-0.21005465761245726,0.08638713150040839,-0.24140490509107385,-0.3181762690385126,-0.17610673221679649,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,1.356470395221437,-0.3261567542515367,-0.2803170282177357,-0.36668188108628696
179.6M,2.361394071336056,-0.1318310030544481,-0.20571452786717448,-0.18139726016218155,-0.5849314929095389,0.028326549152146076,-0.011639210462736669,-0.3061811960736003,-0.34259085085670815,-0.22139528435752998,-0.595638566109986,0.14703234157184583,0.026872244819923428,0.789850762397694,-0.20229971867578994,-0.2961961460967634,-0.05757611877111134,1.5574626091268315,-0.34949512828845286,0.5599345320361797,-0.6461270559608382,-0.33154767998736223,-0.3344203527823769,-0.3256374344002574,-0.2961436447213036,0.40368652507963604,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.7778915004202214,-0.1920027766644305,-0.5245326486044695,0.16008627446392343,-0.16126077469131395,0.055949932333899256,-0.5080188049623675,-0.15617862960302548,-0.05085875511754688,-0.3669300754002786,-0.3788102672879603,-0.5557714631842882,-0.1913428838712266,0.6193375239617446,-0.21005465761245726,0.4076439821093814,-0.24140490509107385,-0.3181762690385126,-0.19319071335608098,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,0.2901346198117628,0.8054599690658668,-0.190725504058676,-0.36668188108628696
20.1M,-0.16095727688327377,-0.1318310030544481,0.3547963246571696,-0.08250792958298947,-0.9393811162712595,-0.0015541858282906867,0.052486460523265895,-0.3061811960736003,-0.306362657469965,-0.7531458506019018,-0.4992006529675023,-0.24233277262613973,0.026872244819923428,-2.3655745991943413,1.042586124895301,-1.2063805216947536,-1.1371752521001706,-1.0220636417762352,4.267525909161836,-0.4077077923642688,0.15548677047763906,-0.11332169619169523,4.071624166526834,-0.3256374344002574,-0.21191398254950888,0.04870807847557429,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.7630800867605355,-0.12507232240061184,-0.482029917891867,0.13569010083464916,-0.16126077469131395,-0.3324160359030256,-0.517941582623736,-0.5041152969471772,-0.16783317597029856,-0.3574198702079097,-0.3703191901860261,-0.6289266597779073,-0.18216781139816665,0.08539911507945394,-0.21005465761245726,-0.21137963919599095,-0.24140490509107385,-0.3181762690385126,-0.19319071335608098,1.0210401860304554,-0.2343803670527897,7.2302213504915915,-0.06976936104862677,-0.2702443745242166,-0.3261567542515367,-0.35694277001037383,-0.3559008112296814
15.6M,-0.0544684007316321,-0.1318310030544481,-0.006665331035353227,-1.394499476786504,-0.7825338662073553,-0.4224815321898023,-0.06871363152757537,-0.3061811960736003,-0.34259085085670815,-0.4787480766246709,-0.5372956632531765,-0.22490120141447517,0.04114841120356918,0.022606532582797163,-0.20229971867578994,-0.2769158801641061,-0.2492050623401285,-0.009775931100460794,-0.34949512828845286,-0.1726431825180901,0.11812017049470529,-0.33154767998736223,0.15350974943800158,-0.18296771029224904,-0.24478851845441413,0.04194780370092214,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.760025250539548,-0.10136538828151152,-0.5254890622906911,0.16008627446392343,-0.16126077469131395,-0.4130460906016364,-0.5196780735085204,-0.5562628037887902,-0.16610404018972466,-0.3669300754002786,-0.3788102672879603,-0.6655927143926096,-0.1913428838712266,-0.3649600730531558,-0.21005465761245726,-0.3851001468533438,-0.24140490509107385,-0.3181762690385126,-0.19319071335608098,-0.25869502720120097,-0.2343803670527897,1.1897217361344772,-0.2384650579660478,-0.253084813992864,-0.3261567542515367,0.31525365706729547,-0.36668188108628696
193.24M,-0.040995149796850996,-0.1318310030544481,-0.20571452786717448,1.0849394083716462,-0.24918517216184724,-0.25641235275653074,-0.6298234987946323,-0.3061811960736003,-0.34259085085670815,2.4036983482223158,-0.442540535968495,-0.12498011812941731,0.026872244819923428,0.06867039305443676,-0.20229971867578994,3.526123721288286,0.23233717683235428,-0.7574365743431856,-0.34949512828845286,-0.30051714157420156,0.11812017049470529,-0.33154767998736223,-0.4178828820936024,0.9429958209889291,-0.37126892740376033,-0.7348601537117232,0.2277884668861449,2.127070256349168,-0.23428101951772493,2.149404535783443,-0.2876192007119468,-0.4834679137097308,0.07193755419042713,-0.16126077469131395,-0.4130460906016364,3.866491302435141,-0.3861739845672578,-0.11710951422860988,-0.3669300754002786,0.32595596097274476,-0.3588828195517369,-0.0719973146379109,1.3357748905498532,-0.21005465761245726,-0.47877139948490893,-0.24140490509107385,2.9340342302536806,0.176779035243242,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,-0.23638618643039616,-0.3261567542515367,-0.36751683925324263,-0.36668188108628696
179.24M,-0.21037253713882872,-0.1318310030544481,-0.20571452786717448,-0.2183497981915051,0.18567297520612902,-0.6754639213265106,-0.6589734182288756,-0.3061811960736003,-0.34259085085670815,-0.7531458506019018,-0.5606534118297894,-0.06751464288046165,0.026872244819923428,0.1433678426967884,-0.20229971867578994,0.04349310742414846,-0.6524523752858103,-0.50261179387414,2.0583300325110097,-0.4077077923642688,0.11812017049470529,0.970121619841198,1.1060905724431755,-0.16453850835634712,0.83800859812203,-0.5087713412503134,-0.20945771076497333,-0.2760107085403374,-0.23428101951772493,0.7835326923342758,-0.3796813090211108,3.1156881018514992,-1.669279500465834,-0.16126077469131395,4.5208354215669315,-0.4566058006835409,0.1014416287743752,0.3430199457684684,-0.252142836205277,-0.135702841992596,-0.4185462053595702,-0.10034540051658844,-0.3649600730531558,-0.21005465761245726,-0.4834590322400544,0.9063247711900637,-0.3181762690385126,-0.08516624599292238,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,-0.3119440508689118,-0.3261567542515367,-0.36312922439373946,1.3026669346408997
182.1M,-0.2215763534089037,-0.1318310030544481,-0.12414923738056252,-1.108152022800628,-1.1364962198955926,0.1866982607475315,0.21842005456475352,-0.3061811960736003,-0.34259085085670815,-0.7531458506019018,-0.538855037611004,-0.22655938778112658,0.026872244819923428,-0.04458438677203662,0.4674679245065586,-0.6272722809538467,0.9091651339153284,0.18777915183715707,-0.34949512828845286,-0.18983323318761058,0.11812017049470529,-0.33154767998736223,0.5008078839781375,-0.3256374344002574,-0.2372814944058167,0.04349153789857724,-0.28341497624836665,-0.2760107085403374,-0.23428101951772493,-0.7757013515034933,-0.19173366753604318,-0.522904906492357,0.15663758611544673,-0.16126077469131395,-0.4130460906016364,-0.5196780735085204,-0.5651888319802144,-0.16867520578400622,-0.3669300754002786,-0.3788102672879603,-0.6655927143926096,-0.18733742644896367,-0.3649600730531558,-0.21005465761245726,3.621061922634704,-0.24140490509107385,-0.3181762690385126,-0.19319071335608098,-0.25869502720120097,-0.2343803670527897,0.5101963002118147,-0.2384650579660478,-0.3144706551143798,-0.3261567542515367,-0.3436330136388753,-0.36668188108628696
8.24M,-0.3456367322734502,-0.1318310030544481,-0.20571452786717448,-0.22744493759467768,4.533851392776042,2.7477926554867023,-3.728188866418804,-0.3061811960736003,1.1501092990198272,-0.7531458506019018,-0.5354676848837875,-0.22702827690299882,0.026872244819923428,0.06867039305443676,-0.20229971867578994,1.065607833243782,0.9450444843350381,0.06596614607577937,1.6112933459087633,-0.4077077923642688,0.11812017049470529,0.41045333458420197,0.5445235492721747,-0.2673310751484608,-0.20548184818418017,0.050030773823210105,0.24141476414125396,-0.2760107085403374,5.04287644768751,0.23963568337585942,0.5380834910795361,5.058311880483593,2.6150001333518014,-0.16126077469131395,-0.4130460906016364,-0.009172030540011806,-0.05874169740409903,-0.16494604521390477,0.057696639042210354,-0.3002499045425693,1.777191743744188,-0.1913428838712266,-0.3649600730531558,-0.21005465761245726,-0.4865204263474341,-0.24140490509107385,-0.3181762690385126,-0.1728902555003242,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.2384650579660478,-0.316680687831527,-0.3261567542515367,-0.36751683925324263,2.3481634272611513
