ID,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f___0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;f___0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_1,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae_1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae_0
157.1M,0.31156021523243593,-0.07686982619039254,0.6253102027504114,-0.6234069529696541,-0.5343503974236834,-0.5390318548533934,-0.2253960669888151,0.026872244819923428,0.06867039305443676,-0.36777782978080986,0.07013503990347054,-0.11725155137861758,1.3768718846779318,-0.34949512828845286,1.150095253955883,0.06429401687620091,-0.7379443940656314,1.0607215037729263,-0.3256374344002574,-0.3865734437062348,-0.6965212578030335,-2.98544962335729,-0.2760107085403374,-1.4917725156737494,0.3047376992568376,-0.13114379703391843,0.22731778679226128,0.1033102928413732,-0.586009891976755,-0.9718268056226745,0.14588054774375878,8.498161634317507,-1.4589170252940666,-0.3728585984348144,0.46352858800711,-0.3700813295715205,-0.7188265261333301,-0.06296410879851559,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-1.8253828612754206,-0.736270876641523,-0.5197701888625634,-0.36668188108628696
87.1M,0.24632002428521887,0.006623543897582643,0.962952957758723,2.3579340466628693,4.737387259828358,-0.4842868924067135,-0.11445108885936253,0.026872244819923428,0.0958522736301017,-0.36777782978080986,-0.13230619764506946,0.6794385164570669,0.20667063398177235,-0.34949512828845286,-0.1417524044461444,-1.9209977352731793,-0.3423192291087436,-0.4733099835879536,-0.3256374344002574,-0.3865734437062348,-0.5281980813115603,-0.04197397352048321,-0.2760107085403374,-1.4701708315613617,0.2757317054098631,0.11893378461851781,0.09999410577565927,0.15694931266422363,-0.586009891976755,-0.9718268056226745,0.14588054774375878,-0.14892876809545977,-0.20037941158514466,-0.3728585984348144,-0.24140490509107385,-0.3700813295715205,-0.7188265261333301,-0.06296410879851559,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.031083177011271928,-0.02929462619085447,-0.5184898733249175,-0.36668188108628696
84.6M,-0.19972038793450714,-0.1288835027823538,-1.7197030755341594,-0.6234069529696541,-0.5343503974236834,-0.538855037611004,-0.22655938778112658,0.026872244819923428,0.0724010296464964,-0.36777782978080986,-0.23653514030319764,-0.20229971867578994,1.1711999930558277,0.907166662234766,-0.4077077923642688,0.11234272422868606,-0.7412907800195208,0.2494652422373915,-0.3256374344002574,-0.3865734437062348,-0.518294510062872,-0.042096070811394305,-0.2760107085403374,-1.3467488859285295,0.1993312645356424,-0.10451842103540526,0.10472086262180898,0.17887167163127124,-0.5613905305913687,-0.9718268056226745,0.14588054774375878,-0.07601920458235575,-0.22530103307080646,-0.3728585984348144,-0.24140490509107385,-0.30472569765463364,-0.7188265261333301,-0.06296410879851559,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.036428968836270816,-0.028548216353142326,-0.506818182387015,-0.36668188108628696
126.6M,-0.016633410321149598,-0.20571452786717448,-0.6322842128529365,-0.20109902243296968,0.47741710396074677,0.47572425403656116,-2.1456373556078647,-0.7281586419718902,0.04678766655257667,-0.36777782978080986,-0.2770395885393741,-0.20229971867578994,-0.2094990875426808,0.22804483372941453,-0.4077077923642688,0.11812017049470529,-0.6476630747485247,-0.5237132314698758,-0.3256374344002574,-0.3865734437062348,-0.5284908570671597,-0.0419703640016839,-0.2760107085403374,-1.488343397021241,0.3011897512926148,-0.09904864024484936,0.21173828471081474,0.10969623048661575,-0.5814600930796554,-0.9664531124911201,0.14133830559747373,0.02202770010428226,-0.07338691910845464,-0.3728585984348144,-0.24140490509107385,6.266227887001503,-0.7157560599660138,-0.04615892275390042,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,1.127969537138129,-0.6075655471022375,-0.4736834841099196,-0.36668188108628696
179.6M,-1.7629763571258605,-0.20571452786717448,-0.18139726016218155,-0.1149890770001156,-0.5337129998824159,-0.595638566109986,0.14703234157184583,0.026872244819923428,0.789850762397694,-0.36777782978080986,-0.2770395885393741,-0.20229971867578994,-0.5719010101618364,-0.34949512828845286,0.5599345320361797,-0.6461270559608382,-0.1642051083024817,-0.44390860441995955,-0.3256374344002574,-0.3865734437062348,-0.5472506545773062,0.08133795163393517,-0.2760107085403374,-1.3093601098510497,0.13616716478102558,0.05899847483228074,0.13684622360752227,0.3939016005233266,0.05600761767589446,-0.8709949803487393,0.2133139683960829,0.5666004941839092,0.2597295226513665,-0.3728585984348144,-0.24140490509107385,0.3900183988938233,-0.6693626787931902,-0.07242863635652828,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,0.3810118856697031,-0.23892067581890392,1.137243467170124,-0.36668188108628696
20.1M,0.020595385735059035,0.3547963246571696,-0.08250792958298947,-0.6068352885479574,-0.5146932281018277,-0.4992006529675023,-0.24233277262613973,0.026872244819923428,-2.3655745991943413,-0.2608754838788412,0.016524059364883308,1.042586124895301,1.9769537720334478,4.267525909161836,-0.4077077923642688,0.15548677047763906,-0.6171784922024149,5.843628733109859,-0.3256374344002574,-0.3601730816579247,-0.5148311623877156,-0.00336762234107884,-0.2760107085403374,-1.4194574162850644,0.33467939357725235,-0.06538166863770606,0.2038239631432566,0.1301710253754352,-0.5720969502914486,-0.9146222730536497,0.1400179585082986,-0.15327358950423206,0.06421969903505301,-0.3728585984348144,-0.24140490509107385,-0.3700813295715205,-0.12210168914260477,-0.1771428265479183,1.0210401860304554,-0.2343803670527897,7.2302213504915915,0.0025948386233740853,0.10829385095614391,-0.5141815986873889,-0.3559008112296814
15.6M,-0.05470362071270124,-0.006665331035353227,-1.394499476786504,-0.6199848672062385,-0.3356774919614382,-0.5372956632531765,-0.22490120141447517,0.04114841120356918,0.022606532582797163,-0.36777782978080986,-0.2459472960003805,-0.20229971867578994,-0.17048579274393122,-0.34949512828845286,-0.1726431825180901,0.11812017049470529,-0.6479210371174442,-0.5237558134357826,-0.18296771029224904,-0.3865734437062348,-0.5284908570671599,-0.04197036400168384,-0.2760107085403374,-1.4655331399769915,0.3347251781828965,-0.1176589692992084,0.22345519834352687,0.10209869566863983,0.35639416469538265,-0.9718268056226745,0.14588054774375878,-0.4235694705321107,-0.16423824211472013,-0.3728585984348144,-0.24140490509107385,-0.3700813295715205,-0.24245154426698387,-0.15411480544404463,-0.25869502720120097,-0.2343803670527897,1.1897217361344772,-0.039169707424743024,-0.06683755625879227,-0.15891341745364593,-0.36668188108628696
193.24M,-0.06423064781331296,-0.20571452786717448,1.0849394083716462,-0.3860140993539072,1.5996221412482732,-0.442540535968495,-0.12498011812941731,0.026872244819923428,0.06867039305443676,-0.36777782978080986,-0.2770395885393741,-0.20229971867578994,-0.5719010101618364,-0.34949512828845286,-0.30051714157420156,0.11812017049470529,-0.08146343136287981,-0.4302503980650404,0.9429958209889291,-0.3865734437062348,-0.03406090686192142,-0.9227255078774318,2.127070256349168,1.7068178804550083,-2.0020801492239206,-3.1615781668719984,0.14851061737151297,-4.567291797751413,0.12582047994366743,0.4913943897455533,-0.14397608739806117,-0.13426693048189867,0.8507688332309198,-0.3728585984348144,-0.24140490509107385,-0.3700813295715205,2.3604138878854988,-0.23640819044360104,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,0.01890592699992078,-0.05423503214409154,-0.5197701888625634,-0.36668188108628696
179.24M,0.055537251355860066,-0.20571452786717448,-0.2183497981915051,0.2483277649432178,-1.2020974621853413,-0.5606534118297894,-0.06751464288046165,0.026872244819923428,0.1433678426967884,-0.36777782978080986,-0.06404738712180869,-0.20229971867578994,0.4857233405220646,2.0583300325110097,-0.4077077923642688,0.11812017049470529,0.3491143539961198,1.268907747888521,-0.16453850835634712,-0.3865734437062348,-0.394032466292176,0.07391166028778065,-0.2760107085403374,3.614116344355269,-1.1442676228330515,4.500783928361966,1.3506405155658006,0.04002569725411347,0.6720820135134103,-0.41442020812575325,0.28525838273507376,-0.5249770461305434,-0.09438742792245917,-0.3728585984348144,0.9063247711900637,-0.3700813295715205,0.6364359701742242,-0.21230666902793666,-0.25869502720120097,-0.2343803670527897,-0.2464606411008692,-0.03370300143330478,-0.027987551661231496,-0.5174512536699643,1.3026669346408997
182.1M,0.06345954581559826,-0.12414923738056252,-1.108152022800628,-0.6234069529696541,-0.5343503974236834,-0.538855037611004,-0.22655938778112658,0.026872244819923428,-0.04458438677203662,-0.36777782978080986,-0.22352810476826412,0.4674679245065586,0.08605791327158221,-0.34949512828845286,-0.18983323318761058,0.11812017049470529,-0.4963966633768955,0.34237907718914423,-0.3256374344002574,-0.3865734437062348,-0.5253716143574922,-0.033155282601714416,-0.2760107085403374,-1.4877350574077697,0.30356885199416034,-0.12878764544285137,0.22639296324103744,0.10337856217949341,-0.5834285204754853,-0.9645096479442339,0.13969554588668118,3.4464775562943917,-0.7264599470962988,-0.3728585984348144,-0.24140490509107385,1.4283206625591405,-0.7139666174308942,-0.06389401502937007,-0.25869502720120097,-0.2343803670527897,0.5101963002118147,-0.03577914096826187,-0.02723542423797696,-0.5071471475235774,-0.36668188108628696
