bacteria,rhos
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae,-0.06752658362970568
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__,0.09792013084345262
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__HA64; f__,0.09792013084345262
