exp #,mouse name,treatment,tumor load,%MDSC (GR1) blood,% G-MDSC blood (total),% G-MDSC blood (gated on CD11b),% M-MDSC blood (total),% M-MDSC blood (gated on CD11b),% T cell blood (total),MFI zeta blood,spleen weight,cell # spleen,%MDSC (GR1) spleen,% G-MDSC spleen (total),% G-MDSC spleen (gated on CD11b),% M-MDSC spleen (total),% M-MDSC spleen (gated on CD11b),% T cell spleen(total),MFI zeta spleen,cell # BM,%MDSC (GR1) bm,% G-MDSC BM (total),% G-MDSC BM (gated on CD11b),% M-MDSC BM (total),% M-MDSC BM (gated on CD11b),% T cell BM (total),MFI zeta BM,%MDSC (GR1) colon,% G-MDSC colon  (total),% G-MDSC colon  (gated on CD11b),% M-MDSC colon (total),% M-MDSC colon (gated on CD11b),% T cell colon  (total),MFI zeta colon,FITC DEX
exp2,6.5,wt crc,++,,,,,,,,0.23,82.1,8.71,,30.06,,21.15,24.66,137.23,42,57.55,,57.24,,33.73,,,,,,,,,,
exp2,3.1,wt crc abx,+,,,,,,,,0.1,74.2,4.35,,19.67,,20.22,29.11,154.23,69,49.53,,70.54,,23.32,,,,,,,,,,
exp2,3.2,wt crc abx,+,13.25,,12.21,,23.93,16.15,202.48,0.15,109,5.05,,23.13,,23.13,31.22,143.35,37.2,53.51,,66.31,,28.08,,,,,,,,,,
exp2,4.1,wt crc abx,+,7.1,,0.33,,12.38,20.25,245.89,0.14,52.6,3.85,,6.06,,20.45,22.05,173.46,58.2,46.89,,67.47,,29.08,,,,,,,,,,
exp2,5.1,wt crc abx,+++,7.04,,19.47,,28.95,17.56,219.52,0.16,57.7,4.5,,21.9,,22.86,27.99,136.47,57.1,47.42,,70.25,,25.15,,,,,,,,,,
exp2,5.2,wt crc abx,++,7.87,,10.64,,2.66,17.29,195.65,0.08,62.5,3.75,,21.08,,20.95,31.17,157.35,49.8,51.25,,73.02,,23.69,,,,,,,,,,
exp2,5.3,wt crc abx,+,9,,10.53,,12.91,13.01,192.99,0.1,83.6,4.21,,21.18,,14.84,30.74,148.18,37.8,43.06,,58.03,,33.13,,,,,,,,,,
exp2,6.3,wt crc abx,+,4.57,,21.57,,21.03,22.32,201.38,0.15,34.6,3.96,,7.81,,22.19,11.04,139.97,43.8,47.18,,68.07,,26.66,,,,,,,,,,
exp3,1.1,WT normal,,13.05,,29.85,,43.28,30.59,228.7,0.15,108,1.62,9.11,37.69,1.06,26.2,26.02,220.04,20.85,51.95,,74.66,,22.52,3.93,89.65,0.5,,,,,,83.35,1453
exp3,1.2,WT normal,,16.87,,33.81,,47,33.43,206.59,0.14,76,1.81,9.49,31.38,0.84,27.53,29.57,227.64,19.05,56.21,,78.77,,18.76,2.96,75.8,0.34,,,,,,,2745.5
exp3,1.3,WT normal,,18.41,,36.62,,42.33,33.13,219.02,0.08,103,3.58,9.04,44.1,1.89,22.54,28.54,213.39,18,61.58,,77.44,,16.87,4.77,57.57,,,,,,,,1008.5
exp3,1.4,WT normal,,17.01,,43.16,,28.12,38.64,205.52,0.09,134,1.89,7.4,25.55,0.76,16.38,25.6,192.1,30.15,53.37,,77.62,,14.69,4.38,44.3,,,,,,,,2559.5
