,y test,y pred,y score
0,0.0,0.0,-2.0927303944761526
1,0.0,1.0,0.2000270938829808
2,0.0,0.0,-1.7664694951068383
3,0.0,0.0,-0.54361234785031
4,0.0,0.0,-0.03080867263408049
5,0.0,0.0,-3.127065916942244
6,0.0,0.0,-1.2652366533848383
7,0.0,0.0,-0.881448593627771
8,0.0,0.0,-1.203970133241254
9,0.0,0.0,-1.8469703979447938
10,0.0,0.0,-0.6800361118364932
11,0.0,1.0,0.6760350343618368
12,0.0,0.0,-1.1079511508250302
13,0.0,0.0,-2.5240726449789266
14,0.0,0.0,-3.9673788094536273
15,1.0,1.0,1.7707660810377375
16,0.0,0.0,-0.2690885357604792
17,0.0,0.0,-1.2184694777780187
18,0.0,1.0,0.0065237591501804415
19,0.0,0.0,-2.071154713106521
20,0.0,0.0,-0.42894126544328726
21,0.0,0.0,-0.56806011444332
22,0.0,1.0,1.520123124789504
23,1.0,0.0,-0.28111503627516654
24,0.0,0.0,-2.6153511056449115
25,0.0,0.0,-1.861420973205783
26,0.0,0.0,-1.1139271334798986
27,0.0,0.0,-0.4423210162466288
28,1.0,0.0,-0.019285490549071693
29,0.0,0.0,-0.636167353825248
30,0.0,0.0,-1.8371565813652477
31,0.0,0.0,-1.670664229995055
32,0.0,0.0,-1.5365322475266394
33,0.0,0.0,-1.038772157430095
34,0.0,0.0,-3.1558483368154953
35,0.0,0.0,-0.48826561789224815
36,0.0,0.0,-0.22338380538487457
37,0.0,0.0,-1.2850841177137668
38,0.0,0.0,-0.4793318382756727
39,0.0,0.0,-2.409908300836731
40,1.0,1.0,0.03580716218303992
41,0.0,0.0,-1.3884780674847157
42,0.0,0.0,-0.6719613663919227
43,0.0,0.0,-0.25239576313173584
44,0.0,0.0,-0.874763815768871
45,0.0,0.0,-2.419334892635872
46,0.0,1.0,0.3542318264889025
47,0.0,0.0,-2.028577367779433
48,0.0,0.0,-1.4327176194124567
49,0.0,0.0,-0.6579529210264806
50,0.0,0.0,-0.5726719729785698
51,0.0,0.0,-1.9323744940038776
52,0.0,0.0,-1.9709856934173757
53,0.0,0.0,-0.9204781000113855
54,0.0,0.0,-1.7595463610784612
55,1.0,0.0,-0.503934416251727
56,0.0,0.0,-1.4717272786563242
57,0.0,1.0,0.004747853359441945
58,1.0,0.0,-0.17762843888475588
59,0.0,0.0,-0.06848960518984559
60,0.0,0.0,-0.734930649329655
61,0.0,0.0,-0.10281272681908549
62,0.0,1.0,0.020273210738606662
63,0.0,1.0,0.8011263235229319
64,0.0,0.0,-2.0666707319361897
65,0.0,0.0,-1.416619290304431
66,1.0,1.0,1.189582935712623
67,0.0,0.0,-0.36109897090839793
