Taxonomy level,taxonomy group,normalization 1,normalization 2,TRAIN-AUC,TEST-AUC
4,mean,log,row,0.8086228135008622,0.6730666666666667
4,mean,log,col,0.8249765952204977,0.6473142857142857
4,mean,log,both,0.8307464892830747,0.670247619047619
4,mean,log,No,0.8052180339985218,0.6595809523809525
4,mean,relative,z_after_relative,0.8035328898743533,0.6350476190476191
4,mean,relative,No,0.5400246366100024,0.5186285714285714
4,sum,log,row,0.7930968218773097,0.660952380952381
4,sum,log,col,0.8246119733924612,0.6456380952380951
4,sum,log,both,0.834658782951466,0.6633904761904763
4,sum,log,No,0.8098940625769895,0.6492190476190477
4,sum,relative,z_after_relative,0.7968908598176891,0.6310095238095238
4,sum,relative,No,0.5758117762995812,0.5077333333333334
4,pca_anna,log,row,0.8780241438778024,0.7356190476190477
4,pca_anna,log,col,0.9550480413895048,0.7492571428571428
4,pca_anna,log,both,0.9670854890367084,0.7429333333333334
4,pca_anna,log,No,0.8592165558019216,0.7241142857142857
4,pca_anna,relative,z_after_relative,0.9221581670362158,0.6683428571428572
4,pca_anna,relative,No,0.5856861295885687,0.5199238095238096
5,mean,log,row,0.9196501601379647,0.7555047619047619
5,mean,log,col,0.934841093865484,0.7336380952380953
5,mean,log,both,0.9389554077358956,0.7312000000000001
5,mean,log,No,0.9178713968957872,0.7660952380952379
5,mean,relative,z_after_relative,0.9209706824340972,0.6687238095238096
5,mean,relative,No,0.5977629958117764,0.5545904761904762
5,sum,log,row,0.91960088691796,0.7457523809523809
5,sum,log,col,0.94139935944814,0.7270095238095239
5,sum,log,both,0.9455925104705593,0.728
5,sum,log,No,0.9263611727026362,0.7502476190476189
5,sum,relative,z_after_relative,0.9123922148312392,0.6823619047619048
5,sum,relative,No,0.6192411924119241,0.5631238095238095
5,pca_anna,log,row,0.9247105198324712,0.7344
5,pca_anna,log,col,0.9686671593988668,0.7146666666666667
5,pca_anna,log,both,0.9855333826065532,0.7391238095238095
5,pca_anna,log,No,0.924740083764474,0.7742476190476191
5,pca_anna,relative,z_after_relative,0.961941364868194,0.6701714285714285
5,pca_anna,relative,No,0.6006109879280612,0.5303619047619047
6,mean,log,row,0.9837940379403792,0.7533714285714286
6,mean,log,col,0.9941364868194136,0.7724190476190477
6,mean,log,both,0.9947967479674796,0.7586285714285714
6,mean,log,No,0.9730081300813008,0.7706666666666667
6,mean,relative,z_after_relative,0.9807735895540772,0.636647619047619
6,mean,relative,No,0.63180093619118,0.5424761904761904
6,sum,log,row,0.9762158167036216,0.7609142857142858
6,sum,log,col,0.99359940872136,0.7611428571428572
6,sum,log,both,0.9978024143877802,0.7466666666666666
6,sum,log,No,0.9800049273220004,0.7590095238095239
6,sum,relative,z_after_relative,0.976738112835674,0.6488380952380952
6,sum,relative,No,0.6172702636117271,0.5613714285714285
6,pca_anna,log,row,0.9726237989652624,0.7370666666666665
6,pca_anna,log,col,0.9931756590293176,0.7720380952380952
6,pca_anna,log,both,0.9968317319536832,0.7606857142857143
6,pca_anna,log,No,0.9509140182310912,0.7644190476190477
6,pca_anna,relative,z_after_relative,0.9871446169007144,0.6597333333333334
6,pca_anna,relative,No,0.6022320768662233,0.5310476190476191
