ID,Component 0,Component 1,Component 2,Component 3,Component 4
1.3.D0.Exp1,-2.36404385900357,0.93626408897082,-0.05600738523869053,-3.514248292891212,-0.566746018053641
1.5.D0.Exp1,-3.902529196867743,1.1267573873115555,0.1314046171657584,-1.4845388830681223,-0.5082897175831259
1.6.D0.Exp1,-3.6200516502475297,0.8314318829868236,0.1450840166182204,-1.6226693596207735,-0.37239006937319596
1.3.D7.Exp1,-3.6212130524925974,1.3739085813459664,-1.3692039712769046,-0.22008838953569917,-0.9657564573754472
1.5.D7.Exp1,-3.6215280503983567,1.3345791038126948,-1.7916663665255395,-0.4185045953437335,-0.8521848521522098
1.6.D7.Exp1,-3.56385994110889,0.9257169120819331,-1.932340412883057,0.7467788971709376,-0.8177899780658148
1.3.D27.Exp1,-1.9319743091792185,0.577342764108909,-1.5248970511907856,-0.9398208652270724,1.864014257382136
1.5.D27.Exp1,-1.2267442199985645,0.8345373748526016,-1.0330483568729727,-0.9008011596811762,2.128761453731103
1.6.D27.Exp1,-2.7578672462395426,1.391977737706059,-0.9293197947888304,0.043335675861106225,1.4128630132420847
1.3.D46.Exp1,-2.211769131054282,2.6232744701078006,3.5860738159486067,-0.5020540426958482,0.25594238172566125
1.6.D46.Exp1,0.17822785395864735,3.1902766753893745,3.636417591926286,-2.349292809563898,-1.1274058189472744
1.3.D73.Exp1,-3.060690843445108,2.6857357760496634,1.4758163180511024,0.08392866379966461,1.1050006939490873
1.5.D73.Exp1,-2.214387878806369,3.7720898277879082,2.1499350447773833,-0.569258171191277,0.3759949322809227
1.6.D73.Exp1,-0.5400073613829661,2.6679973173821745,2.920696329049642,0.1322390315256153,-0.45899803392050376
2.3.D0.Exp1,-3.0162668277225317,-0.019690972460631177,-0.057377880404836365,-0.756953348904769,-0.31708062191252817
2.6.D0.Exp1,-3.947979240719415,0.7793494042277783,0.26474176218219414,-1.4870949787309267,-0.11351895397986586
2.3.D7.Exp1,-3.5601806490934407,1.189924232202282,-1.0265279517182402,0.17844599788960896,-0.187972598029154
2.6.D7.Exp1,-2.809957010256009,1.3063502253495036,-1.0781465847349843,0.257250283382672,-0.48590280728480645
2.3.D27.Exp1,-3.20436346291264,0.8814841691769615,-1.2610154028119356,1.0242462055357409,0.9689390301121489
2.6.D27.Exp1,-1.8065728507191945,0.5334222980183212,-1.6260934411805312,0.8052632890553402,0.08549893479910162
2.3.D46.Exp1,-3.3360814966332195,1.4816182095562378,-0.5065520105411829,-0.2608932178019354,2.110665674990176
2.6.D46.Exp1,-1.7296144569457277,3.372675456756931,1.778858319746466,2.2757397674795947,0.9813731357673176
2.3.D73.Exp1,-2.964459961997779,2.2779937789418288,-0.6931169046656367,0.28305425250654204,1.400890311968309
2.6.D73.Exp1,-1.4526723829943546,1.4651405376311464,-1.402743370295508,0.2329916992227556,1.175086204047477
3.1.D0.Exp14,0.6442124548580362,-1.6335010499797709,-1.2271853436621,-0.39056441167300776,-1.4836794014376655
3.2.D0.Exp14,-0.7412788711485966,-2.652432741527526,-1.2131045283661173,1.6645524266208813,-0.4317021347830877
3.3.D0.Exp14,0.6989896812392659,-1.9333022533889994,-1.1724747963851334,-0.7458055058804518,-1.3340862160586817
