linear regression
rhos mean,0.08022
rhos median,0.09073
rhos std,0.20191
p value mean,0.42716
random rhos mean,0.00164
random rhos median,-0.00169
random rhos std,0.06324
random p value mean,0.49365

ridge regression
rhos mean,0.11869
rhos median,0.12823
rhos std,0.21866
p value mean,0.36817
random rhos mean,-0.00201
random rhos median,-0.00397
random rhos std,0.06089
random p value mean,0.49929

ard regression
rhos mean,0.17852
rhos median,0.19153
rhos std,0.21143
p value mean,0.33028
random rhos mean,0.00149
random rhos median,0.00673
random rhos std,0.05652
random p value mean,0.5032

svr
rhos mean,0.1616
rhos median,0.16901
rhos std,0.11638
p value mean,0.18758
random rhos mean,0.0034
random rhos median,0.0052
random rhos std,0.02529
random p value mean,0.49732

decision tree
rhos mean,0.1036
rhos median,0.10327
rhos std,0.11336
p value mean,0.27653
random rhos mean,0.00133
random rhos median,0.00318
random rhos std,0.02486
random p value mean,0.4942

random forest
rhos mean,0.25824
rhos median,0.26341
rhos std,0.12907
p value mean,0.08058
random rhos mean,0.00291
random rhos median,0.00497
random rhos std,0.02554
random p value mean,0.49747

