algorithm,rhos mean,rhos median,rhos std,p value mean,rmse mean,rmse median,rmse std
ard regression - real,0.19143,0.20202,0.1929,0.34359,1.01431,0.60688,1.09848
ard regression - random,0.00333,0.00405,0.06146,0.49089,1.29167,0.81541,1.374
random forest - real,0.24777,0.25453,0.13562,0.10453,0.45093,0.23518,0.52479
random forest - random,0.00244,0.00211,0.02492,0.48735,0.64434,0.31223,0.80154
