KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,0.01,auto,0.7294568150638464,0.6662783925451369,0.5809111204438451,0.5497737556561085,0.5497737556561086,0.5497737556561086
linear,0.01,scale,0.7294568150638464,0.6662783925451369,0.5809111204438451,0.5497737556561085,0.5497737556561086,0.5497737556561086
linear,0.1,auto,0.7690069499932158,0.7006406523005242,0.5740147211600097,0.5678733031674208,0.5678733031674208,0.5678733031674208
linear,0.1,scale,0.7690069499932158,0.7006406523005242,0.5740147211600097,0.5678733031674208,0.5678733031674208,0.5678733031674208
linear,1.0,auto,0.7932987592528379,0.7169481654047758,0.5509604120156496,0.5203619909502263,0.5203619909502263,0.5203619909502263
linear,1.0,scale,0.7932987592528379,0.7169481654047758,0.5509604120156496,0.5203619909502263,0.5203619909502263,0.5203619909502263
linear,1000.0,auto,0.8002186006542943,0.7332556785090274,0.5424062244424306,0.5339366515837104,0.5339366515837104,0.5339366515837104
linear,1000.0,scale,0.8002186006542943,0.7332556785090274,0.5424062244424306,0.5339366515837104,0.5339366515837104,0.5339366515837104
linear,100.0,auto,0.7996592844974445,0.7332556785090274,0.5419199398775447,0.5271493212669683,0.5271493212669683,0.5271493212669683
linear,100.0,scale,0.7996592844974445,0.7332556785090274,0.5419199398775447,0.5271493212669683,0.5271493212669683,0.5271493212669683
linear,10.0,auto,0.8024483273280971,0.7309260337798485,0.5394664132092571,0.5316742081447964,0.5316742081447964,0.5316742081447964
linear,10.0,scale,0.8024483273280971,0.7309260337798485,0.5394664132092571,0.5316742081447964,0.5316742081447964,0.5316742081447964
