KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,1.0,auto,0.8216537131137942,0.7784123358081096,0.5981312510966836,0.5972850678733032,0.5972850678733032,0.5972850678733032
linear,1.0,scale,0.8216537131137942,0.7784123358081096,0.5981312510966836,0.5972850678733032,0.5972850678733032,0.5972850678733032
linear,0.1,auto,0.8127847425142175,0.7675613934894345,0.5967274960519389,0.5950226244343891,0.5950226244343891,0.5950226244343891
linear,0.1,scale,0.8127847425142175,0.7675613934894345,0.5967274960519389,0.5950226244343891,0.5950226244343891,0.5950226244343891
linear,0.01,scale,0.7792897397007115,0.7121644774414619,0.5907615371117739,0.5633484162895928,0.5633484162895928,0.5633484162895928
linear,0.01,auto,0.7792897397007115,0.7121644774414619,0.5907615371117739,0.5633484162895928,0.5633484162895928,0.5633484162895928
linear,100.0,auto,0.8245671913783894,0.7675613934894345,0.5901473942796982,0.5814479638009049,0.581447963800905,0.581447963800905
linear,100.0,scale,0.8245671913783894,0.7675613934894345,0.5901473942796982,0.5814479638009049,0.581447963800905,0.581447963800905
linear,1000.0,auto,0.8246743045498818,0.7658480868075385,0.5901035269345499,0.579185520361991,0.579185520361991,0.579185520361991
linear,1000.0,scale,0.8246743045498818,0.7658480868075385,0.5901035269345499,0.579185520361991,0.579185520361991,0.579185520361991
linear,10.0,auto,0.8242215728783736,0.7744146202170188,0.5889410422881206,0.579185520361991,0.579185520361991,0.579185520361991
linear,10.0,scale,0.8242215728783736,0.7744146202170188,0.5889410422881206,0.579185520361991,0.579185520361991,0.579185520361991
