,y score 0,y score 1,y pred,y test
0,0.5771745,0.42282552,0,0
1,0.61968076,0.38031927,0,0
2,0.5764498,0.4235502,0,0
3,0.47225362,0.5277464,1,0
4,0.38966691,0.6103331,1,0
5,0.5118135,0.48818648,0,0
6,0.67409027,0.3259097,0,0
7,0.66765356,0.33234644,0,0
8,0.6928191,0.30718085,0,1
9,0.61749357,0.38250643,0,0
10,0.32100624,0.67899376,1,0
11,0.61569744,0.38430256,0,1
12,0.5210556,0.47894442,0,0
13,0.5379136,0.46208638,0,0
14,0.5011655,0.49883452,0,0
15,0.6043551,0.39564493,0,0
16,0.41898465,0.58101535,1,1
17,0.53813016,0.46186987,0,1
18,0.6010444,0.39895555,0,0
19,0.52307796,0.476922,0,1
20,0.4252063,0.5747937,1,1
21,0.41813034,0.58186966,1,0
22,0.3782816,0.6217184,1,1
23,0.39957374,0.60042626,1,1
24,0.6649981,0.3350019,0,0
25,0.5027838,0.4972162,0,0
26,0.6481677,0.3518323,0,0
27,0.6321069,0.3678931,0,0
28,0.47761303,0.52238697,1,0
29,0.6841486,0.3158514,0,0
30,0.5712633,0.42873672,0,0
31,0.5364419,0.46355808,0,0
32,0.6957279,0.30427212,0,0
33,0.4109769,0.5890231,1,1
34,0.5413413,0.4586587,0,0
35,0.3428464,0.6571536,1,0
36,0.44553226,0.55446774,1,0
37,0.45042497,0.54957503,1,0
38,0.6084249,0.39157507,0,0
39,0.5357863,0.4642137,0,1
40,0.32533145,0.67466855,1,1
41,0.6055637,0.3944363,0,1
42,0.31032872,0.6896713,1,1
43,0.381051,0.618949,1,1
44,0.52834487,0.47165516,0,0
45,0.4327209,0.5672791,1,0
46,0.51787496,0.48212507,0,1
47,0.53701353,0.4629865,0,0
48,0.6781931,0.32180694,0,0
49,0.6487207,0.35127932,0,1
50,0.51709116,0.48290887,0,0
51,0.56857216,0.4314278,0,0
52,0.45379728,0.5462027,1,1
53,0.47519124,0.52480876,1,1
54,0.436998,0.563002,1,1
55,0.7039436,0.29605642,0,0
56,0.53597164,0.46402836,0,0
57,0.5866761,0.41332388,0,1
58,0.5629456,0.43705437,0,1
59,0.7119112,0.28808883,0,0
60,0.46021587,0.53978413,1,0
61,0.7935368,0.20646323,0,0
62,0.45697182,0.5430282,1,0
63,0.5383606,0.46163937,0,0
64,0.4663797,0.5336203,1,1
65,0.6441971,0.3558029,0,1
66,0.46592045,0.53407955,1,0
67,0.5940857,0.4059143,0,1
68,0.5279364,0.4720636,0,0
69,0.43515235,0.56484765,1,1
70,0.40121055,0.59878945,1,1
71,0.5628433,0.43715668,0,1
72,0.34428662,0.6557134,1,1
73,0.47975004,0.52024996,1,0
74,0.48260182,0.5173982,1,0
75,0.4383834,0.5616166,1,1
76,0.44412482,0.5558752,1,1
77,0.66223496,0.33776504,0,1
78,0.5513572,0.4486428,0,0
79,0.54010236,0.4598976,0,0
80,0.52152425,0.47847575,0,1
81,0.4915002,0.5084998,1,1
82,0.44195455,0.55804545,1,1
83,0.29230392,0.7076961,1,1
84,0.4305482,0.5694518,1,1
85,0.46350425,0.53649575,1,0
86,0.61962724,0.3803728,0,1
87,0.37141842,0.6285816,1,1
88,0.3179549,0.6820451,1,0
89,0.6967745,0.30322552,0,0
90,0.5801539,0.41984612,0,0
91,0.7637544,0.23624557,0,0
92,0.5088873,0.4911127,0,0
93,0.31014496,0.68985504,1,1
94,0.24706244,0.75293756,1,1
95,0.6523253,0.34767473,0,0
96,0.42321742,0.5767826,1,1
97,0.70564616,0.29435384,0,1
98,0.31450403,0.685496,1,1
99,0.39761,0.60239,1,1
100,0.48859984,0.51140016,1,1
101,0.3679763,0.6320237,1,1
102,0.60730386,0.3926961,0,0
103,0.37992042,0.6200796,1,1
104,0.43887013,0.56112987,1,0
105,0.4162894,0.5837106,1,0
106,0.41835886,0.58164114,1,1
107,0.5990981,0.4009019,0,0
108,0.6002917,0.39970824,0,0
109,0.8173197,0.1826803,0,0
110,0.34981066,0.65018934,1,0
111,0.3661605,0.6338395,1,1
112,0.5890232,0.41097683,0,1
113,0.393651,0.606349,1,0
114,0.6960054,0.3039946,0,0
115,0.43039322,0.5696068,1,0
116,0.5475385,0.45246148,0,1
117,0.4560039,0.5439961,1,0
118,0.43567443,0.5643256,1,0
119,0.46963024,0.53036976,1,1
120,0.62174815,0.37825185,0,1
121,0.46116155,0.53883845,1,1
122,0.59240556,0.40759444,0,0
123,0.6307286,0.36927137,0,0
124,0.40944898,0.590551,1,0
125,0.59447086,0.4055291,0,0
126,0.52709675,0.47290328,0,1
127,0.64869475,0.35130522,0,0
128,0.66846997,0.33153003,0,0
129,0.61002135,0.38997868,0,0
130,0.34669656,0.65330344,1,1
131,0.37997597,0.620024,1,1
132,0.4812839,0.5187161,1,0
133,0.51330864,0.4866914,0,1
134,0.5500244,0.44997564,0,0
135,0.58594203,0.414058,0,0
136,0.4008665,0.5991335,1,1
137,0.56217575,0.43782422,0,0
138,0.6310768,0.3689232,0,0
139,0.38916314,0.61083686,1,1
140,0.58246684,0.41753313,0,0
141,0.41473824,0.58526176,1,0
142,0.52249014,0.47750983,0,0
143,0.7335012,0.2664988,0,0
144,0.39922118,0.6007788,1,0
145,0.5190517,0.4809483,0,0
146,0.58717346,0.41282657,0,0
147,0.70460206,0.29539794,0,0
148,0.33366346,0.66633654,1,0
149,0.5849398,0.41506022,0,1
150,0.58738554,0.41261443,0,1
151,0.6543361,0.3456639,0,0
152,0.55531216,0.44468787,0,1
153,0.39051825,0.60948175,1,0
154,0.43233216,0.56766784,1,0
155,0.36450315,0.63549685,1,0
156,0.41886687,0.5811331,1,0
157,0.6127101,0.3872899,0,1
158,0.5498484,0.45015162,0,0
159,0.43177247,0.5682275,1,0
160,0.638713,0.36128697,0,1
161,0.39494032,0.6050597,1,1
162,0.61297834,0.38702163,0,0
163,0.36003017,0.6399698,1,0
164,0.6187788,0.3812212,0,0
165,0.26514113,0.7348589,1,1
166,0.6238649,0.37613514,0,0
167,0.57543576,0.42456424,0,0
168,0.6793171,0.3206829,0,0
169,0.506412,0.49358794,0,1
170,0.3972379,0.6027621,1,1
171,0.4747659,0.5252341,1,0
172,0.49097294,0.50902706,1,1
173,0.4886166,0.5113834,1,0
174,0.48627675,0.51372325,1,1
175,0.7588148,0.24118522,0,0
176,0.37830597,0.621694,1,1
177,0.5698313,0.4301687,0,1
178,0.5235095,0.47649053,0,0
179,0.6227068,0.3772932,0,0
180,0.56361926,0.43638074,0,0
181,0.57435864,0.42564136,0,1
182,0.3739184,0.6260816,1,0
183,0.5022643,0.49773568,0,1
184,0.47659057,0.5234094,1,1
185,0.7486105,0.2513895,0,0
186,0.60003126,0.3999687,0,0
187,0.4611904,0.5388096,1,1
188,0.7711482,0.22885178,0,0
189,0.6308412,0.3691588,0,0
190,0.6925453,0.3074547,0,0
191,0.7190325,0.28096747,0,0
192,0.33716363,0.6628364,1,0
