Time Point,X,y
0,"[-0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.23953029  1.84433281
  0.45855712 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876  4.83141553 -0.35021876
 -0.07632238 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
  2.4611386   6.54986314 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876  1.11855447 -0.35021876
 -0.25163744  0.79973202  0.79973202 -0.35021876  3.70476048  0.60053779
 -0.35021876 -0.35021876  2.4611386  -0.35021876  1.86472336 -0.35021876
 -0.35021876 -0.35021876 -0.35021876  1.57517352 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876  0.16779793 -0.35021876
 -0.35021876 -0.35021876  1.02160447 -0.35021876 -0.35021876 -0.35021876
  3.09828581 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876  2.2086566  -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876  2.40552998 -0.35021876 -0.35021876
  1.34779102  0.15642609 -0.35021876  0.08908199 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876  0.26474793  0.86452348 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876 -0.35021876
 -0.35021876 -0.35021876 -0.35021876 -0.35021876  1.89963657 -0.35021876
 -0.35021876 -0.35021876 -0.35021876]",[0.043066885544171485]
0,"[-0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.29675411  3.14037973
  3.06712    -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786  4.26558086 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786  2.74829404 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786  0.32000005 -0.35017786
  0.14868031 -0.35017786 -0.35017786 -0.35017786  3.36313551 -0.35017786
 -0.35017786 -0.35017786  2.82491298 -0.35017786  1.99875062 -0.35017786
  0.77420197 -0.35017786 -0.35017786  2.5937293  -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786  3.2282761  -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
  2.88897943 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786  2.36509144 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786  2.16769719 -0.35017786
 -0.35017786 -0.35017786 -0.35017786  3.55372504 -0.35017786 -0.35017786
 -0.35017786  0.12761313 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786  2.15293521 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786 -0.35017786
 -0.35017786 -0.35017786 -0.35017786 -0.35017786  3.04023899 -0.35017786
 -0.35017786 -0.35017786 -0.35017786]",[-0.07471751001247362]
0,"[-0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.22180279  2.94244786
  2.95898417 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575  4.63508679 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575  0.23941324  0.09862893 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.03305207  0.36322317 -0.32973575
  0.71378639  0.79158785  4.76265393 -0.32973575  2.66373211 -0.32973575
 -0.32973575 -0.32973575  1.99890991 -0.32973575  1.66740104 -0.32973575
  2.63324226 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575  0.17538529 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
  0.77037685 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575  1.37511569 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575  2.47481347 -0.32973575
  0.33554046 -0.32973575 -0.32973575  5.86012819 -0.32973575 -0.32973575
 -0.32973575  0.7721114  -0.32973575  0.09862893 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575  2.48115425 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575 -0.32973575
 -0.32973575 -0.32973575 -0.32973575]",[-0.011036438187320974]
0,"[-2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01  6.05629002e-01  5.89325648e+00
  2.50776050e+00 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01  6.32347432e+00 -2.77865435e-01
 -2.77865435e-01  2.51979614e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01  4.66923574e+00  4.49011540e-01 -2.77865435e-01
  2.29223747e-01  8.98343257e-01  8.98343257e-01 -2.77865435e-01
  2.99458488e+00 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01  4.77362700e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
  2.51979614e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
  3.38565137e+00 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01  1.25631471e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01  3.18059359e+00 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01  3.04354672e-01 -2.77865435e-01
  2.28507797e-03 -2.77865435e-01 -2.77865435e-01  8.23023204e-02
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
  4.97568709e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01  9.82472992e-01 -2.77865435e-01
 -2.77865435e-01 -2.77865435e-01 -2.77865435e-01]",[-0.06865954565641902]
0,"[-0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769  0.23773807  5.87915713
  0.94058647 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769  6.24027966 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769  0.4184435  -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769  0.16313111 -0.27703769 -0.27703769
  0.14311641  2.22605355 -0.27703769 -0.27703769  5.15964336 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769  4.2650707  -0.27703769
  0.36924821 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769  1.57976765 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
  1.55845756 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.06496441 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769  0.08315005 -0.27703769  0.8705853  -0.27703769 -0.27703769
  1.19118921  0.05716662 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769  1.56096519 -0.27703769
 -0.27703769 -0.27703769 -0.27703769  1.77143787 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769 -0.27703769
 -0.27703769 -0.27703769 -0.27703769 -0.27703769  0.25652566 -0.27703769
 -0.27703769 -0.27703769 -0.27703769]",[0.022432109814099654]
0,"[-0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.17662639  3.66014687
  1.3538371  -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422  6.82252127 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422  0.23647306 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
  0.2225179  -0.23778422 -0.23778422 -0.23778422  4.08243924 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422  0.82510563 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422  5.03277566 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
  3.84605599 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422  1.78260535 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.1981032  -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422  4.10868471 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422 -0.23778422
 -0.23778422 -0.23778422 -0.23778422 -0.23778422  0.02686761 -0.23778422
 -0.23778422 -0.23778422 -0.23778422]",[0.023193699989413535]
0,"[-0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502  0.29779142  4.44771121
  1.58356081 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502  3.83114942 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502  0.9155471   0.71778009 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.20949031 -0.34905502 -0.34905502
  0.82765134  0.33310312  2.26141427 -0.34905502  1.95483616 -0.34905502
 -0.34905502 -0.34905502  3.74015624 -0.34905502  2.16164687 -0.34905502
  2.39347114 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502  4.97230547 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
  1.65489461 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502  2.08549385 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502  0.52223064 -0.34905502
 -0.34905502 -0.34905502 -0.34905502  2.46579869 -0.34905502 -0.34905502
 -0.34905502 -0.04851006 -0.34905502 -0.08845901 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502  3.59089854 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502 -0.34905502
 -0.34905502 -0.34905502 -0.34905502 -0.34905502  2.87184131 -0.34905502
 -0.34905502 -0.34905502 -0.34905502]",[0.010789910284938586]
0,"[-0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.23220848  2.41762939
  1.64906426 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205   5.31706394 -0.3872205
 -0.3872205   0.10739603 -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205   1.61859244
 -0.3872205   2.74994995  0.94004431 -0.3872205   2.29714057 -0.3872205
 -0.3872205  -0.3872205  -0.3872205   0.36780867  0.71078402 -0.3872205
  0.46465892 -0.3872205   2.11320897 -0.3872205   4.31367752 -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205   1.44165315 -0.3872205
 -0.3872205  -0.3872205  -0.3872205   0.71078402 -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205   4.22491039 -0.3872205
 -0.3872205  -0.3872205  -0.3872205   0.29132763 -0.3872205  -0.3872205
  3.34247944 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205   1.21930714 -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205   1.47172728 -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205   1.77370691 -0.3872205  -0.3872205
 -0.3872205   0.80155216 -0.3872205  -0.15796022 -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205   0.33665631 -0.3872205
 -0.3872205  -0.3872205  -0.3872205   0.92263392 -0.3872205  -0.3872205
 -0.3872205  -0.3872205  -0.3872205  -0.3872205  -0.3872205   2.54509019
 -0.3872205  -0.3872205  -0.3872205  -0.3872205   2.32056121 -0.3872205
 -0.3872205  -0.3872205  -0.3872205 ]",[0.171755692153249]
0,"[-0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477  1.03780014  4.53458644
  1.43451921 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477  3.66994214 -0.35175477
  0.13525311 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477  0.86166962
 -0.35175477 -0.1624129  -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.21585555 -0.35175477 -0.35175477
 -0.08513109  0.64128542  1.59301859 -0.35175477  2.01120639 -0.35175477
 -0.35175477 -0.35175477  3.19329305 -0.35175477  0.19079447 -0.35175477
  0.17492624 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477  4.60564038  0.01326716
 -0.35175477 -0.35175477 -0.35175477  0.05873558 -0.35175477 -0.35175477
  2.93989496 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477  1.51542277 -0.35175477 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477  0.86166962 -0.35175477
 -0.35175477 -0.35175477 -0.35175477  1.29148847 -0.35175477 -0.35175477
 -0.21015257 -0.18974243 -0.35175477 -0.21306286 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477 -0.35175477
 -0.35175477  1.97382736 -0.35175477  0.44064679 -0.35175477 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477  1.27215996 -0.35175477
 -0.35175477 -0.35175477 -0.35175477 -0.35175477  5.70552346  2.075094
 -0.35175477 -0.35175477 -0.35175477]",[0.029717231726618443]
0,"[-2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01  2.12273607e+00
  1.09505872e+00 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01  8.18018705e+00 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01  2.66708249e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -1.19337619e-01 -2.10311565e-01 -2.10311565e-01
 -4.52700289e-03  2.38282968e+00 -2.10311565e-01 -2.10311565e-01
  3.53710706e+00 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01  2.65696848e+00 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
  6.49529583e+00 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01  5.51833956e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01  2.75926924e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01  7.40962270e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01
 -2.10311565e-01 -2.10311565e-01 -2.10311565e-01]",[0.02776980753981345]
