KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,1000.0,auto,0.7778576757623379,0.6956025128498001,0.4819430639447461,0.4751131221719457,0.4751131221719457,0.4751131221719457
linear,1000.0,scale,0.7778576757623379,0.6956025128498001,0.48194306394474606,0.4751131221719457,0.4751131221719457,0.4751131221719457
linear,100.0,scale,0.7785561217200819,0.6950314106225015,0.4803884088997629,0.4751131221719457,0.4751131221719457,0.4751131221719457
linear,100.0,auto,0.7785561217200819,0.6950314106225015,0.4803884088997629,0.4751131221719457,0.4751131221719457,0.4751131221719457
linear,10.0,auto,0.7796069654110512,0.6898914905768133,0.4777123633305299,0.4841628959276018,0.4841628959276018,0.4841628959276018
linear,10.0,scale,0.7796069654110512,0.6898914905768133,0.4777123633305299,0.4841628959276018,0.4841628959276018,0.4841628959276018
linear,1.0,auto,0.7754162896645872,0.6773272415762421,0.4625990774014324,0.4841628959276018,0.4841628959276018,0.4841628959276018
linear,1.0,scale,0.7754162896645872,0.6773272415762421,0.4625990774014324,0.4841628959276018,0.4841628959276018,0.4841628959276018
linear,0.1,auto,0.7531422131212598,0.6407766990291262,0.4215918648214696,0.4389140271493213,0.4389140271493213,0.4389140271493213
linear,0.1,scale,0.7531422131212598,0.6407766990291262,0.4215918648214696,0.4389140271493213,0.4389140271493213,0.4389140271493213
linear,0.01,auto,0.6681175294061622,0.5619645916619075,0.3828529194382853,0.3868778280542986,0.38687782805429866,0.38687782805429866
linear,0.01,scale,0.6681175294061622,0.5619645916619075,0.3828529194382853,0.3868778280542986,0.38687782805429866,0.38687782805429866
