ID,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_0,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2_0,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales_0
130,-0.000648117807705714,-0.25365015372580973,0.0018060675448482414,-0.0004842160593819948,-0.04234992165497123,-0.02052555702928933,0.010037822735236939,-0.0001184219632733482,-0.00454627335494247,-0.0071586901771140314,-0.005496173530018077,0.003564360205978616,-0.005834245991698413,-0.0003270548399861692,-0.0010680311100601813
143,-0.00010567974335515566,-0.11759623897190252,-0.0018888726700890795,-0.0006100036149665812,-0.035015287894780533,-0.01015063335818574,-0.0009417346269519343,0.0007699041867908625,-0.004648473436176284,-0.007160616680689577,0.005431163441017513,-0.0035000244693661744,0.012066210131870012,-0.0010601552451005934,-0.0010680311100601813
118,-0.0004667454197783876,-0.16052772725099035,-0.0018860741710367119,0.0012042799641171563,-0.03969402979339976,-0.016376555535162093,-0.012663529510041995,0.0004127564090409458,-0.004648473436176284,-0.007160139527367682,-0.006497996376210978,-0.010633128940624546,-0.005652873603771086,0.0029322760885424817,-0.0010680311100601813
165,0.0005429012317495783,0.15946994024128566,0.0005419171998014751,-0.0005526124951923752,-0.024795971176624375,0.0010243298307661011,-0.011457415338911677,-0.001038222694377665,-0.004569072166879263,-0.007162497159569661,-0.001993880282353128,0.02896484634720973,-0.003928615528569945,-0.0008305907660037704,-0.0008298273021691228
148,7.619366999480812e-05,-0.15270226129735912,-0.002213486928512926,-0.0007908163030834337,-0.04173388267104906,-0.006316042606501792,-0.012867093262668378,-0.0006036358077573518,-0.004600186004329582,-0.007159076042914195,-0.0038928312045066653,-0.01126750196500712,-0.004675347627377576,-0.0014212502587177436,-0.000633444223439868
128,-0.00036844153694089973,-0.18872814340085367,-0.0026530979752909366,-0.0003713018969362124,-0.04317329565516783,-0.005130265785730884,-0.009216333589115224,-0.000898384558995258,-0.004555248012588011,-0.007159807626353701,-0.0024952881997157114,-0.011329880884754548,-0.005694407856316005,0.0012930329808449523,-0.0010680311100601813
179,0.00021118719131815202,-0.06438973225520847,-0.0023632836111614104,-0.0005759900533274674,-0.03985965906854592,-0.01073580633710757,0.0379254669938523,-0.0008233964446216986,-0.004576864686257627,-0.007163267992339127,-0.0038672767342662266,0.0018634252834636477,-0.00540459349218648,0.0029427714970632585,-0.0010680311100601813
116,-0.000648117807705714,-0.16307566642973037,-0.0027929361106733435,-0.0005912680224792058,-0.0026492070163541617,-0.01841295249584735,-0.01205143274092939,-0.00024002957196075242,-0.004581957342641541,-0.007159221708501681,-0.005354847831774624,0.023291215270224874,-0.005834245991698413,-0.0013843094363595481,-0.0010680311100601813
100,-0.000648117807705714,0.01957997001765727,-0.002611507374049774,-0.00033724446152451,-0.045225352312568905,0.026027679594569034,-0.012722633472477075,-0.001038222694377665,-0.004618235313405688,-0.00715989834422834,-0.0016896840661164408,-0.011996693096743718,-0.005834245991698413,0.001663739998279817,-0.0010680311100601813
127,-0.00014613683314204897,0.1601505163052484,0.0017248926603996419,-0.0007908163030834337,0.1402899782017543,-0.016018109218417315,-0.009754984901449769,-0.001038222694377665,-0.004648473436176284,-0.0071586901771140314,-0.007948975479629588,0.0487039605325164,-0.005332265017134748,0.0016049655807367344,-0.0010680311100601813
163,-0.00021640007041091034,-0.11810456136391374,-0.0017136417674363342,-0.0007908163030834337,-0.026442332788989643,-0.018940959230474053,0.06084608898552939,-0.001038222694377665,-0.003713085005370876,-0.007159265154576334,-0.0077331166109821875,0.011109255790948836,-0.005834245991698413,-0.001135829391625799,-0.0010680311100601813
241,0.001532179259937792,-0.013282189840504657,-0.00037038381329166986,-6.405061386893179e-05,-0.030475569688297434,-0.008703461879770048,0.01720163090474391,0.00017305345431317177,-0.004406218206438116,-0.005948708903005139,-0.007464465020153253,0.02033233890449487,-0.003411693694316739,0.001123656759290004,-0.0008257758803220139
214,0.0001668922691107973,-0.30411194162185623,-0.0026571010978705917,-0.0007908163030834337,-0.025215323262052516,-0.015616410200233669,-0.012489456092104062,-0.00022321261756115378,-0.004603195098575366,-0.0063436829916138126,-0.007269800415615831,-0.00809444073300375,-0.005834245991698413,0.002019974360909048,-0.0010680311100601813
