algorithm,rhos mean,rhos median,rhos std,p value mean,rmse mean,rmse median,rmse std
ard regression - real,0.22893,0.23539,0.18046,0.28176,0.76864,0.4148,0.95969
ard regression - random,-0.00291,-0.00133,0.0569,0.50753,0.9937,0.60108,1.1208
random forest - real,0.25388,0.24381,0.14632,0.0809,0.33733,0.26722,0.29263
random forest - random,-0.00021,0.00119,0.02412,0.50356,0.48536,0.38258,0.4311
