Time Point,X,y
0,"[-0.51134773 -0.51134773 -0.51134773 -0.51134773 -0.51134773 -0.51134773
 -0.51134773 -0.51134773 -0.51134773 -0.51134773  1.63405577 -0.51134773
 -0.51134773  4.42688757  0.43188932 -0.51134773 -0.51134773 -0.51134773
  0.40040933 -0.51134773  1.35345057 -0.51134773  0.73392573  0.38220458
  0.61951947  0.81995237 -0.51134773 -0.51134773 -0.51134773  0.4130567
 -0.51134773 -0.51134773 -0.51134773 -0.51134773 -0.51134773 -0.51134773
 -0.51134773 -0.51134773 -0.51134773 -0.51134773  1.00262461  1.17374846
  1.83537035  2.71107801 -0.51134773 -0.51134773 -0.51134773 -0.51134773
  2.06952676 -0.51134773 -0.51134773 -0.26901166 -0.51134773  0.43968987
 -0.3763653   3.81584365 -0.51134773  0.34598335 -0.51134773 -0.51134773
 -0.51134773 -0.51134773 -0.51134773 -0.51134773 -0.51134773  0.96690842
 -0.51134773  0.56901237 -0.51134773 -0.51134773 -0.51134773  0.89827854
 -0.51134773 -0.51134773 -0.51134773  2.53139727 -0.51134773  0.72873209
 -0.51134773 -0.51134773 -0.51134773 -0.51134773 -0.51134773]",[0.172868416853378]
0,"[-0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746  1.67423523
 -0.44749746 -0.44749746 -0.44749746 -0.44749746  1.43297243 -0.44749746
 -0.44749746  4.61015486 -0.02117534 -0.44749746 -0.44749746 -0.44749746
 -0.44749746  0.93228374  0.79511725 -0.44749746 -0.44749746 -0.44749746
 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746
 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746
  2.0788814  -0.44749746 -0.44749746  1.04063732  1.89814966 -0.44749746
 -0.44749746  2.14560048 -0.44749746  1.07546303 -0.44749746 -0.44749746
  1.78814033 -0.44749746 -0.44749746  0.31828964 -0.44749746 -0.44749746
 -0.25184378  2.39649972 -0.44749746 -0.44749746 -0.44749746 -0.44749746
 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746
 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746 -0.44749746
 -0.44749746 -0.44749746 -0.44749746  3.29816134 -0.44749746  2.17215223
 -0.44749746 -0.44749746 -0.44749746 -0.44749746  1.70361536]",[-0.0685449310616168]
0,"[-0.40989723 -0.40989723 -0.40989723  0.02466035 -0.40989723  1.31714119
 -0.40989723 -0.40989723 -0.40989723 -0.40989723  1.96511215 -0.40989723
 -0.40989723  3.42045126  0.95765355 -0.40989723 -0.40989723 -0.40989723
 -0.19350922 -0.40989723  1.6163429  -0.40989723 -0.40989723 -0.40989723
 -0.40989723  1.34513458 -0.40989723 -0.40989723 -0.40989723  0.87756048
 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723
 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723  2.06725953
 -0.40989723  3.5862577  -0.40989723 -0.40989723 -0.40989723 -0.40989723
  0.05095026 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723
 -0.40989723  3.52341769 -0.40989723 -0.40989723 -0.40989723 -0.40989723
 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723
 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723  3.00905698
 -0.40989723 -0.40989723 -0.40989723  2.97384068 -0.40989723  0.9217846
 -0.40989723 -0.40989723 -0.40989723 -0.40989723 -0.40989723]",[-0.0765586720622422]
0,"[-0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255  0.50365925
  0.41330564 -0.57601255 -0.57601255 -0.57601255  1.50198289 -0.57601255
 -0.57601255  4.06783093  1.06710343 -0.57601255 -0.57601255 -0.57601255
  1.13685499  0.37865331  2.52459153  0.1255547  -0.57601255  0.64330902
 -0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255
 -0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255
 -0.57601255 -0.57601255 -0.57601255 -0.57601255  1.12638527  0.64682668
  0.67236801  1.71932758 -0.57601255 -0.57601255 -0.57601255 -0.57601255
  0.18121289 -0.57601255 -0.57601255  1.01615267 -0.57601255  0.50365925
  0.99226944  1.66974333  0.50365925 -0.57601255  0.69522866 -0.57601255
 -0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255 -0.57601255
 -0.57601255 -0.57601255  1.17426447 -0.57601255 -0.57601255  0.62283922
  0.94013971 -0.57601255 -0.57601255  2.76338403  0.97016804 -0.57601255
 -0.57601255 -0.57601255 -0.57601255 -0.57601255  3.69622846]",[0.047530533997584556]
0,"[-0.5069487  -0.5069487  -0.5069487   0.4601982  -0.5069487   0.18216719
 -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487
 -0.5069487   3.14482331  1.97845411 -0.5069487  -0.5069487  -0.5069487
 -0.5069487  -0.5069487   3.35950088 -0.5069487  -0.19904067 -0.5069487
 -0.5069487   3.16429667 -0.5069487  -0.5069487  -0.5069487  -0.5069487
 -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487
 -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487   1.4425392
 -0.5069487   1.37814001 -0.5069487  -0.5069487  -0.5069487  -0.5069487
  0.16020485 -0.5069487  -0.5069487   1.54400162 -0.5069487  -0.5069487
  1.04713804  1.91268625 -0.5069487  -0.5069487   0.76122361 -0.5069487
 -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487   0.79662987
  0.96338769 -0.5069487  -0.5069487   1.27599192 -0.5069487   2.4665886
  2.25631136 -0.5069487  -0.5069487   1.78034672 -0.5069487   1.55522981
 -0.5069487  -0.5069487  -0.5069487  -0.5069487  -0.5069487 ]",[0.022968202537296145]
0,"[-0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535  1.27630776
 -0.46630535 -0.46630535 -0.46630535 -0.46630535  2.08531105 -0.46630535
 -0.46630535  4.3719151   2.85039856 -0.46630535 -0.46630535 -0.46630535
  0.30631201 -0.46630535  2.14561062 -0.46630535 -0.46630535 -0.46630535
 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535
 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535
  1.80121308 -0.46630535 -0.46630535 -0.46630535 -0.46630535  1.05542306
  0.716823    2.37275875 -0.46630535  0.79844734 -0.46630535 -0.46630535
  2.44049744 -0.46630535 -0.46630535  1.58645356 -0.46630535  1.5988726
 -0.46630535  1.46390649 -0.46630535 -0.46630535  1.39800655 -0.46630535
 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535
 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535 -0.46630535
 -0.46630535 -0.46630535 -0.46630535 -0.11995319 -0.46630535 -0.46630535
 -0.46630535 -0.46630535 -0.46630535 -0.46630535  2.16154413]",[0.014714586630588722]
0,"[-0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178
 -0.52194178 -0.52194178 -0.52194178 -0.52194178  1.50990926 -0.52194178
 -0.52194178  3.90961908  1.54044515 -0.52194178 -0.52194178 -0.52194178
  1.69999952  0.63340234  3.2672889   0.76081377 -0.52194178 -0.52194178
 -0.52194178  0.7923256  -0.52194178 -0.52194178 -0.52194178 -0.52194178
 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178
  1.0248478  -0.52194178 -0.52194178 -0.52194178  1.62200888  2.03291672
 -0.52194178  1.72182175 -0.52194178 -0.01155406 -0.52194178 -0.52194178
  0.61798251 -0.52194178 -0.52194178  0.58002535 -0.52194178  0.59392289
  0.7652833   2.60269546 -0.52194178 -0.52194178  0.88382016 -0.52194178
 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178
 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178  1.50990926
  0.927954   -0.52194178 -0.52194178  2.85301117 -0.52194178 -0.52194178
 -0.52194178 -0.52194178 -0.52194178 -0.52194178 -0.52194178]",[-0.11282595132329187]
0,"[-0.7710576   0.57517765 -0.7710576  -0.7710576  -0.7710576   0.95898556
  0.29330727 -0.7710576  -0.7710576  -0.7710576   1.27351776 -0.7710576
 -0.7710576   3.31541839  1.22912697 -0.7710576  -0.7710576   0.40388481
  2.39374206  0.17275055  1.33940792 -0.7710576   0.77651869  0.88898636
  0.86403617  0.2067055  -0.7710576  -0.7710576  -0.7710576  -0.7710576
 -0.7710576  -0.7710576  -0.7710576  -0.7710576  -0.7710576  -0.7710576
  0.83032082 -0.7710576  -0.7710576  -0.7710576   1.3835043   0.95461419
  0.03290983  1.88851409  0.30775805  0.52532707  0.02932854 -0.7710576
  1.08303413 -0.7710576  -0.7710576   0.7012328  -0.7710576   0.73190164
  0.53849986  1.93193154  0.03290983 -0.05150142  0.12976954 -0.09793998
 -0.7710576  -0.7710576  -0.7710576  -0.7710576  -0.7710576   1.07907546
 -0.7710576  -0.7710576  -0.7710576  -0.7710576   0.21651478  1.90512175
 -0.7710576  -0.7710576  -0.7710576   2.52497399 -0.7710576   0.40138197
  0.59217937 -0.7710576  -0.7710576  -0.7710576   2.33466413]",[0.32120672362842373]
0,"[-0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211  0.94862788
 -0.48638211 -0.48638211 -0.48638211 -0.48638211  1.31523013 -0.48638211
 -0.48638211  4.080562    1.31429443 -0.48638211 -0.48638211  0.1668243
  1.02516051 -0.48638211  0.32071096 -0.48638211 -0.48638211  0.47972216
 -0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211
 -0.48638211 -0.48638211  2.19369438 -0.48638211 -0.48638211 -0.48638211
 -0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211  0.90513344
  2.14659944  2.16518424 -0.48638211  0.56837108 -0.48638211 -0.48638211
  2.62832316 -0.48638211 -0.48638211  0.73248896 -0.48638211 -0.48638211
 -0.48638211  2.84597941 -0.48638211 -0.48638211  0.52488778 -0.48638211
 -0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211
 -0.48638211 -0.48638211 -0.48638211  1.46568826 -0.48638211 -0.48638211
 -0.48638211 -0.48638211 -0.48638211  3.06599097 -0.48638211  1.74859918
 -0.48638211 -0.48638211 -0.48638211 -0.48638211 -0.48638211]",[-0.07182949445283632]
0,"[-0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223
 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223
 -0.50624223  4.73492981  1.21859928 -0.50624223 -0.50624223  0.05623825
  2.06391739 -0.50624223  1.73628607 -0.50624223 -0.50624223  1.70739842
 -0.50624223  1.31237598 -0.50624223 -0.50624223 -0.50624223 -0.50624223
 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223
 -0.50624223 -0.50624223 -0.50624223 -0.50624223  1.02266979  0.74486392
  1.14658836  1.74587515 -0.50624223 -0.50624223 -0.29198973 -0.50624223
  0.49404369 -0.50624223  0.90672326  2.41993061 -0.50624223  1.7492415
  0.6799199   1.24124249 -0.50624223 -0.50624223  1.59159793 -0.50624223
 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223 -0.50624223
 -0.50624223  0.79554311 -0.50624223 -0.50624223 -0.50624223 -0.50624223
 -0.50624223 -0.50624223 -0.50624223  3.14920949 -0.50624223 -0.50624223
 -0.50624223 -0.50624223 -0.50624223 -0.50624223  0.65557113]",[0.04360610436828327]
