,y score 0,y score 1,y score 2,y score 3,y pred,y test
0,0.3505164,0.33419624,0.17774476,0.13754253,0,1
1,0.25321501,0.25854895,0.30566493,0.1825711,2,3
2,0.46621206,0.1712957,0.17898647,0.18350574,0,0
3,0.28516957,0.24154374,0.38562024,0.087666415,2,2
4,0.30999598,0.27309325,0.27115524,0.14575553,0,3
5,0.22528896,0.32915553,0.23597048,0.209585,1,0
6,0.23612502,0.26523808,0.2718665,0.22677042,2,3
7,0.28659236,0.32826266,0.17655225,0.2085927,1,1
8,0.41394132,0.24608961,0.22579531,0.11417371,0,0
9,0.3057299,0.25896707,0.20552894,0.22977412,0,0
10,0.29421854,0.24706998,0.23448539,0.22422613,0,2
11,0.3423024,0.28959763,0.24111384,0.12698607,0,0
12,0.2709874,0.3159511,0.24687183,0.16618963,1,1
13,0.33557573,0.24911438,0.2660164,0.14929348,0,0
14,0.23534667,0.23710334,0.29682127,0.2307287,2,2
15,0.25734764,0.23986946,0.28646478,0.21631807,2,0
16,0.28858635,0.31783685,0.23702395,0.1565529,1,0
17,0.28767678,0.118073806,0.3704833,0.22376609,2,2
18,0.3567386,0.2757085,0.24349664,0.12405624,0,1
19,0.4155573,0.28702265,0.19523652,0.10218356,0,2
20,0.28924,0.3190521,0.20159793,0.19010997,1,2
21,0.19000208,0.40934852,0.20683572,0.19381368,1,1
22,0.33711,0.31012246,0.18841562,0.16435196,0,0
23,0.43960497,0.275194,0.15774378,0.12745728,0,0
24,0.3585864,0.22059725,0.32604498,0.09477133,0,3
25,0.13871859,0.24062946,0.32635167,0.29430023,2,1
26,0.43344727,0.24468745,0.19582407,0.12604125,0,0
27,0.2469357,0.25011724,0.33006465,0.17288244,2,2
28,0.16989309,0.16778202,0.4462613,0.21606357,2,2
29,0.29708916,0.3801754,0.23027563,0.09245979,1,1
30,0.32753965,0.370236,0.20443211,0.09779223,1,1
31,0.25709057,0.25682366,0.22816016,0.25792557,3,0
32,0.4441452,0.15413353,0.25418544,0.14753583,0,0
33,0.112155005,0.23007508,0.44254783,0.21522208,2,2
34,0.4116184,0.283167,0.17052199,0.1346926,0,0
35,0.4108525,0.25562876,0.17515913,0.15835965,0,0
36,0.15866122,0.22001347,0.36304045,0.2582849,2,2
37,0.31463754,0.28828728,0.24519187,0.1518833,0,0
38,0.5827332,0.12448181,0.14810404,0.14468095,0,0
39,0.32815358,0.27461043,0.26577798,0.13145797,0,0
40,0.20580666,0.102496974,0.3306249,0.3610715,3,2
41,0.110264644,0.15857084,0.4034859,0.3276786,2,3
42,0.2684414,0.19492495,0.3334361,0.20319755,2,2
43,0.19118643,0.25213608,0.46291283,0.09376464,2,0
44,0.38111606,0.2310118,0.26725164,0.12062053,0,2
45,0.21406326,0.3594995,0.25959578,0.16684145,1,2
46,0.2597123,0.21196625,0.36321715,0.16510433,2,3
47,0.24242093,0.376433,0.25657588,0.124570146,1,1
48,0.24344322,0.37516186,0.23319075,0.14820415,1,3
49,0.14767754,0.19884683,0.41404402,0.23943156,2,2
50,0.26782215,0.2995525,0.24591993,0.18670543,1,1
51,0.38322645,0.27575383,0.19797169,0.14304799,0,0
52,0.19684583,0.19322665,0.31668591,0.29324162,2,3
53,0.30851245,0.27392894,0.22528677,0.19227186,0,0
54,0.21981049,0.15853383,0.33584708,0.28580862,2,3
55,0.1942617,0.26764315,0.37180394,0.16629118,2,0
56,0.16498204,0.20068595,0.38312578,0.25120628,2,2
57,0.14478503,0.27620065,0.30599502,0.27301928,2,2
58,0.12778077,0.12653817,0.36072162,0.38495943,3,3
59,0.2493267,0.23988055,0.2595298,0.25126296,2,1
60,0.1358674,0.29412147,0.39377692,0.17623422,2,0
61,0.5015498,0.2705161,0.12332234,0.104611784,0,0
62,0.23338515,0.23075135,0.3082495,0.22761399,2,2
63,0.38201356,0.3093094,0.13412814,0.1745489,0,0
64,0.26549762,0.19137898,0.31729612,0.22582728,2,2
65,0.2868482,0.3329266,0.24768573,0.13253951,1,1
66,0.3363998,0.33093882,0.19158912,0.14107229,0,2
67,0.22230755,0.1295235,0.41868845,0.22948049,2,2
68,0.4391501,0.16841468,0.14107321,0.25136203,0,3
69,0.16264017,0.282034,0.34890515,0.20642067,2,2
70,0.24643503,0.24815771,0.30968243,0.19572482,2,3
71,0.21289925,0.25931484,0.27761936,0.25016654,2,2
72,0.3182257,0.115797564,0.38293523,0.1830415,2,2
73,0.22339213,0.19384064,0.360678,0.22208928,2,1
74,0.25129592,0.19497627,0.3932679,0.16045992,2,1
75,0.16879554,0.2129061,0.32998604,0.28831226,2,3
76,0.38800576,0.32337436,0.1819872,0.106632695,0,3
77,0.40339378,0.2868299,0.22830904,0.08146726,0,1
78,0.22035408,0.40256107,0.26324615,0.11383865,1,0
79,0.25726157,0.39623317,0.20545928,0.14104599,1,1
80,0.48762387,0.2475918,0.16646364,0.098320745,0,3
81,0.14409718,0.16302668,0.3714946,0.32138157,2,3
82,0.32757244,0.26626432,0.22659478,0.17956844,0,3
83,0.32133973,0.41569996,0.15255223,0.110408105,1,1
84,0.35942814,0.3244962,0.18110813,0.13496752,0,0
85,0.41335246,0.05986204,0.24154717,0.2852383,0,0
86,0.45254374,0.27541247,0.17021368,0.10183007,0,2
87,0.106569014,0.10813643,0.36035946,0.4249351,3,2
88,0.27278185,0.19263989,0.33380017,0.2007781,2,2
89,0.28775057,0.32858932,0.24508502,0.13857512,1,1
90,0.29042256,0.18559438,0.27859083,0.24539223,0,2
91,0.19815539,0.2895724,0.32172456,0.19054765,2,2
92,0.23561142,0.21720466,0.35360765,0.19357626,2,1
93,0.44126588,0.25653672,0.21080124,0.091396175,0,0
94,0.32756034,0.2091273,0.28042898,0.18288335,0,0
95,0.24813758,0.35592043,0.21348242,0.18245958,1,1
96,0.22424665,0.33600274,0.32379434,0.115956284,1,1
97,0.22913948,0.22102308,0.25382563,0.2960118,3,2
98,0.28910497,0.4163169,0.20494218,0.089635946,1,1
99,0.41178858,0.27011338,0.21315484,0.10494319,0,0
100,0.22206016,0.15076876,0.32432786,0.3028432,2,2
101,0.3602683,0.12918454,0.39188662,0.118660524,2,0
102,0.17991394,0.1985696,0.3223039,0.2992126,2,3
103,0.290476,0.29073933,0.28230172,0.13648294,1,1
104,0.2680868,0.29647624,0.2952621,0.1401749,1,3
105,0.3002906,0.20985807,0.30961284,0.18023847,2,1
106,0.41279313,0.22552963,0.23793061,0.123746604,0,0
107,0.2531284,0.17867869,0.34238982,0.22580308,2,2
108,0.46169573,0.24821986,0.16931339,0.12077104,0,3
109,0.30889922,0.16495655,0.37572262,0.15042163,2,1
110,0.27104512,0.31931558,0.25551257,0.15412675,1,2
111,0.22834174,0.26584414,0.26279584,0.24301831,1,1
112,0.26279867,0.38885912,0.23445645,0.1138858,1,1
113,0.18548337,0.21563943,0.29630676,0.30257046,3,1
114,0.25579196,0.2926665,0.22807308,0.22346847,1,0
115,0.31625387,0.25510907,0.32948983,0.099147245,2,2
116,0.3955492,0.1365213,0.31670454,0.15122494,0,0
117,0.2614853,0.33613482,0.21410799,0.18827187,1,1
118,0.17903917,0.20891409,0.34947038,0.2625764,2,3
119,0.3531856,0.2089625,0.22439224,0.21345969,0,1
120,0.36568254,0.29078716,0.17091113,0.17261924,0,2
121,0.27218604,0.32535708,0.3007069,0.10174997,1,2
122,0.30544263,0.25239176,0.24868517,0.19348048,0,3
123,0.35380545,0.32968676,0.2034105,0.11309723,0,0
124,0.3184721,0.25291967,0.27831203,0.15029615,0,0
125,0.20792119,0.18747981,0.46730876,0.13729024,2,1
126,0.24474463,0.3747949,0.26574913,0.1147113,1,2
127,0.33103532,0.30998787,0.17508908,0.18388776,0,0
128,0.1831079,0.43003252,0.25582778,0.13103177,1,1
129,0.1495805,0.30649146,0.35811386,0.18581422,2,2
130,0.3244924,0.15340796,0.26719403,0.25490558,0,3
131,0.36787042,0.24816832,0.21429956,0.16966166,0,3
132,0.23147537,0.20409444,0.3167705,0.2476597,2,1
133,0.42671263,0.2678842,0.17548613,0.12991704,0,0
134,0.35518503,0.29191148,0.21526922,0.13763423,0,0
135,0.4081415,0.31282765,0.18751748,0.09151338,0,1
136,0.32665378,0.34402397,0.18514806,0.14417416,1,1
137,0.2882782,0.30357268,0.2621993,0.14594981,1,3
138,0.5353181,0.17174435,0.16837408,0.124563515,0,0
139,0.17765571,0.36634755,0.3372354,0.11876134,1,2
140,0.42357302,0.31344843,0.14833315,0.11464539,0,2
141,0.27427122,0.3739259,0.26864913,0.08315374,1,3
142,0.32535017,0.29437318,0.25200212,0.12827452,0,0
143,0.36956486,0.19283359,0.26338607,0.17421551,0,0
144,0.32173142,0.2509693,0.25487018,0.1724291,0,0
145,0.43643737,0.24153051,0.1579237,0.16410841,0,3
146,0.13884619,0.21765654,0.32173407,0.3217632,3,1
147,0.24110149,0.30444506,0.21726422,0.2371892,1,0
148,0.27139503,0.28680354,0.2766764,0.16512504,1,0
149,0.33543226,0.24619229,0.25530586,0.1630696,0,1
150,0.4103984,0.18724173,0.18488878,0.21747114,0,2
151,0.3685614,0.21636255,0.19524339,0.21983269,0,1
152,0.33390582,0.22841755,0.24568708,0.19198954,0,0
153,0.22291538,0.29379833,0.32171422,0.16157208,2,1
154,0.32116503,0.2986552,0.174874,0.2053058,0,1
155,0.23757003,0.15583326,0.3596214,0.24697532,2,2
156,0.3621328,0.29950446,0.21883886,0.119523905,0,0
157,0.38214585,0.22236308,0.25209913,0.14339194,0,2
158,0.47257203,0.24447393,0.15117972,0.13177432,0,2
159,0.36645898,0.16992484,0.18662213,0.2769941,0,0
160,0.2310806,0.23480107,0.34654677,0.1875716,2,0
161,0.33195335,0.2981095,0.2306359,0.13930126,0,1
162,0.27666113,0.2720475,0.22397198,0.22731939,0,2
163,0.18349752,0.23059353,0.3559664,0.22994255,2,2
164,0.4144442,0.32311752,0.1841713,0.078266956,0,0
165,0.4490627,0.13284986,0.277948,0.14013949,0,0
166,0.29772565,0.28983858,0.2658014,0.1466344,0,3
167,0.18110088,0.23665226,0.368179,0.21406785,2,2
168,0.38937902,0.29064566,0.17445078,0.1455245,0,1
169,0.25199747,0.2953027,0.34924886,0.10345097,2,0
170,0.27508453,0.21083507,0.21149325,0.30258712,3,2
171,0.32364887,0.120711,0.3907441,0.16489607,2,2
172,0.33818474,0.3290707,0.20885783,0.123886704,0,0
173,0.22452314,0.3258413,0.27343208,0.17620346,1,3
174,0.1763933,0.23706211,0.41090953,0.17563507,2,2
175,0.3549802,0.19178268,0.2895943,0.16364287,0,2
176,0.31143767,0.19617943,0.31245193,0.17993096,2,0
177,0.36626127,0.17404568,0.22141929,0.23827377,0,1
178,0.34988216,0.36144385,0.16588554,0.12278848,1,1
179,0.19886856,0.1504537,0.4193078,0.23136993,2,2
180,0.21655454,0.31162602,0.32112604,0.15069339,2,3
181,0.23733144,0.26972306,0.3462836,0.14666189,2,2
182,0.44604355,0.25923732,0.17413166,0.12058744,0,1
183,0.21629363,0.28784975,0.3434637,0.15239292,2,0
184,0.24403016,0.17370312,0.36908272,0.213184,2,2
185,0.14346936,0.2570443,0.33152795,0.26795843,2,1
186,0.14750127,0.23007941,0.36847055,0.25394878,2,2
187,0.30559355,0.31889293,0.2660063,0.109507196,1,1
188,0.3290481,0.20296909,0.21599095,0.25199187,0,2
189,0.15982942,0.2365433,0.37716287,0.22646444,2,3
190,0.36657706,0.25234267,0.26756936,0.113510914,0,0
191,0.45601016,0.14536195,0.27246347,0.1261644,0,0
192,0.25327608,0.18572627,0.3464218,0.2145759,2,2
193,0.2534803,0.18141039,0.28514656,0.27996275,2,2
194,0.41294065,0.19709615,0.17411436,0.21584885,0,0
195,0.22238716,0.33095598,0.31662107,0.13003582,1,1
196,0.21177411,0.3647007,0.27050376,0.15302144,1,2
197,0.1819629,0.3102717,0.2928275,0.21493784,1,0
198,0.19994058,0.21628113,0.29069778,0.29308057,3,3
199,0.22791299,0.31726596,0.29582152,0.15899953,1,0
200,0.4921925,0.2579203,0.12029778,0.12958938,0,2
201,0.312933,0.19588366,0.24756357,0.24361975,0,2
202,0.39186645,0.23674302,0.20167308,0.1697175,0,0
203,0.19105397,0.30618745,0.3592986,0.14346002,2,2
204,0.2603676,0.2038091,0.37558866,0.1602346,2,1
205,0.3971066,0.30300376,0.18925345,0.11063624,0,1
