-0.11186147416956961,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]
-0.10992124846682856,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__
-0.09453376616278236,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae
-0.08665346484703418,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae
-0.08271331418916009,k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__
-0.07338530600290509,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__
-0.07244504277773059,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae
0.07765380254893536,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae
0.0842654947513529,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae
0.08469831433119512,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria
