-0.2042661839621554,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]
-0.20164936020378565,k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__
-0.18779558736535762,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae
-0.18671807170014654,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae
-0.1750193301921407,k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__
-0.15131398555749714,k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae
-0.13930738243085955,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__
-0.1286861565880647,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae
-0.12406823230858872,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__
0.19041241112372737,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__
0.2107312779534218,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae
