Time Point,X,y
0,"[-0.04232187 -0.04232187 -0.04232187  1.11404088  1.08513861  0.8096347
 -0.75775302  0.39785361  0.09814178 -0.15580362  2.07639288 -0.48416187
 -0.48416187  2.07633414  1.05604227  1.83338805  0.41497248  0.41497248
 -0.04825838 -0.35137053  1.82972951  0.80203298 -0.15232791 -0.3931283
 -1.06281461 -1.212157   -2.24229008  0.53330119  0.35048738 -0.08338987
  0.23748452  0.02963018 -0.71796211 -0.71796211 -0.26821922 -0.38964334
 -2.24229008 -1.06281461 -1.06281461 -1.14328888]",[-0.13999158716266902]
0,"[-0.07626055 -0.07626055 -0.07626055  0.90655245  0.87291165  0.6330025
 -1.86329012  0.35273989 -1.86329012  0.14049263  1.97184955 -0.19688262
 -0.19688262  1.9717835   1.08128977  1.43460393  0.26959061  0.26959061
  0.28790192  0.02369995  1.42742499  0.53048267 -0.17945068 -0.3922945
 -0.46207633 -0.56761478 -1.86329012  0.85626207  0.73724765  0.35845927
  0.55843836  0.37698499 -0.46207633 -0.46207633  0.00391825 -0.1296857
 -0.60766494 -1.86329012 -1.86329012 -1.86329012]",[0.2644282344714345]
0,"[-0.02024543 -0.02024543 -0.02024543  0.84154549  0.70051408  0.42394587
 -0.79953601  0.54773325  0.28134654 -0.07644537  2.0192089  -0.72263956
 -0.72263956  2.01917707  0.9995269   1.60638438  0.3592984   0.3592984
  0.85258974  0.54933205  1.57352757  0.54649299  0.1286448  -0.11436669
 -1.42824263 -1.54274366 -2.34096681  0.74475182 -0.72263956 -1.15539896
  0.70274207  0.49495361 -0.39875994 -0.39875994  0.05837927 -1.02354509
  0.04610357 -1.42824263 -1.42824263 -1.49159146]",[0.09206648146619445]
0,"[ 2.39599798e-02  2.39599798e-02  2.39599798e-02  2.87485657e-01
 -7.54913617e-01 -1.07900692e+00 -1.35374127e+00  2.80312445e-01
 -1.66738024e-03 -2.43393278e-01  2.09870246e+00 -5.16569199e-01
 -5.16569199e-01  2.09867343e+00  1.13475671e+00  1.68005573e+00
  3.44342712e-01  3.44342712e-01 -1.49322577e-01 -4.33546393e-01
  1.67529876e+00  7.04398469e-01  2.34884345e-01  4.70596100e-03
 -2.03332020e+00 -2.03332020e+00 -2.03332020e+00  5.94557339e-01
  4.28421908e-01  1.85112828e-02  1.98539234e-01  1.93524313e-03
 -5.30329495e-01 -5.30329495e-01  1.04941933e-01 -9.89455969e-03
 -2.03332020e+00  6.69684378e-01  6.69684378e-01  6.06449169e-01]",[0.0581582574589915]
0,"[-0.06847293 -0.06847293 -0.06847293  0.7388306   0.70803585  0.42137829
 -0.65147138  0.01147989 -0.4887352  -0.3680567   2.1972891  -0.40744909
 -0.40744909  2.19722196  1.14658681  1.36674562  0.08924478  0.08924478
 -0.37437982 -0.68595267  1.3592955   0.30109062 -0.31727719 -0.56723307
 -2.34573959 -2.34573959 -2.34573959  0.79948058  0.68706155  0.24015914
  0.14554497 -0.06847293 -1.07587983 -1.07587983  0.27398229  0.14163599
 -0.86430727  0.58326568  0.58326568  0.51434193]",[-0.28325054303557046]
0,"[-0.10979055 -0.10979055 -0.10979055  0.72146629  0.57239409  0.29341757
 -0.91289126  0.43619224  0.22019616 -0.39618077  2.22692663 -0.55617333
 -0.55617333  2.22689634  1.19847738  1.42589506  0.06979405  0.06979405
 -0.10979055 -0.41291491  1.41974269  0.38393013 -0.3970388  -0.64127506
 -1.16346348 -1.28122614 -2.20179995  1.47680359  1.45834075  1.02083638
  0.61280529  0.40324544 -0.59823694 -0.59823694 -0.66533312 -1.05529054
 -0.8063236  -1.16346348 -1.16346348 -1.22850682]",[-0.19680075446368328]
0,"[-0.10486459 -0.10486459 -0.10486459  0.5236231   0.32217717  0.05499664
 -1.98407858  0.32110794  0.09759754 -0.4019987   2.31129627 -0.35121358
 -0.35121358  2.31126495  1.31991137  1.46930424  0.2040485   0.2040485
  0.51328224  0.2181094   1.45040002  0.45192372 -0.23700214 -0.47245904
  0.10827184 -0.00979905 -1.98407858  0.66720519  0.4442114   0.02235103
  0.37654373  0.17459876 -0.6388967  -0.6388967   0.12553656 -0.39358621
  0.0382423  -1.98407858 -1.98407858 -1.98407858]",[0.14446792767042194]
0,"[ 0.14676415  0.14676415  0.14676415  0.5399708  -0.15787297 -0.49351391
 -0.70744311  0.50692076  0.17990942 -0.0226525   1.92506171 -0.51323791
 -0.51323791  1.92495533  0.88352543  1.84380093  0.72107012  0.72107012
  0.17461333 -0.13502417  1.8335928   0.78460511  0.01633559 -0.23210108
 -0.57255937 -0.69634783 -2.42279086  0.9067585   0.75668414  0.31367376
  0.59665747  0.3844743  -0.26727329 -0.26727329 -0.90749916 -1.1322981
 -1.28570903 -1.68856433 -1.68856433 -1.75000894]",[0.1012191009051957]
0,"[-0.22262967 -0.22262967 -0.22262967  0.73166309  0.71166245  0.4538077
 -1.99451134 -0.0225764  -0.23634029 -0.73500736  2.15618815 -0.24425605
 -0.24425605  2.15613244  1.19854477  1.07430291 -0.34443541 -0.34443541
  0.19575985 -0.08825778  1.05952515  0.09504953 -1.13734082 -1.34937547
 -1.31939556 -1.99451134 -1.99451134  1.13182797  0.37197907 -0.03518937
  0.73271422  0.53757948 -1.31939556 -1.31939556  1.0274784   0.90189454
  0.11908781  0.26622822  0.26622822  0.20342615]",[-0.04318525157689124]
0,"[ 5.00846355e-02  5.00846355e-02  5.00846355e-02  5.23624766e-01
 -2.10388880e-01 -7.36364229e-01 -4.58477402e-01  4.83483959e-01
  1.87141490e-01 -2.22416000e-01  1.89527960e+00 -8.43209127e-01
 -8.43209127e-01  1.89518251e+00  7.52010950e-01  1.66802913e+00
  3.25761840e-01  3.25761840e-01 -4.58861624e-03 -3.44497079e-01
  1.64601272e+00  4.94550053e-01 -2.49830779e-01 -5.22243217e-01
  5.38840734e-01  4.02565522e-01 -2.91898072e+00  1.01025655e+00
  9.74001783e-01  4.87687835e-01  2.18410677e-01 -1.44592206e-02
 -8.96070532e-01 -8.96070532e-01 -8.43209127e-01 -9.79140855e-01
 -2.91898072e+00 -5.77707817e-04 -5.77707817e-04 -7.55642782e-02]",[-0.16550631484434697]
