-0.6004261718643302,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__
-0.5871675497726888,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__
-0.5490792980624956,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium
-0.5119526653774322,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__
0.5299261390508705,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__SMB53
