Taxonomy level,taxonomy group,normalization 1,normalization 2,Dimension reduction,TRAIN-AUC,TEST-AUC
four,mean,robust,z_after_robust,PCA,0.9472932087529832,0.5954258064516129
four,mean,robust,z_after_robust,PCA,0.9390826356024752,0.6480387096774194
four,mean,robust,z_after_robust,ICA,0.9534749019131984,0.6295096774193549
four,mean,robust,z_after_robust,ICA,0.943919427253974,0.6619032258064516
four,mean,robust,z_after_robust,None,0.9245633620515308,0.6283612903225806
four,mean,robust,z_after_robust,None,0.929677223637908,0.6366709677419354
four,sum,log,No,PCA,0.8758261537839259,0.6259225806451614
four,sum,log,No,PCA,0.8870929903328884,0.6483935483870968
four,sum,log,No,ICA,0.9000906038911136,0.6042903225806452
four,sum,log,No,ICA,0.8935820895522388,0.6498645161290322
four,sum,log,No,None,0.9288658334344536,0.6407612903225807
four,sum,log,No,None,0.9289147757149212,0.6359354838709677
four,sum,log,row,PCA,0.9301609836993892,0.6317483870967742
four,sum,log,row,PCA,0.9287125348865428,0.675741935483871
four,sum,log,row,ICA,0.901357440440076,0.6431290322580646
four,sum,log,row,ICA,0.8909210047324354,0.6195096774193548
four,sum,log,row,None,0.9445625530882176,0.6601548387096774
four,sum,log,row,None,0.9540104356267444,0.6487354838709678
four,sum,log,col,PCA,0.9407782227076004,0.6165806451612903
four,sum,log,col,PCA,0.953252437001982,0.6427225806451613
four,sum,log,col,ICA,0.9540614003154956,0.6458322580645162
four,sum,log,col,ICA,0.9597920964284268,0.6408258064516129
four,sum,log,col,None,0.9288658334344536,0.6407612903225807
four,sum,log,col,None,0.9289147757149212,0.6359354838709677
four,sum,log,both,PCA,0.9481660801682644,0.6336387096774194
four,sum,log,both,PCA,0.9543785139343928,0.6465548387096773
four,sum,log,both,ICA,0.9540978036646036,0.6371096774193549
four,sum,log,both,ICA,0.9467730453423938,0.6280903225806451
four,sum,log,both,None,0.9445625530882176,0.6601548387096774
four,sum,log,both,None,0.9540104356267444,0.6487354838709678
four,sum,relative,No,PCA,0.7964405614205396,0.5295161290322581
four,sum,relative,No,PCA,0.7927003195405089,0.5476451612903226
four,sum,relative,No,ICA,0.7731699227440034,0.549458064516129
four,sum,relative,No,ICA,0.7724750232576953,0.5372258064516129
four,sum,relative,No,None,0.9312599603607976,0.6536774193548387
four,sum,relative,No,None,0.9280843748735994,0.6341161290322581
four,sum,relative,z_after_relative,PCA,0.948053634267686,0.6261354838709677
four,sum,relative,z_after_relative,PCA,0.9506815515916354,0.6491548387096774
four,sum,relative,z_after_relative,ICA,0.9388399466084214,0.5463806451612904
four,sum,relative,z_after_relative,ICA,0.9419479836589412,0.5701935483870968
four,sum,relative,z_after_relative,None,0.9280843748735994,0.6341161290322581
four,sum,relative,z_after_relative,None,0.9312599603607976,0.6536774193548387
four,sum,robust,No,PCA,0.7943089430894309,0.610658064516129
four,sum,robust,No,PCA,0.7868899405411965,0.5738064516129032
four,sum,robust,No,ICA,0.7664680661731991,0.5184129032258065
four,sum,robust,No,ICA,0.7605877118472677,0.5250387096774194
four,sum,robust,No,None,0.9356671924928204,0.6443096774193549
four,sum,robust,No,None,0.9266068033814664,0.6569935483870968
four,sum,robust,z_after_robust,PCA,0.9476980948913968,0.6491483870967742
four,sum,robust,z_after_robust,PCA,0.9558087610726852,0.6645161290322581
four,sum,robust,z_after_robust,ICA,0.9407976378271248,0.6681161290322579
four,sum,robust,z_after_robust,ICA,0.9428932572907818,0.6497612903225807
four,sum,robust,z_after_robust,None,0.9356671924928204,0.6445032258064516
four,sum,robust,z_after_robust,None,0.9266068033814664,0.6569161290322579
five,pca_anna,log,No,PCA,0.9308012781620354,0.6631161290322579
five,pca_anna,log,No,PCA,0.9382020790357158,0.6850774193548388
five,pca_anna,log,No,ICA,0.9405464547182786,0.6554903225806452
five,pca_anna,log,No,ICA,0.9237774541924524,0.6614967741935484
five,pca_anna,log,No,None,0.969778748533754,0.7257741935483871
five,pca_anna,log,No,None,0.9645876309509364,0.7290451612903225
five,pca_anna,log,row,PCA,0.9278615054807264,0.6713548387096774
five,pca_anna,log,row,PCA,0.9284484083646807,0.7234129032258065
