Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
six,pca_anna,log,No,1,0.9626622982647736,0.7048258064516129
six,pca_anna,log,No,0,0.9673413420701372,0.732116129032258
six,pca_anna,relative,z_after_relative,1,0.9787873639930428,0.6724516129032259
six,pca_anna,relative,z_after_relative,0,0.9762876673542854,0.7347870967741936
six,pca_anna,relative,No,1,0.9023763297334464,0.5574967741935484
six,pca_anna,relative,No,0,0.9519386805808356,0.7172451612903226
four,pca_anna,log,No,PCA,0.913219269506128,0.6477354838709677
four,pca_anna,log,No,PCA,0.9009019940945676,0.6638129032258064
four,pca_anna,log,No,ICA,0.8899292157100674,0.7106129032258066
four,pca_anna,log,No,ICA,0.8831052056789224,0.6533548387096775
four,pca_anna,log,No,None,0.9620802491607005,0.7365161290322583
four,pca_anna,log,No,None,0.9554811309307124,0.7002709677419355
four,pca_anna,log,row,PCA,0.9003701007159325,0.6652064516129033
four,pca_anna,log,row,PCA,0.9060393156170368,0.6426967741935484
four,pca_anna,log,row,ICA,0.9290053796060348,0.649509677419355
four,pca_anna,log,row,ICA,0.92254176273106,0.6242064516129032
four,pca_anna,log,row,None,0.9676738259919913,0.7136516129032258
four,pca_anna,log,row,None,0.9630299720907658,0.7081935483870967
four,pca_anna,log,col,PCA,0.9393936819965216,0.6610645161290323
four,pca_anna,log,col,PCA,0.9405039841443192,0.6588387096774193
four,pca_anna,log,col,ICA,0.9299441815313676,0.6689548387096773
four,pca_anna,log,col,ICA,0.9189252922379968,0.6567419354838709
four,pca_anna,log,col,None,0.970670226105246,0.7892967741935484
four,pca_anna,log,col,None,0.9699178902236784,0.7766580645161291
four,pca_anna,log,both,PCA,0.9514031468672894,0.7330193548387097
four,pca_anna,log,both,PCA,0.9464789871779314,0.6930967741935484
four,pca_anna,log,both,ICA,0.9508720624519678,0.7186322580645161
four,pca_anna,log,both,ICA,0.9635254621202928,0.6079612903225806
four,pca_anna,log,both,None,0.979324515633216,0.7367096774193549
four,pca_anna,log,both,None,0.9702669578934596,0.7319225806451614
four,pca_anna,relative,No,PCA,0.8598628807183593,0.5932903225806452
four,pca_anna,relative,No,PCA,0.8463281155199611,0.5480322580645162
four,pca_anna,relative,No,ICA,0.8689519880273431,0.6042516129032258
four,pca_anna,relative,No,ICA,0.8554904340088176,0.5361677419354839
four,pca_anna,relative,No,None,0.9363633054240992,0.6738193548387098
four,pca_anna,relative,No,None,0.9380617239008212,0.6697161290322581
four,pca_anna,relative,z_after_relative,PCA,0.9568951988027342,0.6249161290322579
four,pca_anna,relative,z_after_relative,PCA,0.9579961978724264,0.6212000000000001
four,pca_anna,relative,z_after_relative,ICA,0.95889374266877,0.5700387096774193
four,pca_anna,relative,z_after_relative,ICA,0.9718577842494844,0.6207741935483871
four,pca_anna,relative,z_after_relative,None,0.972217772923998,0.7032129032258064
four,pca_anna,relative,z_after_relative,None,0.9715261092909436,0.6760903225806452
four,pca_anna,robust,No,PCA,0.7035905836670306,0.5533806451612902
four,pca_anna,robust,No,PCA,0.707401609836994,0.5258387096774193
four,pca_anna,robust,No,ICA,0.7035905836670306,0.5533806451612902
four,pca_anna,robust,No,ICA,0.707401609836994,0.5258387096774193
four,pca_anna,robust,No,None,0.9363426768596044,0.6333161290322581
four,pca_anna,robust,No,None,0.9374444848926102,0.6566451612903226
four,pca_anna,robust,z_after_robust,PCA,0.9215042672814788,0.6051225806451612
four,pca_anna,robust,z_after_robust,PCA,0.9145633620515308,0.6383225806451613
four,pca_anna,robust,z_after_robust,ICA,0.9064959754075153,0.5673290322580645
four,pca_anna,robust,z_after_robust,ICA,0.8924794725559195,0.5833225806451613
four,pca_anna,robust,z_after_robust,None,0.9701872750070784,0.7147741935483871
four,pca_anna,robust,z_after_robust,None,0.9656121829875016,0.7303096774193548
four,mean,log,No,PCA,0.8962447922986693,0.5679935483870967
four,mean,log,No,PCA,0.8933555798244549,0.595
four,mean,log,No,ICA,0.8825712898920034,0.5866903225806452
four,mean,log,No,ICA,0.8852538122396149,0.6040129032258064
four,mean,log,No,None,0.9288658334344536,0.6406709677419355
four,mean,log,No,None,0.9289147757149212,0.6360516129032258
four,mean,log,row,PCA,0.9235913926303442,0.6326451612903226
four,mean,log,row,PCA,0.9106742709218136,0.6560387096774193
four,mean,log,row,ICA,0.9060000808963312,0.6607225806451613
four,mean,log,row,ICA,0.9041839582574932,0.6450516129032258
four,mean,log,row,None,0.9499215305585892,0.6902580645161289
four,mean,log,row,None,0.9522036160660112,0.6630064516129032
four,mean,log,col,PCA,0.9532961210209118,0.6155612903225806
four,mean,log,col,PCA,0.9521498200056626,0.6306322580645163
four,mean,log,col,ICA,0.9365987137483316,0.6469354838709678
four,mean,log,col,ICA,0.9377579581765968,0.6460387096774194
four,mean,log,col,None,0.9288658334344536,0.6406709677419355
four,mean,log,col,None,0.9289147757149212,0.6360516129032258
four,mean,log,both,PCA,0.9606690126602758,0.6258064516129032
four,mean,log,both,PCA,0.9537438822149416,0.6295225806451612
four,mean,log,both,ICA,0.9403753589774704,0.5964387096774194
four,mean,log,both,ICA,0.9333507260445738,0.6232258064516129
four,mean,log,both,None,0.9499215305585892,0.6902580645161289
four,mean,log,both,None,0.9522036160660112,0.6630064516129032
four,mean,relative,No,PCA,0.8500647170650811,0.5406451612903226
four,mean,relative,No,PCA,0.8370501152772721,0.5286903225806452
four,mean,relative,No,ICA,0.8365546252477449,0.5504064516129032
four,mean,relative,No,ICA,0.8459806657768072,0.5278516129032258
four,mean,relative,No,None,0.9262650163815068,0.6658967741935484
four,mean,relative,No,None,0.9182093597055372,0.6652903225806451
four,mean,relative,z_after_relative,PCA,0.9453177203413824,0.6064064516129033
four,mean,relative,z_after_relative,PCA,0.9584601383327268,0.6398451612903227
four,mean,relative,z_after_relative,ICA,0.9382991546333374,0.6247161290322579
four,mean,relative,z_after_relative,ICA,0.9403984144319056,0.6008451612903225
four,mean,relative,z_after_relative,None,0.9262650163815068,0.6658967741935484
four,mean,relative,z_after_relative,None,0.9182093597055372,0.6652903225806451
four,mean,robust,No,PCA,0.8179367390688832,0.5251354838709678
four,mean,robust,No,PCA,0.8203644379727378,0.5558774193548387
four,mean,robust,No,ICA,0.8157614367188448,0.565541935483871
four,mean,robust,No,ICA,0.8049205193544473,0.5828451612903227
four,mean,robust,No,None,0.9245633620515308,0.6283096774193548
four,mean,robust,No,None,0.929677223637908,0.6366709677419354
