-0.6218991458225958,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__
-0.5265567059251854,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc
-0.521364749531228,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__
-0.49325621589062074,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__
-0.4631374066934278,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__
-0.4425620374871678,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium
