,y score 0,y score 1,y pred,y test
0,0.6635158,0.33648416,0,0
1,0.5811986,0.41880146,0,0
2,0.6769732,0.32302675,0,0
3,0.5948782,0.40512183,0,1
4,0.6728028,0.3271972,0,0
5,0.6162679,0.3837321,0,1
6,0.46800315,0.53199685,1,0
7,0.5732653,0.4267347,0,0
8,0.36532104,0.63467896,1,1
9,0.3914836,0.6085164,1,1
10,0.6780125,0.32198748,0,0
11,0.72230005,0.27769998,0,1
12,0.45725185,0.54274815,1,0
13,0.30503583,0.6949642,1,1
14,0.43260604,0.56739396,1,0
15,0.5434414,0.45655856,0,1
16,0.6924326,0.30756742,0,0
17,0.4511099,0.5488901,1,1
18,0.58055604,0.419444,0,0
19,0.77134526,0.22865471,0,0
20,0.5882263,0.4117737,0,1
21,0.6909536,0.30904636,0,0
22,0.42074126,0.57925874,1,0
23,0.47197312,0.5280269,1,1
24,0.73441815,0.26558185,0,0
25,0.58620363,0.41379637,0,0
26,0.5323038,0.4676962,0,1
27,0.32979828,0.6702017,1,1
28,0.3358034,0.6641966,1,0
29,0.5470669,0.45293304,0,1
30,0.4986145,0.5013855,1,0
31,0.40226644,0.59773356,1,0
32,0.6756487,0.32435134,0,0
33,0.40857416,0.59142584,1,0
34,0.36610973,0.6338903,1,0
35,0.61482626,0.38517374,0,0
36,0.5066529,0.4933471,0,1
37,0.48784918,0.5121508,1,0
38,0.618954,0.381046,0,1
39,0.21681345,0.78318655,1,1
40,0.37046885,0.62953115,1,1
41,0.4824342,0.5175658,1,1
42,0.38413674,0.61586326,1,1
43,0.4032395,0.5967605,1,0
44,0.48036265,0.51963735,1,0
45,0.3580686,0.6419314,1,1
46,0.46257782,0.5374222,1,0
47,0.34311944,0.65688056,1,1
48,0.40795583,0.5920442,1,1
49,0.3864851,0.6135149,1,0
50,0.61178505,0.38821498,0,0
51,0.3726378,0.6273622,1,1
52,0.29682982,0.7031702,1,1
53,0.34158617,0.6584138,1,1
54,0.47756183,0.52243817,1,1
55,0.7483268,0.2516732,0,0
56,0.60889673,0.39110327,0,0
57,0.60477626,0.39522377,0,1
58,0.32269472,0.6773053,1,0
59,0.2518953,0.7481047,1,0
60,0.31513017,0.6848698,1,0
61,0.45020068,0.5497993,1,1
62,0.6830996,0.31690037,0,0
63,0.45195317,0.5480468,1,1
64,0.44304246,0.55695754,1,0
