,y score 0,y score 1,y pred,y test
0,0.7761792,0.22382084,0,0
1,0.5803137,0.41968632,0,1
2,0.5950864,0.4049136,0,0
3,0.34554297,0.65445703,1,0
4,0.24257934,0.75742066,1,0
5,0.53422815,0.46577185,0,1
6,0.4491213,0.5508787,1,1
7,0.58618414,0.41381583,0,1
8,0.6909722,0.3090278,0,0
9,0.61305153,0.38694847,0,1
10,0.34671122,0.6532888,1,0
11,0.5414599,0.45854005,0,0
12,0.7253052,0.2746948,0,0
13,0.68697643,0.31302357,0,0
14,0.6585517,0.3414483,0,0
15,0.5615997,0.43840033,0,0
16,0.5770642,0.42293578,0,0
17,0.38035482,0.6196452,1,1
18,0.2769559,0.7230441,1,1
19,0.4766757,0.5233243,1,1
20,0.40430278,0.5956972,1,1
21,0.6255069,0.3744931,0,1
22,0.6473402,0.35265982,0,1
23,0.43856674,0.56143326,1,0
24,0.3332615,0.6667385,1,0
25,0.5844983,0.41550174,0,0
26,0.4726904,0.5273096,1,1
27,0.29091448,0.7090855,1,1
28,0.5022558,0.49774417,0,1
29,0.26822573,0.7317743,1,0
30,0.6228254,0.37717465,0,0
31,0.36310714,0.63689286,1,0
32,0.638975,0.36102495,0,1
33,0.72412264,0.27587736,0,0
34,0.6502347,0.34976527,0,0
35,0.5574715,0.44252852,0,0
36,0.47253394,0.52746606,1,1
37,0.38951635,0.61048365,1,1
38,0.3884468,0.6115532,1,0
39,0.4732635,0.5267365,1,1
40,0.42991954,0.57008046,1,0
41,0.6943222,0.3056778,0,0
42,0.48048484,0.51951516,1,1
43,0.5190571,0.4809429,0,0
44,0.6900646,0.3099354,0,0
45,0.28502482,0.7149752,1,1
46,0.6237843,0.37621567,0,0
47,0.37050587,0.62949413,1,1
48,0.39310527,0.60689473,1,0
49,0.44850582,0.5514942,1,0
50,0.5437212,0.4562788,0,0
51,0.70745474,0.29254526,0,0
52,0.44826037,0.55173963,1,0
53,0.40789503,0.592105,1,1
54,0.5326091,0.46739087,0,0
55,0.34655052,0.6534495,1,0
56,0.38682288,0.6131771,1,0
57,0.60180014,0.39819986,0,1
58,0.4617185,0.5382815,1,0
59,0.48500097,0.51499903,1,1
60,0.54868543,0.4513146,0,0
61,0.7081436,0.29185638,0,0
62,0.31924248,0.6807575,1,0
63,0.50955653,0.49044347,0,0
64,0.5489851,0.45101488,0,0
65,0.64281124,0.35718876,0,0
66,0.39337498,0.606625,1,1
