-0.6218991458225958,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__
-0.521364749531228,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__
0.5227525444194988,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae
