-0.14360428481523674,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7
-0.13157557539128004,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae
-0.1196393945013538,k__Bacteria; p__TM7; c__TM7-3; o__; f__
-0.11945433743329291,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__
