KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,1.0,auto,0.8326514473291556,0.7489807804309843,0.6298032726604157,0.6108597285067874,0.6108597285067874,0.6108597285067874
linear,1.0,scale,0.8326514473291556,0.7489807804309843,0.6298032726604157,0.6108597285067874,0.6108597285067874,0.6108597285067874
linear,0.1,auto,0.8284452402267979,0.7285963890506697,0.6247242140099283,0.6018099547511312,0.6018099547511312,0.6018099547511312
linear,0.1,scale,0.8284452402267979,0.7285963890506697,0.6247242140099283,0.6018099547511312,0.6018099547511312,0.6018099547511312
linear,10.0,auto,0.8347418680990749,0.755387303436226,0.6140375068946498,0.5995475113122172,0.5995475113122172,0.5995475113122172
linear,10.0,scale,0.8347418680990749,0.755387303436226,0.6140375068946498,0.5995475113122172,0.5995475113122172,0.5995475113122172
linear,100.0,auto,0.8339570277529094,0.7588817705299943,0.6139685603971318,0.6018099547511313,0.6018099547511312,0.6018099547511312
linear,100.0,scale,0.8339570277529094,0.7588817705299943,0.6139685603971318,0.6018099547511313,0.6018099547511312,0.6018099547511312
linear,1000.0,auto,0.8340868397493285,0.7582993593476995,0.6139225960654532,0.6018099547511313,0.6018099547511312,0.6018099547511312
linear,1000.0,scale,0.8340868397493285,0.7582993593476995,0.6139225960654532,0.6018099547511313,0.6018099547511312,0.6018099547511312
linear,0.01,auto,0.7621202626081767,0.6435643564356436,0.54853833425262,0.5248868778280542,0.5248868778280543,0.5248868778280543
linear,0.01,scale,0.7621202626081767,0.6435643564356436,0.54853833425262,0.5248868778280542,0.5248868778280543,0.5248868778280543
