,y score 0,y score 1,y pred,y test
0,0.43523926,0.56476074,1,1
1,0.60168266,0.3983173,0,1
2,0.47685492,0.5231451,1,0
3,0.54096293,0.45903704,0,0
4,0.4396366,0.5603634,1,1
5,0.6279141,0.37208596,0,0
6,0.4904011,0.5095989,1,1
7,0.48191857,0.5180814,1,1
8,0.63724685,0.36275312,0,0
9,0.3631754,0.6368246,1,1
10,0.6037525,0.3962475,0,0
11,0.55988884,0.44011113,0,1
12,0.43669182,0.5633082,1,0
13,0.56496966,0.43503034,0,0
14,0.28463298,0.715367,1,0
15,0.6165314,0.38346863,0,0
16,0.37230557,0.6276944,1,1
17,0.27448982,0.7255102,1,0
18,0.51266146,0.48733854,0,0
19,0.39057213,0.60942787,1,0
20,0.3666926,0.6333074,1,1
21,0.35148996,0.64851004,1,0
22,0.56317914,0.43682083,0,0
23,0.22614563,0.7738544,1,1
24,0.65245974,0.34754023,0,0
25,0.60079014,0.3992099,0,0
26,0.7461202,0.25387976,0,0
27,0.53972656,0.46027344,0,0
28,0.28890812,0.7110919,1,0
29,0.3815825,0.6184175,1,1
30,0.50379336,0.49620667,0,1
31,0.40584493,0.5941551,1,0
32,0.60351807,0.39648193,0,0
33,0.35842234,0.64157766,1,0
34,0.45491916,0.54508084,1,0
35,0.47945285,0.52054715,1,0
36,0.4143812,0.5856188,1,0
37,0.39644408,0.6035559,1,0
38,0.40363985,0.59636015,1,1
39,0.5195611,0.4804389,0,1
40,0.47628337,0.5237166,1,0
41,0.3358674,0.6641326,1,1
42,0.2563333,0.7436667,1,1
43,0.42656237,0.57343763,1,0
44,0.5682893,0.43171075,0,1
45,0.52101314,0.47898686,0,0
46,0.5871153,0.41288468,0,1
47,0.4228148,0.5771852,1,1
48,0.6710633,0.32893667,0,0
49,0.6804539,0.31954613,0,0
50,0.32254994,0.67745006,1,0
51,0.33781236,0.66218764,1,0
52,0.49202663,0.5079734,1,0
53,0.51498127,0.4850187,0,1
54,0.585943,0.414057,0,1
55,0.46251285,0.53748715,1,0
56,0.51216656,0.48783344,0,0
57,0.53153384,0.46846616,0,1
58,0.54921603,0.45078397,0,1
59,0.5314057,0.46859428,0,0
60,0.33141953,0.6685805,1,1
61,0.75874484,0.2412552,0,0
62,0.4831735,0.5168265,1,1
63,0.38334006,0.61665994,1,0
64,0.67319417,0.3268058,0,0
65,0.60818785,0.39181215,0,0
66,0.47970945,0.52029055,1,0
67,0.50040114,0.49959883,0,1
68,0.5933447,0.4066553,0,1
69,0.5953474,0.40465257,0,0
70,0.49703568,0.5029643,1,0
71,0.5403875,0.4596125,0,0
72,0.3481269,0.6518731,1,1
73,0.39648557,0.60351443,1,1
74,0.50649035,0.49350965,0,0
75,0.40294003,0.59705997,1,1
