,y score 0,y score 1,y pred,y test
0,0.42176563,0.5782344,1,1
1,0.5488321,0.45116788,0,1
2,0.3108415,0.6891585,1,0
3,0.503175,0.496825,0,0
4,0.60918295,0.39081708,0,0
5,0.59724057,0.40275946,0,0
6,0.7526399,0.2473601,0,0
7,0.46444154,0.53555846,1,1
8,0.66517115,0.33482885,0,1
9,0.453704,0.546296,1,0
10,0.36010802,0.639892,1,1
11,0.35618132,0.6438187,1,1
12,0.53026396,0.46973604,0,0
13,0.63220465,0.36779538,0,1
14,0.46930617,0.5306938,1,1
15,0.3701774,0.6298226,1,1
16,0.36926156,0.63073844,1,1
17,0.5211767,0.4788233,0,1
18,0.6020915,0.3979085,0,0
19,0.44897735,0.55102265,1,0
20,0.48277348,0.5172265,1,0
21,0.40088755,0.59911245,1,0
22,0.4409306,0.5590694,1,1
23,0.31882936,0.68117064,1,0
24,0.4995225,0.5004775,1,1
25,0.57733434,0.42266566,0,1
26,0.45102,0.54898,1,0
27,0.50660086,0.4933991,0,0
28,0.57081735,0.42918268,0,1
29,0.7594754,0.24052458,0,0
30,0.6848874,0.3151126,0,0
31,0.3672346,0.6327654,1,1
32,0.5170878,0.4829122,0,0
33,0.52422404,0.475776,0,1
34,0.34447038,0.6555296,1,1
35,0.6165526,0.38344744,0,1
36,0.4191419,0.5808581,1,0
37,0.36294234,0.63705766,1,1
38,0.4364152,0.5635848,1,0
39,0.52301633,0.47698367,0,0
40,0.52120703,0.47879297,0,0
41,0.3765278,0.6234722,1,0
42,0.6020852,0.39791483,0,1
43,0.45881116,0.54118884,1,0
44,0.5864965,0.41350356,0,0
45,0.46648932,0.5335107,1,0
46,0.37498385,0.62501615,1,1
47,0.5982708,0.40172926,0,1
48,0.31807655,0.68192345,1,1
49,0.6455828,0.35441718,0,0
50,0.39472073,0.60527927,1,1
51,0.55075425,0.44924575,0,0
52,0.4388981,0.5611019,1,1
53,0.6837324,0.31626764,0,0
54,0.6079024,0.39209762,0,0
55,0.41379762,0.5862024,1,1
56,0.42678636,0.57321364,1,1
57,0.56730247,0.4326975,0,0
58,0.56551045,0.43448955,0,1
59,0.5227901,0.47720993,0,1
60,0.6634882,0.3365118,0,0
61,0.50794816,0.49205184,0,0
62,0.77752244,0.22247759,0,0
63,0.460742,0.539258,1,0
64,0.42475545,0.57524455,1,1
65,0.6131269,0.38687316,0,0
66,0.29457068,0.7054293,1,0
67,0.41599143,0.5840086,1,0
68,0.33331847,0.6666815,1,1
69,0.44776994,0.55223006,1,1
70,0.4476704,0.5523296,1,1
71,0.5582731,0.44172695,0,0
72,0.37024337,0.6297566,1,0
73,0.48338145,0.51661855,1,0
74,0.54684097,0.45315903,0,0
75,0.52090347,0.4790965,0,0
76,0.6716766,0.32832342,0,0
77,0.5173482,0.4826518,0,0
78,0.5567971,0.4432029,0,0
79,0.42153335,0.57846665,1,0
80,0.53023255,0.46976748,0,1
81,0.59316325,0.40683678,0,1
82,0.62881684,0.37118313,0,0
83,0.56916595,0.43083405,0,0
84,0.61051303,0.38948697,0,0
85,0.40363884,0.59636116,1,1
86,0.63557976,0.36442024,0,0
87,0.43455428,0.5654457,1,0
88,0.35154933,0.6484507,1,0
89,0.383421,0.616579,1,1
90,0.39513612,0.6048639,1,0
91,0.40159088,0.5984091,1,0
92,0.51865315,0.48134682,0,0
93,0.5546384,0.44536158,0,0
94,0.6156622,0.38433778,0,0
95,0.6678739,0.33212608,0,0
96,0.5795593,0.42044064,0,0
97,0.2972424,0.7027576,1,1
98,0.47183228,0.5281677,1,0
99,0.4450683,0.5549317,1,0
100,0.6897296,0.3102704,0,0
101,0.559783,0.44021705,0,1
102,0.6072469,0.39275312,0,0
103,0.52152395,0.47847608,0,0
104,0.5502681,0.4497319,0,1
105,0.3917824,0.6082176,1,1
106,0.73434687,0.2656531,0,0
107,0.4625305,0.5374695,1,0
108,0.4855777,0.5144223,1,1
109,0.36935592,0.6306441,1,0
110,0.60165715,0.39834285,0,1
111,0.57036984,0.42963013,0,0
112,0.62674165,0.37325832,0,0
113,0.6337533,0.3662467,0,1
114,0.35696852,0.6430315,1,0
115,0.58191246,0.41808754,0,0
116,0.5470593,0.45294067,0,0
117,0.55354583,0.44645414,0,1
118,0.6095584,0.3904416,0,1
119,0.48093385,0.51906615,1,1
120,0.48295063,0.5170494,1,0
121,0.54760814,0.45239186,0,0
122,0.50067014,0.49932986,0,0
123,0.4185487,0.5814513,1,0
124,0.6559456,0.3440544,0,0
125,0.5663826,0.4336174,0,0
126,0.618695,0.38130495,0,0
127,0.51067865,0.48932135,0,1
128,0.59359795,0.40640205,0,0
129,0.3572951,0.6427049,1,1
130,0.39304292,0.6069571,1,1
131,0.5072653,0.49273464,0,0
132,0.34948182,0.6505182,1,0
133,0.41316444,0.58683556,1,0
134,0.5981312,0.40186882,0,0
135,0.5311302,0.4688698,0,0
136,0.5814033,0.41859668,0,0
137,0.6845448,0.31545523,0,0
138,0.43730992,0.5626901,1,1
139,0.41130215,0.58869785,1,1
140,0.71690774,0.28309223,0,0
141,0.5704404,0.4295596,0,1
142,0.5336579,0.4663421,0,1
143,0.39613485,0.60386515,1,0
144,0.471102,0.528898,1,1
145,0.33565366,0.66434634,1,1
146,0.45728058,0.5427194,1,1
147,0.45482188,0.5451781,1,0
148,0.6523336,0.3476664,0,0
149,0.792992,0.20700803,0,0
150,0.51161265,0.48838732,0,1
151,0.35926694,0.64073306,1,1
152,0.5008448,0.49915522,0,1
153,0.26911384,0.73088616,1,1
154,0.4913749,0.5086251,1,1
155,0.40196985,0.59803015,1,1
156,0.59777665,0.40222332,0,0
157,0.49497926,0.50502074,1,0
158,0.5771091,0.42289087,0,0
159,0.40308672,0.5969133,1,1
160,0.35370612,0.6462939,1,1
161,0.6806054,0.31939462,0,0
162,0.6109431,0.38905692,0,1
163,0.7124932,0.2875068,0,0
164,0.6305125,0.36948752,0,0
165,0.638756,0.36124402,0,0
166,0.39505893,0.60494107,1,0
167,0.4125914,0.5874086,1,1
168,0.6039442,0.39605582,0,0
169,0.6876148,0.3123852,0,0
170,0.5208537,0.4791463,0,1
171,0.48628956,0.51371044,1,1
172,0.529137,0.47086295,0,1
173,0.40149045,0.59850955,1,1
174,0.5292777,0.4707223,0,0
175,0.41350007,0.5864999,1,1
176,0.4404018,0.5595982,1,0
177,0.42249805,0.57750195,1,0
178,0.7061602,0.29383978,0,0
179,0.66767246,0.33232754,0,0
180,0.6757401,0.32425988,0,0
181,0.4543289,0.5456711,1,1
182,0.5671343,0.43286568,0,1
183,0.45583767,0.54416233,1,1
184,0.5032438,0.49675617,0,0
185,0.6959052,0.30409476,0,0
186,0.43525803,0.56474197,1,0
187,0.6197697,0.38023034,0,0
188,0.52278644,0.47721356,0,0
189,0.5389378,0.4610622,0,0
190,0.7491474,0.25085256,0,0
191,0.46466494,0.53533506,1,0
192,0.7112923,0.28870767,0,0
193,0.56850064,0.43149936,0,0
194,0.6028174,0.3971826,0,0
195,0.47349548,0.5265045,1,0
196,0.529014,0.47098598,0,1
197,0.43180043,0.5681996,1,1
198,0.5434827,0.45651728,0,0
199,0.42365605,0.57634395,1,1
200,0.37078476,0.62921524,1,1
201,0.47233784,0.52766216,1,0
202,0.6139067,0.38609332,0,1
203,0.46118253,0.53881747,1,0
204,0.5986787,0.40132126,0,0
205,0.53150964,0.46849033,0,0
206,0.38754517,0.61245483,1,1
207,0.5028051,0.49719486,0,1
208,0.6370795,0.3629205,0,1
209,0.62271166,0.37728837,0,1
210,0.5815678,0.41843218,0,0
211,0.6638255,0.33617452,0,0
212,0.4261452,0.5738548,1,0
213,0.6238038,0.3761962,0,1
214,0.6222211,0.37777886,0,1
215,0.68911195,0.31088808,0,0
216,0.42651367,0.5734863,1,1
217,0.30171663,0.6982834,1,0
218,0.54624677,0.4537532,0,0
219,0.4591105,0.5408895,1,0
220,0.5966253,0.4033747,0,0
221,0.47246557,0.5275344,1,1
222,0.6026552,0.3973448,0,1
223,0.53453004,0.46546993,0,0
224,0.5872828,0.41271722,0,1
225,0.2961853,0.7038147,1,1
226,0.54652977,0.45347023,0,1
227,0.43214566,0.56785434,1,1
228,0.47667742,0.5233226,1,1
229,0.6050777,0.39492232,0,0
230,0.5493754,0.45062461,0,0
231,0.36470538,0.6352946,1,1
232,0.33653998,0.66346,1,1
233,0.3455277,0.6544723,1,0
234,0.56375384,0.43624613,0,0
235,0.61683905,0.38316092,0,0
236,0.50333035,0.49666968,0,1
237,0.78534704,0.21465297,0,0
238,0.7094823,0.2905177,0,0
239,0.514564,0.48543602,0,0
240,0.39690942,0.6030906,1,1
241,0.44818217,0.55181783,1,1
242,0.35119528,0.6488047,1,0
243,0.4981255,0.5018745,1,1
244,0.67634016,0.32365984,0,0
245,0.61593616,0.3840638,0,0
246,0.6429424,0.35705757,0,0
247,0.43665296,0.56334704,1,0
248,0.5571784,0.44282162,0,1
249,0.435699,0.564301,1,0
250,0.44709206,0.55290794,1,1
251,0.40245038,0.5975496,1,1
252,0.31500566,0.68499434,1,1
253,0.46571034,0.53428966,1,0
254,0.7358735,0.26412648,0,0
255,0.52946484,0.4705352,0,0
256,0.3240379,0.6759621,1,1
257,0.35119545,0.64880455,1,0
258,0.5650698,0.43493018,0,0
259,0.5061914,0.49380866,0,1
260,0.53392655,0.46607345,0,0
261,0.577343,0.42265704,0,0
262,0.57489264,0.42510736,0,0
263,0.50712836,0.4928716,0,0
264,0.5417998,0.45820025,0,1
265,0.73720264,0.2627974,0,0
266,0.4593218,0.5406782,1,0
267,0.50656205,0.49343795,0,0
268,0.31460226,0.68539774,1,1
269,0.45486426,0.54513574,1,1
270,0.6070172,0.39298278,0,0
271,0.42059034,0.57940966,1,1
272,0.33574933,0.6642507,1,1
273,0.44314808,0.5568519,1,0
274,0.5072669,0.49273312,0,1
275,0.4608534,0.5391466,1,0
276,0.7658804,0.2341196,0,0
277,0.6650348,0.3349652,0,0
278,0.60519415,0.39480585,0,0
279,0.575071,0.42492905,0,0
280,0.48894525,0.51105475,1,0
281,0.32824785,0.67175215,1,1
282,0.61342275,0.38657728,0,0
283,0.5901283,0.4098717,0,0
284,0.7137507,0.28624928,0,1
285,0.41532308,0.5846769,1,1
286,0.60115623,0.39884377,0,0
287,0.51117694,0.48882303,0,0
288,0.39897197,0.601028,1,1
289,0.325988,0.674012,1,0
290,0.30068058,0.6993194,1,1
291,0.6713891,0.32861093,0,0
292,0.6690402,0.3309598,0,0
293,0.42823774,0.57176226,1,0
294,0.47680622,0.5231938,1,1
295,0.34327197,0.656728,1,0
296,0.5198082,0.48019186,0,0
297,0.58333385,0.41666615,0,0
298,0.67564833,0.32435164,0,0
299,0.39061624,0.60938376,1,1
300,0.51633465,0.48366532,0,1
301,0.63725454,0.36274546,0,0
302,0.54270875,0.45729128,0,0
303,0.5877633,0.4122367,0,0
304,0.65820515,0.34179485,0,0
305,0.48808515,0.51191485,1,0
306,0.44051838,0.5594816,1,1
307,0.29261363,0.7073864,1,1
308,0.4960513,0.5039487,1,1
309,0.51766866,0.48233134,0,0
310,0.5626933,0.4373067,0,0
311,0.5429328,0.4570672,0,1
