Time Point,X,y
0,"[-1.34413393  0.81402619 -1.34413393  0.78956038  0.73963451 -0.06172568
  0.99093907  1.17683931  0.67897131 -0.00876549  0.99986054 -1.34413393
  1.40854942  0.21709257 -1.34413393  1.42072562 -0.80531822  0.00273081
 -0.46063854 -1.34413393 -0.80531822  0.96764001 -1.34413393]",[0.07805882]
0,"[-1.38547712  0.39366792 -1.38547712  0.92888396  0.76465193 -0.60384516
  0.89685025  1.21748335  0.42128116  0.03402315  1.0481388  -1.38547712
  1.47295416  0.48346779 -1.38547712  1.48088988 -0.83967672 -0.21514994
 -0.35873132 -1.38547712 -0.54020705  1.18238014 -0.83967672]",[-0.00613456]
0,"[-1.27763082  0.88710769 -1.27763082  0.82901538  0.42727002 -0.2074752
  0.91900601  1.22904298  0.80308809  0.08255197  1.05673656 -1.27763082
  1.48581075  0.33503504 -1.27763082  1.30858106 -0.75126831  0.03256146
 -0.46246381 -1.27763082 -1.27763082  0.96881605 -1.27763082]",[-0.04808615]
0,"[-1.27867488  0.87498122 -1.27867488  0.78115331  0.46990614 -0.04440055
  0.93795093  1.24081892  0.73596408  0.19057253  1.00108334 -1.27867488
  1.47739293  0.35782073 -1.27867488  1.28783834 -0.73486131  0.17244884
 -0.73486131 -1.27867488 -1.27867488  0.93691601 -1.27867488]",[-0.02854912]
0,"[-1.45040443  0.36289996 -1.45040443  0.67812164  0.3184868   0.15804324
  0.67162469  1.21124225  0.86642859  0.21480025  1.02097512 -0.82796856
  1.35115657  0.05568577 -1.45040443  1.33057534 -1.45040443  0.33770309
  0.2648734  -1.45040443 -1.45040443  1.1175756  -0.42979718]",[0.07342489]
1,"[-1.38985913  0.7122826  -1.38985913  0.69800686  0.46503374  0.43865723
  0.96889714  1.24881784  1.027696    0.06929333  0.95855108 -1.38985913
  1.26974231  0.15052231 -1.38985913  1.27204512 -0.86249091 -0.18358977
  0.10643327 -1.38985913 -0.86249091  0.86174753 -1.38985913]",[0.15880398]
1,"[-1.42860943  0.30599283 -0.62660507  0.8615559   0.72457225 -0.40229012
  0.98924943  1.33679703  0.7287015   0.02788859  1.13731537 -1.42860943
  1.41817489  0.34901339 -1.42860943  1.46228268 -0.86858333 -0.35075254
 -0.71756419 -0.86858333 -0.86858333  1.07585577 -1.42860943]",[0.19105896]
1,"[-1.29399361  0.87053698 -1.29399361  0.73152586  0.3854531   0.32796844
  0.94468275  1.30036335  1.03279883  0.03446582  1.05372178 -1.29399361
  1.30759603  0.35566832 -1.29399361  1.18622785 -0.75555585  0.00884878
 -0.61035832 -1.29399361 -1.29399361  0.88401152 -1.29399361]",[0.34714203]
1,"[-1.36055152  0.78829206 -1.36055152  0.63042735  0.39886895  0.37013261
  0.91099141  1.25872854  1.00130472  0.1620234   0.94156991 -1.36055152
  1.30582641  0.25848446 -1.36055152  1.1674746  -0.66458857  0.11686542
 -0.02080443 -1.36055152 -1.36055152  0.89826378 -1.36055152]",[0.31123585]
1,"[-1.27305199 -0.12806238 -1.27305199  1.05557975  0.11642816 -0.46654522
  1.05983624  1.21673566  0.44779734  0.28822515  1.09335219 -1.27305199
  1.28323009  0.77210529 -1.27305199  1.6547182  -0.40088187 -0.21363082
 -0.70988193 -1.27305199 -0.70988193  1.27918803 -1.27305199]",[-0.16829925]
