,train accuracy,test accuracy,y score,class report,confusion_matrix,svm_coef,y test,y pred
0,0.787292817679558,0.7967032967032966,"[-1.32458870e+00 -2.44457265e+00  1.19541190e+00 -8.97165149e-01
 -9.20307114e-01 -1.27527375e+00 -7.10320598e-01  1.26841980e+00
 -1.59016702e+00 -1.01197544e+00 -6.28986843e-01 -7.57960285e-01
  2.89513967e-01 -3.69793452e-01  1.98189563e+00 -6.86972356e-01
 -1.11680867e+00 -3.37628049e+00 -5.41437211e-01 -1.05250665e+00
 -1.91066303e-01 -1.24093538e+00 -1.22906413e+00 -9.27029909e-01
 -2.27579824e+00  4.91968981e-01 -1.34102434e+00 -1.58363633e+00
 -1.31737559e-01 -1.73018270e+00 -9.39375498e-02 -2.09724104e-01
 -1.09161541e+01 -2.31716451e-01 -6.20113357e-01 -9.97840166e-01
 -1.49453096e-01 -1.34801561e+00 -5.12645783e-01 -5.45407348e-02
 -1.98858904e+00 -1.98465511e+00 -3.78717814e+00 -1.50481480e+00
  2.83478488e-01 -1.80221048e+00 -1.01587449e+00 -1.33100790e+00
 -5.06034734e-01 -7.88180188e+00 -1.33031105e-01 -1.79761761e+00
 -2.45622036e+00 -1.02864545e+00  5.69836187e-01  2.29783700e-01
 -2.55021428e+00 -8.12355148e-01 -3.62708807e-01 -2.69303432e-01
 -1.94162163e+00 -1.08779182e+00 -9.37676163e-01  1.09881029e-03
 -2.94724486e+00 -2.27493931e-01 -1.73186600e+00 -3.56083225e-01
 -1.12246300e+00 -1.74518348e-01  8.03908350e-01 -2.37842392e+00
 -7.94547144e-01 -1.06889120e+00 -1.26529098e+00  9.82408429e-01
  9.55319014e-01 -1.32628458e+00 -1.11551654e+00 -8.69221224e-01
 -7.58635488e-01 -1.34549050e+00 -1.58957573e+00 -9.13580485e-01
  1.30410007e+00 -2.45480057e+00 -1.07392498e+00 -1.13834475e+00
 -4.48290627e-01 -1.35033265e-01 -7.15016087e-01  2.47402061e+00
 -2.08078815e+00 -5.35812541e-01  1.30635629e+00 -1.96823936e+00
 -1.65522479e+00 -7.77621967e-01  8.28943007e-02 -1.88150515e+00
 -4.40532864e-01 -5.97831199e-01  6.06197301e-01  3.90892125e-02
 -1.71376149e+00 -2.06882965e+00 -1.03815417e-01 -7.70863139e-01
 -3.51774070e+00 -1.77374567e-01 -1.93776208e+00 -7.16620143e-01
 -1.25032879e+00 -2.08903248e-01  2.68857719e-01  8.49763121e-01
 -3.88293676e-01  5.79502597e-01 -3.44282600e-01  1.67397994e-01
 -1.07946627e+00 -9.20140172e-01 -1.22786547e+00 -3.30969508e+00
 -1.56857407e+00  2.54099019e+00  6.37110887e-01  4.77001632e-01
  3.49537031e-01 -1.37898498e+00  3.41123519e-01 -1.10605948e+00
 -5.47084498e-01 -2.55624077e+00 -4.54336402e-01 -2.20461665e+00
 -7.81063335e-01 -1.11365702e+00 -1.74653522e+00  1.09981788e+00
 -1.86371082e+00 -5.25612179e-01  1.91435756e-01  7.41874581e-01
 -1.78554620e-01 -1.93084341e+00 -1.00661231e+00 -4.41882744e-01
 -7.69102673e-01  1.33705822e+00  7.08794688e-01  2.70970730e+00
 -9.93478615e-01 -1.49497897e+00 -2.70306846e+00  1.43100284e+00
 -2.35831629e+00  1.22030657e+00 -1.51176313e+00 -8.27444610e-01
  7.91168733e-01  1.34943690e+00 -4.90169618e-01 -9.29418951e-01
 -1.78642074e+00  9.38662746e-01 -9.14843420e-01  1.97582849e-01
 -5.44802801e-01 -5.47807988e-01 -1.91869835e+00 -1.01215760e+00
 -9.10998567e-01 -7.27130456e-01 -1.56522814e+00 -1.49261497e+00
  1.48467883e+00 -2.32991775e-01 -2.41322375e+00 -4.93955811e-01
 -2.81084912e+00 -2.33624394e+00]","['              precision    recall  f1-score   support', '', '           0       0.96      0.81      0.88       169', '           1       0.20      0.62      0.30        13', '', '   micro avg       0.80      0.80      0.80       182', '   macro avg       0.58      0.71      0.59       182', 'weighted avg       0.91      0.80      0.84       182', '']","[[132  39]
 [ 10   1]]","[0.18902527315720064, -0.15192839846533635, 0.28409132873832976, 0.2458947328042962, 0.158582985497248, 0.06644314693428666, -0.088300717929166, -0.20577123871091269, 0.06408576907115421, -0.07311885258365344, 0.10697420689392248, -0.23510511027777226, 0.1620650919125476, 0.009134397401884157, 0.045680242549863914, 0.0926677449715245, -0.061467879752216265, 0.09297368817360531, 0.31673584115078113, -0.060135661145969244]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0
 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0
 0 1 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]"
1,0.8038674033149171,0.7582417582417582,"[-1.69199351e+00 -3.07288208e-02 -1.94190352e+00 -5.02780222e-01
 -1.67271836e+00 -1.69254267e+00 -3.55639986e-01 -1.92788736e+00
  3.74577843e+00 -4.96739138e-01 -2.51961410e+00 -1.09575253e+00
  4.23566655e-01  3.18424984e+00  8.27056686e-01 -1.94902963e-01
 -1.39225826e+00  1.13977026e+00 -1.09351496e+00 -4.14906584e-01
 -9.68956822e-01  6.34867338e-02  6.58082156e-01 -1.27929943e+00
  2.72703477e+00  2.60288065e+00 -4.01931144e-01 -2.54268482e+00
 -7.52233071e-01 -7.96537964e-01  3.91299356e-01 -1.02615816e+00
 -2.13328367e+00  6.81007710e-01 -1.58124256e+00 -6.46643201e-01
 -3.19023579e-01 -9.03049795e-01  4.63124844e-01 -9.37793830e-01
 -7.25069087e-01 -3.08169593e-01 -1.76228342e+00 -1.94080023e+00
 -1.06305728e+00 -2.56905715e+00 -2.01312779e+00 -2.06662987e+00
 -1.46666911e+00  9.71981691e-01 -1.81955459e+00  2.44742983e-01
 -1.22192654e-01  1.55664105e+00  1.06565801e+00 -2.10405391e-01
 -1.59732335e+00 -1.63959100e+00 -2.63570135e+00 -1.72248970e+00
  2.19062024e-01 -1.39590223e+00 -1.89669893e+00  2.90525129e-01
  1.88177317e+00 -2.54437732e+00 -8.69491344e-01  1.67408209e-01
 -2.81115474e-01 -4.13669130e-01  7.54329449e-01  2.86789183e-01
 -8.07135815e-01 -1.82222115e+00 -1.55293530e+00 -1.71144759e+00
 -1.83764164e+00 -1.80505209e+00 -1.94985533e+00 -1.06703261e+00
 -1.93427186e+00  1.80770181e+00 -9.18029081e-01 -1.76615874e+00
  1.06379836e-01 -2.39554708e+00 -4.01572142e-01  1.53322562e+00
 -3.79189635e-02 -9.47530169e-01 -1.05680661e+00 -5.30893366e-01
 -9.48142558e-01 -1.29973678e+00 -1.58524112e+00 -1.01779796e+00
 -1.20165957e+00 -2.60800423e-01  7.66980965e-01 -3.17225252e+00
  3.80008521e-01 -1.36731617e+00 -8.00852837e-01 -3.82669585e-01
  4.35192020e-01 -2.12403833e+00  5.27512208e-01  1.09330879e+00
 -1.56002416e+00 -4.97442012e-01 -2.17851304e+00  1.66013964e-01
 -2.67262184e+00 -2.17214406e+00  3.45048398e-01  2.45691479e-01
  4.93151769e-01 -4.00716977e-01  7.27921189e-01 -1.79850199e+00
 -1.79077073e+00 -1.36352581e+00 -5.37339129e-01  1.81050234e-02
 -4.28108767e-01 -2.84457962e+00 -2.39894536e+00 -1.81054968e+00
 -1.44177792e+00 -1.38969984e+00 -3.15710706e-01 -6.42672064e-01
 -1.13132041e+00 -2.55138555e+00  1.33400073e-01 -1.47818983e+00
 -1.33919739e+00  3.07731066e-01 -2.62312137e+00 -2.74596680e+00
 -1.03585024e+00 -2.74949978e-01 -1.54164376e+00 -2.78714539e-02
 -1.20585088e+00  7.06523099e-01 -8.46818938e-01 -2.84886085e-01
 -2.06511597e+00  2.18987947e-01 -2.70047658e+00 -2.28540218e+00
  1.02758864e+00  1.56032789e+00 -5.44455246e-02 -2.37497980e+00
 -8.43082031e-01  1.41518974e+00  5.55090505e-01 -8.72559022e-01
 -2.10800811e+00 -2.97935824e-01 -5.73950141e-01 -1.29753379e+00
 -1.09969684e+00  1.67459935e+00 -6.39878190e-01 -1.23937441e+00
  2.40004928e-03 -8.24882598e-01 -1.91649186e+00 -1.77350578e+00
 -7.22924470e+00 -2.45188723e+00 -2.10904782e-01 -2.51332231e+00
 -1.88518867e+00 -1.08620649e+00 -2.03594516e+00  1.83091625e-01
 -4.27715457e-01  8.43911113e-01]","['              precision    recall  f1-score   support', '', '           0       0.97      0.76      0.86       170', '           1       0.17      0.67      0.27        12', '', '   micro avg       0.76      0.76      0.76       182', '   macro avg       0.57      0.72      0.56       182', 'weighted avg       0.92      0.76      0.82       182', '']","[[124  47]
 [ 10   1]]","[0.16742685181282813, -0.09335241937965777, 0.2922336521530178, 0.2542744272748977, 0.05836127500218927, 0.07797199759462128, -0.03481349105242476, -0.2555161967375904, 0.05559615906396354, -0.1969556781393127, 0.047387535115425504, -0.11658581693986325, 0.1482274906431746, 0.03295775933123282, 0.054638541483083086, 0.0532983062180894, -0.06231802275918846, 0.0014907811676297955, 0.3305725915795784, -0.0002683750015853581]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0
 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1]"
2,0.8011049723756906,0.7472527472527473,"[-5.91270754e-01 -7.87036941e-01 -2.38545124e-01 -9.12173745e-01
 -1.01585179e+00  1.69462727e-01  1.66976407e+00 -1.17343744e+00
  3.39635255e-01 -3.53189634e-01  2.73849032e-01 -3.17703982e-01
 -7.51944145e-01 -6.07886437e-01 -1.06328794e+00 -8.34450177e-01
 -1.26487176e+00  3.86351144e-01 -4.54731302e-03 -5.89775681e-01
 -2.60541575e-01  1.71076038e-01 -2.64438500e+00 -5.75962560e-01
 -2.03630554e+00 -3.50661665e-01  6.09382494e-01 -4.11034423e-01
 -1.96312270e+00 -9.55751399e-01  3.56565333e-01  2.59759918e-01
  1.81826529e+00  2.77715208e-01 -2.94296349e+00 -9.16578062e-02
 -1.05119055e+00 -7.59449982e-01 -1.12582646e+00 -3.07407595e-01
 -1.10005814e+00 -1.41892704e+00 -6.85918134e-01 -2.02964323e+00
 -3.16836634e+00 -1.18543020e+00 -1.10272107e+00 -2.47713510e+00
 -1.93643089e+00 -1.46237542e+00 -7.56484762e-01 -1.14476611e+00
 -2.05273289e+00 -1.11257322e+00 -1.40657375e-01  3.38577990e-01
 -5.10685661e-01 -1.98190078e+00 -6.19701894e-01  6.30503176e-01
 -1.03365732e+00 -2.13381219e+00  2.42787770e-01  1.39390713e-01
  5.29505027e-01 -9.53308758e-01  6.88898763e-02  1.04106272e+00
  5.29716080e-01 -1.70906994e+00  7.26089201e-01 -1.32219498e-01
 -1.15996258e+00  1.27098725e+00  1.74907023e-03 -1.79515067e+00
  6.52681640e-01 -1.55957494e-01 -2.50494074e+00 -4.44452607e-01
 -2.64818293e-01  2.87390291e-01 -1.00108511e-01  2.80413610e-02
  2.20295596e+00 -2.35500857e+00 -1.41403432e+00  5.11246986e-01
 -7.77747455e-01 -8.83081193e-01 -1.75778703e+00 -2.78655511e+00
 -1.37668158e+00 -9.20590325e-01  1.91594592e+00 -1.21691401e+00
 -8.32444608e-01 -2.50310743e+00 -3.45953175e-01  1.26065716e+00
  4.61417496e-01 -1.65144843e+00 -1.90585268e+00 -6.32896802e-01
 -6.28554755e-01 -1.46852174e+00  4.18462102e-01 -1.62895101e+00
 -8.72295223e-01  3.91666822e-01 -7.81752023e-01 -2.07637186e+00
 -2.10033440e+00  7.21806178e-01 -1.05714842e+00 -1.66800080e-01
  2.74618547e+00 -1.43350672e+00 -1.53594241e+00 -1.58561434e+00
 -8.41941822e-03  1.16317767e+00 -9.68368431e-01 -9.95945001e-01
 -1.02937174e+00 -2.32654118e+00 -1.99302085e+00  5.55893445e-01
 -8.40797587e-01 -1.57008108e-01  2.47410247e-01 -6.18538552e-01
 -2.38119755e-01 -4.58272226e-01 -7.50284345e-01  5.40412668e-01
 -6.49065711e-02  4.69402702e-01 -1.59164326e-01 -2.52451085e+00
  2.91813829e-01 -2.50741140e+00 -9.81479598e-01  3.95172425e+00
  1.94603587e+00 -1.65836089e+00 -5.35128628e-01 -2.58037915e+00
 -8.97945981e-01 -1.16144192e+00  1.46549666e-01  5.07760675e-01
 -2.92527121e+00  1.10265092e+00 -1.92757310e+00 -4.50766179e-01
 -8.56648109e-01  4.92809406e-01  1.61036525e-01 -6.63847781e-01
 -1.89564127e+00 -4.62671080e-01 -8.39378782e-01 -6.12548694e-01
 -9.75251486e-01 -1.62670095e+00 -5.12571598e-01  3.95366591e-01
 -1.31703710e-01  9.67000440e-01  1.70702247e-02 -6.18018615e-01
 -7.03758093e-02  7.92264949e-01  1.24969332e+00  1.73376663e+00
 -7.48229557e-01 -3.86842773e-01 -3.20735662e-01  2.71156751e+00
 -1.71726405e+00 -1.09203881e+00]","['              precision    recall  f1-score   support', '', '           0       0.98      0.74      0.84       168', '           1       0.20      0.79      0.32        14', '', '   micro avg       0.75      0.75      0.75       182', '   macro avg       0.59      0.76      0.58       182', 'weighted avg       0.92      0.75      0.80       182', '']","[[120  51]
 [  8   3]]","[0.19387953743285502, -0.1077563340412494, 0.24484528458406696, 0.2612773612269167, 0.0471976055957711, 0.11743535329077934, -0.06259346182731418, -0.2189611974248047, 0.059010855874810336, -0.249924562995898, -0.015788690267508926, -0.1723345436001621, 0.21313928816807026, 0.013260136938660912, 0.08388864600228202, -0.0035911460305335626, -0.10033460010957784, 0.021776660509785814, 0.23161058408874943, -0.03887627128158254]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 1 0 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0
 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0
 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0]"
3,0.787292817679558,0.7967032967032966,"[ 1.16094763  0.48737392  0.06657361 -4.85461879  0.95697137 -0.53143768
 -0.39944988 -1.12182957 -1.2076945  -0.70933216  0.31649794  0.81387538
 -0.97306312  0.48078731 -0.27201454 -1.11993171 -1.31213271 -1.15043432
 -0.85878335 -0.99911558  0.23581297 -0.85891567 -0.54383364 -1.14767657
  2.07613611 -1.87095462 -0.76237859 -0.51272559 -0.67693359 -1.10281625
 -1.01123066 -1.41712486  0.84027139  0.59344006 -2.09971061 -1.3957819
 -0.47348099 -0.42188447 -0.31404784 -1.28528344  2.52660295 -2.09310271
 -1.5109012  -1.76307952 -0.87325746  3.53637404 -3.02393079  1.78634054
 -0.09644236 -1.2906214  -1.42229901 -0.30512563 -1.44783178  0.46258836
  0.12803739 -0.46424303 -1.65883573 -3.12369806 -1.36811957 -0.8328975
 -1.29941009 -0.60976984 -0.64652611 -1.25642179  0.28916881  1.56263298
 -1.28488394 -0.1938829  -0.59202894 -0.18554166 -1.8586832  -1.88903259
 -2.16464325  3.12440562 -0.89483038 -1.52114079 -0.95559739  0.44631939
  0.28738919 -1.62488856 -0.6022583   0.38333161 -0.96062112 -0.94583874
 -1.61171869 -0.62875847  0.36433791 -1.65674084 -0.03812245 -0.02393346
 -0.91284814 -0.61225828 -1.38504716 -3.4145853   0.54058268 -1.67145641
 -2.36487309 -1.86942481  0.72623044 -0.14883079 -0.4357414  -0.6591382
  0.27054702 -0.37424347 -1.84314885 -0.55625568 -2.73028548 -2.27468367
 -1.82377112 -0.44047924 -0.23017263 -0.31743711 -0.3196766   1.55668898
 -2.45581227 -1.46129434  0.40964334 -1.20562165 -1.65215033 -0.95361928
 -1.08019606 -0.45898047 -1.52046956 -0.51633285 -1.26967576 -0.71763811
 -1.7018265   0.51027318  0.71879371  0.84185426 -0.40697978 -1.8109506
 -1.62035379 -2.16535707  0.87424047  1.66350112 -0.79916055 -2.08903949
 -2.14378432 -2.53088972 -0.63432304  1.52921441 -0.48057865 -0.73095634
  1.64627476 -0.16712292  1.77050844  0.06564231 -0.13261259 -1.80374335
 -0.89922118 -0.1876423  -1.15254395 -1.2771046  -1.52046983 -3.53418897
 -2.99399821 -0.33116016 -1.1732083  -2.46504113  0.90929691 -1.24998721
 -0.95984404  1.24448898 -0.68877666 -2.20992954 -0.85440131 -1.86057826
 -0.9611195  -0.16152823 -1.57170781  0.45566256 -2.72714225 -1.01470171
 -1.49162212 -0.06872428 -0.95678919 -1.88388015 -1.97462638 -1.47978302
 -2.21526327 -1.24646279]","['              precision    recall  f1-score   support', '', '           0       0.96      0.81      0.88       169', '           1       0.20      0.62      0.30        13', '', '   micro avg       0.80      0.80      0.80       182', '   macro avg       0.58      0.71      0.59       182', 'weighted avg       0.91      0.80      0.84       182', '']","[[133  38]
 [  9   2]]","[0.19409586304122017, -0.10632950422948295, 0.28706845172996087, 0.26667515152499244, 0.09517709645652389, 0.14060397795488755, -0.06607647593122384, -0.2689036656537961, 0.09383448557765664, -0.09964815140349753, 0.049129560390200035, -0.10403304078398991, 0.19759508193354308, -0.07489602618573188, 0.10512072409872375, 0.11020494645831824, -0.23213091841363903, 0.1338452148701022, 0.21494150213323038, -0.038214784517609596]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0
 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]"
