best_train_acc,best_train_auc,best_train_loss,best_dev_acc,best_dev_auc,best_dev_loss,size_alphabet,num_states,num_accept_states,epochs,lstm_out_dim
0.999,0.999998879869348,0.015178113244473934,0.6642,0.7293185077107394,1.4117716550827026,9,15,2,200,60
0.9974,0.9999523065389975,0.02332301437854767,0.736,0.8091682996608962,1.0428686141967773,9,15,2,200,60
1.0,1.0,0.01050621084868908,0.6936,0.7694789480496853,1.3424882888793945,9,15,2,200,60
0.9996,1.0,0.014860332943499088,0.6496,0.7152648547920512,1.4357990026474,9,16,2,200,60
0.9984,0.999996799774192,0.01598513126373291,0.7124,0.7860002601783582,1.1728709936141968,9,16,2,200,60
0.986,0.9995219808779549,0.05790027976036072,0.6594,0.7412630683098448,1.125396728515625,9,16,2,200,60
0.9994,0.999996959890556,0.01451016403734684,0.7368,0.8087063134272834,1.1139799356460571,9,17,2,200,60
0.9932,0.9997427113833321,0.027999427169561386,0.7502,0.8155633676085959,1.0377626419067383,9,17,2,200,60
0.9994,1.0,0.016318831592798233,0.6922,0.7731316733096095,1.3208123445510864,9,17,2,200,60
1.0,1.0,0.01549566350877285,0.6512,0.723124581058163,1.4391242265701294,9,18,2,200,60
1.0,1.0,0.012289445847272873,0.7406,0.8263345996872942,1.019149661064148,9,18,2,200,60
0.9996,1.0,0.012585609219968319,0.6586,0.7226494622871374,1.5098047256469727,9,18,2,200,60
0.9998,0.9999998399926012,0.007999430410563946,0.714,0.784040894050941,1.2557060718536377,9,19,2,200,60
0.9996,1.0,0.012099572457373142,0.7046,0.7730389812899794,1.342102289199829,9,19,2,200,60
0.9996,1.0,0.013654959388077259,0.611,0.6682592102298333,1.6604357957839966,9,19,2,200,60
0.9998,1.0,0.016161849722266197,0.6246,0.6844876095123706,1.5855309963226318,9,20,2,200,60
0.9998,1.0,0.010316538624465466,0.657,0.7220664840049383,1.496414303779602,9,20,2,200,60
0.999,0.9999995199751155,0.015505489893257618,0.6234,0.6944744015529765,1.5785212516784668,9,20,2,200,60
0.9992,1.0,0.0062807356007397175,0.682,0.7473770622969708,1.378176212310791,10,15,2,200,60
0.9992,0.9999993598361181,0.016983166337013245,0.6466,0.7118117438064144,1.5055744647979736,10,15,2,200,60
0.9998,1.0,0.01246506255120039,0.645,0.7026249836190538,1.5565874576568604,10,15,2,200,60
0.9998,1.0,0.012019273824989796,0.6652,0.7218363791972129,1.465728521347046,10,16,2,200,60
0.9996,1.0,0.004330519586801529,0.6394,0.7057022813637716,1.7156052589416504,10,16,2,200,60
0.9994,1.0,0.013783007860183716,0.6826,0.75812622531588,1.3532947301864624,10,16,2,200,60
0.9998,0.99999983999744,0.01238583866506815,0.6748,0.7506185698971184,1.3864409923553467,10,17,2,200,60
0.9996,0.9999998399548289,0.004993990063667297,0.634,0.6921561541529481,1.8036859035491943,10,17,2,200,60
0.9968,1.0,0.020027969032526016,0.6594,0.7165026043216953,1.5680561065673828,10,17,2,200,60
0.9998,1.0,0.008506170473992825,0.6164,0.6641203563308871,1.744468331336975,10,18,2,200,60
0.9994,0.9999769580497293,0.011807670816779137,0.6424,0.7028531694922658,1.5160824060440063,10,18,2,200,60
0.9998,1.0,0.009288595989346504,0.7114,0.7798312000000001,1.3420969247817993,10,18,2,200,60
1.0,1.0,0.013106019236147404,0.6348,0.7082844420374883,1.5193431377410889,10,19,2,200,60
0.9996,1.0,0.011023295111954212,0.6064,0.6606286313052291,1.811282992362976,10,19,2,200,60
0.9998,1.0,0.012012562714517117,0.6312,0.69053568,1.58375883102417,10,19,2,200,60
0.9998,1.0,0.015108888037502766,0.6316,0.6978302773227952,1.4342793226242065,10,20,2,200,60
0.9978,0.999922559553943,0.02429100126028061,0.6694,0.7360985599277051,1.2549960613250732,10,20,2,200,60
0.9992,1.0,0.011766579933464527,0.6572,0.7148171170738732,1.5987564325332642,10,20,2,200,60
