best_train_acc,best_train_auc,best_train_loss,best_dev_acc,best_dev_auc,best_dev_loss,size_alphabet,num_states,num_accept_states,epochs,lstm_out_dim
0.9996,0.9999993599995903,0.008230092003941536,0.7452,0.8183509237445913,1.1279163360595703,8,16,2,200,60
0.9992,1.0,0.01132515724748373,0.6972,0.7562706437778267,1.41294527053833,8,16,2,200,60
0.9996,1.0,0.011691962368786335,0.7446,0.8224180181154764,1.1243345737457275,8,17,2,200,60
0.9998,1.0,0.00947731826454401,0.693,0.7659011663628731,1.5666152238845825,8,17,2,200,60
0.9996,1.0,0.013619908131659031,0.6824,0.7487490999855999,1.3958525657653809,8,17,2,200,60
0.9992,1.0,0.013139680027961731,0.7254,0.8067482944738826,1.2138642072677612,8,18,2,200,60
0.9998,1.0,0.00894243735820055,0.6824,0.7381756107682731,1.501838207244873,8,18,2,200,60
0.9986,1.0,0.013736851513385773,0.6674,0.7457962255190829,1.468372106552124,8,18,2,200,60
0.999,0.9999963196608199,0.011132276616990566,0.7012,0.7673345575528241,1.3626728057861328,8,19,2,200,60
0.9996,1.0,0.00970812514424324,0.6552,0.7205834888581404,1.4949721097946167,8,19,2,200,60
0.9994,1.0,0.00811559334397316,0.7164,0.7849454915742832,1.302320957183838,8,19,2,200,60
0.998,0.9999545589530383,0.026817671954631805,0.6448,0.7118447209023696,1.550723671913147,8,20,2,200,60
