,k__Bacteria;NA,k__Bacteria;NA;NA,k__Bacteria;NA;NA;NA,k__Bacteria;NA;NA;NA;NA,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Bacteroidetes;NA,k__Bacteria;p__Bacteroidetes;NA;NA,k__Bacteria;p__Bacteroidetes;NA;NA;NA,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,k__Bacteria;p__Firmicutes,k__Bacteria;p__Firmicutes;NA,k__Bacteria;p__Firmicutes;NA;NA,k__Bacteria;p__Firmicutes;NA;NA;NA,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;NA,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Erysipelotrichia,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;NA,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae,-0.00831213400411076,-0.008312134004110761,-0.00831213400411072,-0.00831213400411072,0.0,0.0,0.0,0.0,0.0,0.0,-0.09511648894381337,0.10088190807918647,0.001035822823492754,0.0,0.0,-0.13731594058033003,0.03205203350418151,0.03205203350418494,0.03205203350418177,-0.12418411800240794,-0.12418411800243401,4.460773465499679e-05,0.003877367504725061,-0.14496662961610138,0.0,-0.013082025016107633,0.0,0.0,-0.00047009419987404467,-0.000279508335873452,-0.00027950833587344904,-0.000279508335873452,0.0,0.0,0.0,0.0,-0.008082225167161547,0.0,0.0,0.0003199313752591279,7.27391261842852e-05,0.0,0.0,-0.0010615943846655554,0.0008095023019147377,-0.020533588494104454,0.23894409415910892,0.0,1.9762438812121834,1.9762438812154632,-3.8869843997362916,0.0,0.0,0.0,0.0,0.0,0.0017451746473002153,0.0,0.0,0.0,0.0,0.034609973746367144,0.033685495598731706,0.0,0.0,0.0038292193802996004,-0.0029628991535950743,-0.002962899153595064,-0.002962899153595063,0.0,0.0,0.0,0.0,0.0,0.017490755061189567,0.01749075506119534,0.01749075506118017,0.0027506238054176603
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae,0.0004914249001691636,0.0004914249001691627,0.0004914249001691675,0.0004914249001691642,0.0,0.0,0.0,0.0,0.0466569952838982,0.04665699528389623,0.00010051487635515081,0.06629086581627137,0.0,0.07312929691910043,0.0020293302930331834,-0.0878715627974519,0.0,0.0,0.0,-0.08821951181698011,-0.08821951181695206,-0.002776741307648218,0.00013278401884428238,0.013695720210711347,-0.21621091329101294,-0.13248362778942083,0.0,0.0,0.001625275091477477,-0.0003374562052233967,-0.00033745620522339544,-0.00033745620522339544,-0.03973805730218757,-0.03973805730217931,0.0,0.0,-0.0051798895002558845,0.13254374807138936,0.13254374807139774,0.0014080120930617386,0.0,0.0,0.0,-0.06190019196319005,-0.008623078303359394,-0.1709986095290114,0.0,0.0,0.0,0.0,0.0,-0.018058643092070857,0.0028686767991237443,0.06796992495634621,0.02182640364577835,0.021826403645781742,0.0016714523394200543,0.0,0.0,0.042288382071103026,0.0,0.0,-0.02559107017278218,0.02302784876915993,0.02302784876915965,0.0027504452125111686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011454627337590966,0.011454627337591677,0.011454627337591498,0.008820303125552957
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,-0.020107264372102765,-0.020107264372104944,-0.02010726437210075,-0.020107264372100944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08300374308285101,0.0,0.0,0.0,-0.08081158973682291,-0.08081158973682386,-0.0010338157241959838,-0.0026985086807320025,0.0,0.0,-0.005208695093792566,0.0,0.0,0.0019792381245406906,-0.00018500175269634583,-0.00018500175269634616,-0.00018500175269634678,0.0,0.0,0.0,0.013610840241302028,-0.024741054100746625,0.2733638981246151,0.2733638981246537,0.0030407122818924847,0.0,0.0,-0.033948205716352604,0.0,0.00012204287856055713,-0.08630085853939408,0.0,-0.15098787744221495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037570970140776136,0.0,0.0,0.0,0.0634800626461643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,1.2519695137511767e-05,1.2519695137511767e-05,1.2519695137511495e-05,1.2519695137511495e-05,-0.17869507975422583,0.0,0.0,0.0,0.0,0.0,-0.0016229291254856735,0.0,0.0,0.005384791920396498,0.003980970748312396,-0.7499208385797178,0.0,0.0,0.0,-0.03791390454292739,-0.03791390454283614,0.00036127980032718717,0.23010461491205503,0.06867187691404548,-0.05466078369745898,0.0,-0.2069185255484423,0.0,-0.3309683641994984,-0.0006271253726128331,-0.000627125372612832,-0.0006271253726128342,0.0,0.0,-8.071105417840207e-05,0.0,-0.05160736735271626,0.0,0.0,1.047318303816478,-0.5998197530495786,0.08857120772615944,0.0,0.0,-0.1058113556539035,-0.2239206781270489,0.0028317149774097676,-4.926995615362122e-05,-0.0011339679602871849,-0.0011339679602871747,-0.00090071384917083,0.0,0.05501804133080611,0.006436531099708344,0.0,0.0,-0.041742660979199084,0.0,0.0,0.0560182424100209,0.0,0.021667409763142995,0.0,0.0,0.0,0.0,-0.0060463136726900835,-0.0060463136726900445,-0.00604631367269012,0.0,0.0,0.0,0.010612527212141908,0.010612527212141804,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,0.0,0.0,0.0,0.0,0.0,-0.02716230172848254,0.0,0.0,0.0,0.0,0.002006266666185236,0.011216715899888196,0.008092974088713852,0.04168602238963801,0.00315106962968572,-0.05461999868448885,0.0,0.0,0.0,-0.05196026868826251,-0.05196026868826937,-0.19733009053817438,0.0,0.0,-0.004281677688925239,-0.021940552029009727,0.0,-0.1137417333988955,0.0,-0.001319649664580999,-0.0013196496645810033,-0.0013196496645809953,0.0,0.0,0.0,0.0,0.0,0.011778677623886317,0.01177867762388646,0.04364322546911801,0.0,0.06993411875155521,-0.021361068840676952,-0.07566680415098491,-0.0006565554824452592,-0.05979172587270696,0.0,0.0018713223898859915,0.0024390570480442896,0.002439057048044288,0.0,-0.024116415415413785,0.0,0.030634507809400722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009670533990164322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531667679924765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes,0.0,0.0,0.0,0.0,-0.04725747318304513,0.0,-0.014460170267667187,-0.004805629381165679,0.0,0.0,0.0,-0.012696509581812138,0.0,0.0,0.0,-0.013506675571849423,0.0,0.0,0.0,-0.014040916226562892,-0.014040916226564311,0.0,0.0,0.028727609319642813,0.0,0.0,0.0,-0.10430920721431751,-0.005140092809989019,0.0,0.0,0.0,-0.04079363159926764,-0.040793631599265565,0.0,0.0,0.0,-0.3969695177370634,-0.3969695177372497,0.0,-0.13087649894490574,0.10627186025118117,0.030522549580881655,0.0,0.13931438195366455,0.05006632184415287,-0.03870129878693906,0.0,0.003305656933348011,0.003305656933348014,0.0,0.0,0.0,0.021530933297122086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024746645902546723,0.024746645902544218,0.024746645902546858,0.0,0.0,0.0,0.009056392074816717,0.009056392074816693,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;NA,0.0,0.0,0.0,0.0,-0.03940590212923445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322439293935384,-1.2450632025499706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011047145907654527,-0.1557554828839501,-0.15575548288413116,-0.15575548288406912,0.0,0.0,0.0,0.0,0.0,-0.12487373010583555,-0.12487373010574757,0.002510747219023925,0.0,0.03457961754891782,0.07862552149562842,0.0,0.0,0.007290339053507037,0.0,0.09252420514990221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02834674192215905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006387916899116094,0.006387916899116386,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;NA;NA,0.0,0.0,0.0,0.0,-0.02800919900297557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973166164288407,-1.9059035223411533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047392656023780244,-0.18021252037776256,-0.18021252037797894,-0.1802125203780203,0.0,0.0,0.06579810530502753,0.0,0.0,-0.1750168760916948,-0.17501687609159333,0.05264841253121858,0.0,0.04529119241366065,0.08480536597987234,0.004025119489293101,0.0,0.03439369398846099,0.0,0.12424488110976166,-0.00267445320484927,-0.0026744532048492324,0.0,0.0,0.0,0.0,0.0,0.0,0.031514008213291096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067750230678539575,0.006775023067853874,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;NA;NA;NA,0.0,0.0,0.0,0.0,-0.021844724386092626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1340567691814882,-1.0591120643629424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13733251084894688,-0.13733251084900208,-0.13733251084888282,-0.009445652711890764,-0.009445652711889478,0.0,0.0,0.0,-0.12879778393667543,-0.1287977839366937,0.0,0.0,0.04141325308712468,0.07789702602319731,0.0,0.0,0.013801397622659401,-0.037462320441034605,0.07641130738348495,0.0,0.0,0.0,0.016440237901542174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076379428790205465,0.007637942879020591,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli,0.0,0.0,0.0,0.0,0.0,0.04639293607246822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005007874663024761,0.0,-0.01772168991748852,-0.0578849421900675,0.0,0.07915206977167567,-0.029721651928663946,-0.0015344636981981272,-0.06439774093723784,-0.06439774093724515,-0.0643977409372416,-0.25066120497932726,-0.25066120497932726,0.0,0.08021876270272474,0.03017141313599277,-0.00133429915623932,-0.001334299156239326,0.000860749249514782,0.024543729270494478,0.0,0.03637846264808969,0.0015224152301017645,0.0,0.07440042471315682,-0.1869772322099573,-0.07632935479538444,0.0410355043910381,0.04103550439103776,0.0030419250771218606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07316391003713514,0.0,0.01727465029251904,-0.024756360368772597,0.0,0.0,0.022165916507700254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04089173312052811
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,0.001220094992047339,0.001220094992047339,0.001220094992047339,0.0012200949920473333,0.0,0.032912769844547364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01864411174799726,-0.055891916412245064,0.0,0.060759397905845614,-0.06965422982685364,-0.001009750818758201,-0.0828788250249563,-0.08287882502496503,-0.08287882502495722,-0.2539568898260051,-0.2539568898259544,0.0,0.11165698394523296,0.007541862331907498,-0.000893164459136312,-0.0008931644591363113,0.0005866133930358955,0.0,0.0,0.09107512331760138,0.0027284025084595175,0.0,0.07429085257461289,-0.15198097419382886,0.0,0.013219545407337087,0.01321954540733757,0.0036205713237552465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05503660831360072,0.0,0.0,0.0,0.005812998263267066,0.005812998263267107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04222471122054322
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014599833822841636,0.014599833822841888,0.0,0.0,0.0,0.0,0.0,-0.0013114542409580889,0.0,0.0,0.0,-0.0013113002566016892,-0.001311300256601687,-0.13844836816168757,0.1817176411292037,-0.030031125344066788,0.0,-0.007100361143204752,0.08557580020940549,0.0,0.0,-0.0004937336127047116,-0.0004937336127047116,-0.0004937336127047088,0.0,0.0,-0.5687576044965202,0.0,0.03222054687078285,-0.0013296981152497727,-0.0013296981152497713,0.0,0.0,0.0,0.05853053312049417,0.05421010586048104,0.06417462700697675,0.0,0.0,0.0,0.002013570140187678,0.0020135701401876784,0.0018196408225174742,0.0,0.0,0.0,0.0,0.0,0.12869576743250757,-0.02069152117005243,-0.020691521170053247,0.0,0.0,0.0,0.0,0.0,0.0,-0.04711939889975744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020901053823129137
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,-0.00032214179378267665,-0.00032214179378267665,-0.0003221417937826846,-0.00032214179378268175,0.0015445518021512145,0.040519842422853475,0.0,0.0,0.0,0.0,0.0008075139830677282,0.0,0.0,0.037020361694673,0.0,-1.7433473312289722e-05,0.06982512008941531,0.06982512008942511,0.06982512008942747,-1.7235940112067932e-05,-1.7235940112068003e-05,-0.0006982603224946547,0.0007600252084312724,0.0,-0.09246550031461083,0.0,0.019953228561823782,-0.0016992319613503507,-0.0008103415573556865,-0.08333682511001272,-0.08333682511000665,-0.08333682511000828,0.17913014606033018,0.17913014606032754,-0.0005852217582773623,-0.3542174321084743,-0.04541489240227813,-0.0006997480824458658,-0.000699748082445863,-0.0005980325761140087,0.00041331313902142757,0.1466124809317208,0.0,0.0,-0.47760348555043125,0.0,-0.0036885928932398086,-0.003978935457014927,0.0,0.0,0.0,0.0,0.007356933070938107,0.005111280599983052,0.0,0.0,0.0005761469535337173,0.0,0.0,0.0,0.0,0.0,-0.06307891374456243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,0.06647369355495722,0.06647369355495766,0.06647369355495568,0.0664736935549555,0.18845620280197167,0.0,0.0,0.0,0.0,0.0,0.0012641130221884543,0.0,0.0,-0.0396462938061497,-0.004408445524347262,-0.003928918104116674,-0.004855367700639775,-0.004855367700639775,-0.004855367700639765,-0.003921242259258079,-0.003921242259258084,-0.0008537873447882254,0.0,-0.09664768265792051,0.0,0.0,0.06439908494387381,0.0024907866914892596,-0.00283087491815835,-0.19318961642120597,-0.1931896164212073,-0.1931896164212076,0.0018167031632030366,0.0018167031632030355,-0.00046844737788279096,0.06281926885649912,-0.5496974596102655,-0.14950743436236236,-0.14950743436236258,0.7570461892809854,-0.2587279967254136,0.0032862353409092914,0.1208903656338452,0.03338230399905012,7.11655270734863e-05,0.20832064592871957,-0.11331938745988389,0.27589509690848385,0.001483824002324714,0.0014838240023247145,0.001902889837328661,0.0,0.0,0.0,0.0,0.0,0.01274927939867993,0.0,0.0,0.0,0.0,0.006071253060659334,0.062064037722092714,0.003149989415370667,0.003149989415370667,0.002162098814609546,0.0,0.0,0.0,0.0,0.0,0.0,0.04719897006279633,0.047198970062799675,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia,0.0,0.0,0.0,0.0,0.0,0.0,-0.029490007805358553,-0.005823622198451232,0.0,0.0,0.0,-0.017826735734572132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020800043500883745,0.03159564474154676,0.0,0.0,-0.10409011320790713,-0.0015122829869127958,0.0,0.0,0.0,-0.028972921815832345,-0.028972921815828282,0.0,0.0,0.0,-0.3665755116218945,-0.3665755116218945,0.0007199126863150252,-0.07292183331447931,0.003213449736484963,0.06798053620728975,0.0412475337913498,0.0024464838402225913,0.07060371662667077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033163876647975175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01822504448957677,0.018225044489576528,0.018225044489573496,0.0,0.0,0.0,0.01526093506977185,0.015260935069772715,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,0.0,0.0,0.0,0.0,-0.003454109812180809,0.0,-0.019779525448232534,0.0,0.0,0.0,-0.10742187421608074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012007666203379693,0.0,0.0,-0.10795225573096104,-0.005588697623058337,0.0,0.0,0.0,-0.036222284600083456,-0.036222284600080604,0.0,0.0,0.0,-0.43903199377133945,-0.43903199377130053,0.0012790826464533184,-0.127617376061526,0.07058720701399733,0.036328850454968434,0.0028482888369174143,0.1849921890712404,0.05435739669966938,0.0,0.048225176644285425,0.0,0.0,0.0,0.0,0.014764997297079134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021425361110887976,0.021425361110889357,0.02142536111088947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;NA,0.0,0.0,0.0,0.0,-0.004546910229614094,0.0,0.0,-0.02403668852897133,0.0,0.0,0.0,0.0,0.0,0.0716084591599012,0.0024029240912862315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031114218414051528,0.03409245688167196,0.0,-0.009937795887748001,0.0,-0.045679458707437795,-0.002715555447965958,0.0,0.0,0.0,-0.011475184891887135,-0.01147518489188241,0.007931817815877129,0.0,0.0,-0.057777108655073066,-0.05777710865506806,-0.6179119126017052,0.0,0.007938206138263688,0.06777608215634738,0.02270023607106918,0.18974959181213336,0.041518048950670614,-0.03260322197553025,0.0,0.0,0.0,0.0,0.010553272463206108,0.022854577488695713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01752329245225128,-0.009714270105521243,-0.009714270105520773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009261597326882863,0.009261597326886762,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,0.0,0.0,0.0,0.0,0.0,0.0,-0.002295103382608276,-0.04278923571139177,0.0,0.0,0.0,0.0,0.0,0.01837687061218176,0.0030213337956451316,-0.00031466919129936703,0.0,0.0,0.0,-0.0003150136585845373,-0.00031501365858454367,0.0,0.14050978075165504,0.0,-0.05341410923412827,-0.028246947898941683,-0.008347029849778254,0.0,-0.019097585609374756,-0.000612513713986361,-0.0006125137139863588,-0.0006125137139863577,0.0,0.0,0.0,0.0,0.0,-0.03168079326255112,-0.03168079326255136,-0.002413404447363285,-0.48757503513346373,0.0,0.014410780034795321,0.05656788307196043,0.17549275617584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03259549504035349,0.0,0.0,-0.02067847754155295,-0.020678477541552078,-0.0029464933152015455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.022062193536107298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195429127672783,0.0,0.0,0.0,0.0,0.0,0.0,0.004576879166675299,0.004576879166675224,0.004576879166675239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18961946388002462,0.0,-0.3735528182970371,0.0,0.07608259136420559,0.0020271211208361365,0.0411726047139421,-0.0021571549714739834,0.0,0.0,0.0,0.002398769003685967,0.010412544143172452,0.0,0.0,0.0,0.0,0.0,-0.01576321545239368,-0.015763215452393887,0.0,0.0,0.0,0.0,-0.00637380761471726,-0.00637380761471732,-0.011844844239487546,0.008847433509563784,0.008847433509563078,0.008847433509563919,0.0,-0.022224733542385255,-0.01733485806733435,0.016375251246987726,0.016375251246976363,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis,0.0002622754072250136,0.00026227540722501057,0.00026227540722501377,0.00026227540722501425,-0.00041109330753172075,0.22375485866946412,-0.23301480670790398,-0.0027061823887892544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007465951065574329,-0.003123222396417552,-0.003123222396417543,-0.003123222396417557,-0.000746293168761125,-0.0007462931687611317,-0.09496084103842527,0.0,-0.07888313864978033,0.0,-0.07706038846954152,0.0,0.11585980127973335,0.002569778395121563,-1.9357771741457602e-05,-1.9357771741455915e-05,-1.9357771741458612e-05,-0.0022944015067609684,-0.002294401506760968,0.0006592869558377297,0.0,0.0016884762854237,0.05727022578049703,0.057270225780497064,0.0016263153632690467,0.0006360958812191086,0.0,-0.45749591741722445,-0.00394531954252701,0.004714262524784518,0.0,0.0,0.0,0.06331476794597453,0.06331476794597211,0.015073999180173638,0.0,0.0,-0.05588430467424519,0.007179110566405289,0.007179110566405289,0.0009903540241549518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031094484468241253,-0.0046642434367289345,-0.016193642716445984,0.0,0.0,0.011214583009082072,0.011214583009081904,0.011214583009082079,0.0026401737335251135
