bacteria,rhos
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum,-3.62949906624289e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Anaerofustis,-3.345913305723489e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__,6.546039156157965e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__,7.093698622002558e-06
