-0.6218991458225958,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__
-0.5265567059251854,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc
-0.521364749531228,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__
-0.49325621589062074,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__
0.479068359951368,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__
