-0.6670432347327143,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium
-0.48291445020869667,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__
-0.4433775946360548,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__
