
k__Bacteria
k__Bacteria p__ c__ o__ f__ g__
k__Bacteria p__Actinobacteria c__Actinobacteria o__Actinomycetales f__Kineosporiaceae g__Quadrisphaera
k__Bacteria p__Actinobacteria c__Actinobacteria o__Bifidobacteriales f__Bifidobacteriaceae g__Bifidobacterium
k__Bacteria p__Actinobacteria c__Coriobacteriia o__Coriobacteriales f__Coriobacteriaceae
k__Bacteria p__Actinobacteria c__Coriobacteriia o__Coriobacteriales f__Coriobacteriaceae g__
k__Bacteria p__Actinobacteria c__Coriobacteriia o__Coriobacteriales f__Coriobacteriaceae g__Adlercreutzia
k__Bacteria p__Bacteroidetes
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__ g__
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Bacteroidaceae g__Bacteroides
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Porphyromonadaceae g__Parabacteroides
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Prevotellaceae g__Prevotella
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae g__
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae g__AF12
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae g__Alistipes
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__S24-7 g__
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__[Odoribacteraceae] g__Butyricimonas
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__[Odoribacteraceae] g__Odoribacter
k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__[Paraprevotellaceae] g__[Prevotella]
k__Bacteria p__Bacteroidetes c__Flavobacteriia o__Flavobacteriales f__[Weeksellaceae] g__Chryseobacterium
k__Bacteria p__Cyanobacteria c__4C0d-2 o__YS2 f__ g__
k__Bacteria p__Deferribacteres c__Deferribacteres o__Deferribacterales f__Deferribacteraceae g__Mucispirillum
k__Bacteria p__Firmicutes
k__Bacteria p__Firmicutes c__Bacilli o__Bacillales f__Staphylococcaceae g__Staphylococcus
k__Bacteria p__Firmicutes c__Bacilli o__Gemellales f__Gemellaceae
k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Enterococcaceae g__Enterococcus
k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Lactobacillaceae g__Lactobacillus
k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Leuconostocaceae g__Leuconostoc
k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Leuconostocaceae g__Weissella
k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Streptococcaceae g__Lactococcus
k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Streptococcaceae g__Streptococcus
k__Bacteria p__Firmicutes c__Bacilli o__Turicibacterales f__Turicibacteraceae g__Turicibacter
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__ g__
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Christensenellaceae g__
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Christensenellaceae g__Christensenella
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Clostridiaceae
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Clostridiaceae g__
k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Clostridiaceae g__Candidatus Arthromitus
