KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,0.1,auto,0.8756781795169561,0.7955454026270702,0.7815181112680958,0.7262443438914028,0.7262443438914027,0.7262443438914027
linear,0.1,scale,0.8756781795169561,0.7955454026270702,0.7815181112680958,0.7262443438914028,0.7262443438914027,0.7262443438914027
linear,1.0,auto,0.8910959172223017,0.8178183894917191,0.7445174765034707,0.6968325791855204,0.6968325791855203,0.6968325791855203
linear,1.0,scale,0.8910959172223017,0.8178183894917191,0.7445174765034707,0.6968325791855204,0.6968325791855203,0.6968325791855203
linear,0.01,auto,0.8275447226607863,0.7332952598515134,0.7416917501075004,0.6538461538461537,0.6538461538461539,0.6538461538461539
linear,0.01,scale,0.8275447226607863,0.7332952598515134,0.7416917501075004,0.6538461538461537,0.6538461538461539,0.6538461538461539
linear,10.0,auto,0.8937577473610041,0.8252427184466021,0.7289964576038659,0.665158371040724,0.665158371040724,0.665158371040724
linear,10.0,scale,0.8937577473610041,0.8252427184466021,0.7289964576038659,0.665158371040724,0.665158371040724,0.665158371040724
linear,1000.0,auto,0.8944701783687156,0.8292404340376927,0.7276040706841125,0.6674208144796381,0.667420814479638,0.667420814479638
linear,1000.0,scale,0.8944701783687156,0.8292404340376927,0.7276040706841125,0.6674208144796381,0.667420814479638,0.667420814479638
linear,100.0,auto,0.8948890251699526,0.8280982295830953,0.7271945451194791,0.665158371040724,0.665158371040724,0.665158371040724
linear,100.0,scale,0.8948890251699526,0.8280982295830953,0.7271945451194791,0.665158371040724,0.665158371040724,0.665158371040724
