#sampleID	Taxon	Confidence
000ba159320fd713303889d197731d5a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__	0.999969647631898
003e38c5c3c642f05b93c50f82a1cfed	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.999834022414888
00582e51725bbebaa7bd0416338917f1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.835176585895581
0062a3ab98999ece5f01ba9088c8d4bb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.869638250068508
0063a3e764db1b576ca0d7eca3bc8e35	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.893250134157959
006c84200f6ed51758a36bdb6ed6d288	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.855133641933291
00724b61f69407d08674f8d7b3aa286c	k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__; s__	0.999999861817836
007f12a962a918c4afc4a8d822de057a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.999912705354334
00846bbdaa8c08e0a4740badb61f366d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.999999927398205
008936780ad701de80950c3915c344e2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.796109029633957
00a9caf6279a36eb280a56240670f42c	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.99999550418035
00b950b9bcb9dc7392c1074e6a9dc658	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.718372873929277
00c160f6c99ce54dc6d5afbf876a1fb6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.986945643546497
00c29eb5338f545bb747b99cb094bac0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.813930965978319
00cb1f83f4780cd070a6156d8647ee3c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.988787787622883
01359fb0fab344edce675940e6b9b212	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.999999999033635
01438eaa739f78f7181a015440de3fd9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.940980433916879
01451e4c32f6594085c737dda19d169c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.701171352843306
01487dc999316defb82d1fcf20b83def	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.999986919821945
014a07b452f6b201013926db01988d67	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.999056334306848
014bd8b70c156641a1e59abc8826bb47	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.98182325635891
0163fde1f4dcffc74d18b8c25e371ce9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	0.990850000584889
017e849a3da7ab2c6c2604f215b8a4b6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0.999502397082203
0180fc6783eca080e88bb99f22c736cf	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Haloferula	0.755439754112159
01814d300b30730d3c3234fb9303ece3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.703596888286418
018d8f9bec89f5c34f23e2c61dd1c764	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__	0.999959188088526
01a3fd8fd6113e19ef6c5239a68cbf72	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.999997240334252
01ab7cddad917984f2aed34df8f1be5f	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.999994642458872
