,file_52,file_58,file_59,file_73,file_86,file_89,file_90,file_102,file_104
1,0.18261,0.06823,0.12508,0.12977,0.09632,0.00268,0.00067,0.00602,0.00067
2,0.0,0.14448,0.05151,0.09298,0.05819,0.0,0.01271,0.0,0.00067
3,0.0,0.00736,0.00334,0.00201,0.0,0.0,0.0,0.0,0.0
4,0.0,0.00736,0.00067,0.00669,0.0,0.0,0.0,0.0,0.0
