-0.2622980990742372,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae
-0.22443111998253393,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]
-0.2018032910131015,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__
-0.17424967614556133,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
-0.15639370226492078,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae
-0.15331508607860345,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__
0.15547011740902558,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae
0.1645520351586617,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__
0.1865641408908307,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae
0.2102694855254742,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7
