ID,68d21b647f2372fbaa594b028f42078f,416d28fa16e263ffd2d56cfb96d6b830,e9f23b5f9ba93ead071d8d65075a647f,62e757d36aa69fe1ab4a2cc906336dfa,80e2d9abcd23e4c925dc6a215cd34e38,0b5d471a3688a94b9ed23cddb1f441c2,4e6404c869d5b0f748acf884a73de491,ada2b65a67d5f5dca1cca7c27f0d9cc5,cde349cbd48a60428946fb0ebd6ad4fd,b3e082e2cbcaa7a40e2ae416bb5690e6,d971e651307ee80533c8b3ccd8f5b055,ecc5608d72314ceb9196472ac5d0835e,9458db453611cef3d67ac65dc63e0b8e,f58d2ca22c4e97f620433b88e1d26aed,92e60a628ae7e47054b8f70651321316,eedf81aace09ee2c0f6ec2b1669400a4,96ecc8867e06215ff21b7a42187d459e,3d4276296225dc44a4c9b4609dcd457d,e63760d4c5e638e88d5de25ca6dd055e,9a07e5d6a1a0c5cb4b5196f666b2b5df,a39869770be8f3b7291c294598da3b14,f3a833b3f0c95f135f47238af0052632,ee8fb4fafe4761d5a9a5d5533e98033b,b2ace0a6282962e6d21d731e0dc26cea,05cc0178d0364de706f612d53593df38,20aa2531a9894278005793d493f60b67,040c57a95840494c76dd2697ba800701,c1cf655ca407da17df6b5e6cb53bf352,401b30e84cc09dd4ae666c06c9f926cd,8ea783468d6a3e3e71369b37e1dfb848,67dc2095b6455f900047d82d8f3d4bbd,8e77f7c447b3bd6aad91439de1ffbc6a,b6c177919494e6f578565abd49f3a8e2,30af1e643bcb8b159d79fa971b55ce69,59b753a31e2e7155ff02e54e99142af0,9f51567e3156181d808df349724b504d,7ded1f84ff923e49a662e03cd05061f3,6bba7aa7e732e14a4e4a01e2df569208,06557577913431d50817e00bc9530a3c,1fe68ad4b8e87215d0fa40a60d761e0d,07931e37fdb4f3ca4a4205bd5f2a1ab5,4f381ccaf179c05598f1d5e2e39004b2,7df9a9770bd7e4c2a157ef294f2ef65d,e10d3de30ce80d9a0c11b782f0ad57cf,a54e690ed1763a34d81ed3f7f464e64f,a598d951cf4f2406d61b5e6ba39a4052,33713f98d1434a126cd85ad7bb994b5b,da0cb2c0789c1e107ecac33822a6f1f4,122276848fc1ba96e5a44a8e205d6fe6,e934ea121e897073c80de4e296dcd751,15110a344bf7b13268782a8d6220252d,3bf8a42c5e9d26e41df3dea3fc719334,83c92cfa3fec9123d47fdc472d04887d,76bc5d9602a6707b3a322e3011be191a,95d52ff06277fd7e29f7f827e9e5cd1b,47dcb454ef6575935a40acc1dc5845a3,5340c3819f2a5d53c0eb85af17ed968f,0f1e465ada87d549a1eaafb263b58dc8,c19a0e57cc45a3b6c4d205faea118b13,ffa86f785f23e7758c0bae1217c32cde,453d8c780625fe6439e6a2387f59aa75,8e6e1c195f0a609561564cd29263a3be,82d72459615d5bbe252d5cb00a8568a3,a4000e89f71f929a5e73f56937b2e3dc,7acef43a756be6488ef60092bf8d3d58,1b274f8c5dd8f4c45bbf93f42b9b572a,16ac62301633cc12de1acba5b5139898,d1a4a2c8c4c5ba2c62e792ad65cf5c26,e8077d6052a2b14893753a3955a3bb36,a0437c8741cda8997024a9998c68bad4,7c1e459fd717115a371b5c538ba6c6f6,966420c20d60573bf0542e1bdad1f4b8,921366bedb3c0afe939e99f5b910679d,52b2ab01d5a8f0c2db1fee92987f204c,a3b65521defc3d6f8451c3fb448f6d1e,e99bc1dc82023b86330930982032b542,a8783c1ca02eb249df9cb7a760ca9461,87638a5b47ae7856e1899ecf7a50cff9,c2552ca43f4e59333bb50e4ddf7e65d6,19d2452d86a1ac848fcaba7f86b6b86e,a12374b22d11a3605b5a434b13c1f40e,748c94b5b2c91353dcb15f667b6422e0,4067c0b1b94c78199c9d7661b70adb69,c83fc04223e5aabec67c6d62db7c59a8,b902ade83bfb9e1eb1533b5feb96d342,a8bec4f37fd42b7474661b7a7bf27624,96c9fa88232b9d6dd977d3cb5ebf138b,b58b9a91985f486b5461d06ee268602f,18c25f5c60deb95fd3097f2e88fbeb09,3298445adec6cb171b6fd04c8051a307,0f739d994d38b5795859693d693a69a0,de2bd8e5b2b60c6a55308ad8076c30d4,fd3017024a711ff3267685878af5d91f,847064380b7fd2d1e01ccdb2d0d24aab,9482b3c09ac16e857f61460ca07efc8f,154854069223dacb89c0697d485d1cae,ddb53ea9f0edd0553549c3b8ac6fcc36,ef25af4b72828fef3ea6f7a6578215bf,7efc745f9224e706cc1d925d920b05b7,22335bfcc0898cd8d4e1a095d92364a2,af3c6c75dc7a3d2088d61916e1a366b6,ec4896d349c0d536a10a92b2e267f506,c79bb268407200d7f36d7e8e96075fec,b42e45704a74b9bc6a39fc67ffaf2643,5a8192385c663dba0f740bde68081872,222218478840e6b07afd74c9b55f4eaf,6ab1d48e2c0993ad58c4747ab98f203f,961a8ef06068307b3f0598a55e3e39ce,ffee592a3fd2734a273162e8fff3de2a,f08307cda4f7a049e43beb4ce2633da6,e96279cd61d47b05ff111f20628daab5,ec051b738c8e3c4f6690edfb88746a95,e67b89894d762ecaf5afc956c0394de6,7782cc16ad1298fe13f4fe9bc3578cd5,f59b2ca364924ddece545748b6a82f15,1d14c671bb65a348e80c8c66923ebf2d,6879e4a30b51b9ded2494b143a500b94,aea9b5746e0524bbdf5ebfcd05084c9a,15ccc4807a19c9549bac0872eaea8293,f6f790d7f1e71b18d932b85f45132061,fc4563699e8e7a8fed6d39fd591afa08,62e9fac559d37ecfeb13ef881e8665b1,05a8e32b9ea046ebe22b4f622e9834ee,dfec0f6fbf0ddd7eea57864477f176f1,8ad82e85e7339dd8a45c596fe914278e,b3f5377bf9f37ab85d5fd370952e8d1d,94ff7d012f3e9de1380d36d9c05f9592,764a862da6161a1a74d462a408b8fb6d,44fce7efa96eb959c5b44c917cb6e61f,b1749ac0ab6cb240d876583c7eb1116d,db04af6092b2839427e990a151af2ff6,3310f3a1d804b0a56054aca763873eac,f9b0a33f3918bf9782decd053ebaf6f3,6e847600e2464a3c3427207b4967be20,0f94498270246b52b2e86a2420ee3abf,8822a92ef17e6fc5fab062b22303fd1c,1c25fb0f750af3891c1792096361c7cf,caf880353322488c96ceadbab6533a1e,a55cadebf5e1be9c68fdc2dff1c8a39c,40485f4c742f9e08aac7ba218a0cafce,41c00b83a2a3a46a23cca99f1cf7497a,5abe0fab284eb248058cc1b1afcbea24,0c1a4fabba3c9a884f76055e5865efca,dcd11d504db9dbaceb3bce19fa70e49d,633d97c2ba5f0507209b58be272123ed,c93491564653f93e0c66d229c2354d6a,89022387db93ddb07048a957bb9268bb,dfef853342a72b6e680910645f807855,854fd4f79c694884e8df9474c4518625,20a623d41ff21857c552d435448b9804,70cc33fcbf7799023d31a91a4c3a9f02,f7161d26f6696177178c4a7492aafc7d,e66ad2184159d887f88fddae39905010,c02cd3de0556148c46e0b433cadea49e,8ab81b840724b1eac681731082a0a3a9,0362b67f77f943774ae14540e81a2241,569609c7e952d0ab2378e0fe43b1ad67,16cbede6ad4868992da4580c8fc18af4,6d83087fcc14330fb8a24175c8b06421,d4ed77827b0ab2f9533535d62c875059,5e33f7a056b094f0203b317353a5936f,b19e59708df5477557824d157c396e99,4895536cc768c5529a21af0018ae8209,0b8643250d9afe761aa967df6570b21e,89261ef93ed39599f5a5323d13008a27,6e25964d918648703e760fb489003f62,8f6842ae8aa8e1e0ccf188f2a32cc11e,52078a92ca8b222ee46bc102047e27be,2613bd289678f70f2c4a03d47ebc053c,9249d1d117bc7cea9f711bfb8053a0bd,5a07a1f8e54bf8ea55878a184bf1abb2,6e5d2198f105bb4cd95b94622ffdb646,3cf706729a40a2fdb23e59e11c88400e,e776aff8826be62be596e0ce1f64909f,70f72fbfa0199b73a4feb007089a354e,b10ff224af82a5bc63ab37da39b70129,254d6088793f90e7e13ed5956d197bb4,df9d56c962ae96ada346ebedb56ce306,4a5b81cef89c8cce4d1000c76b3909d6,ca83cef9ac13b828f2b9f1a6a798a69d,44e53605c13bc26bc69728990d86cc26,601f6717388bd39936c12574eca5e308,dde7888c206dc55b5e34477b0a3617d7,ede237ac725f66109bcfaebb06c384a7,2bb1528e1e6900674acf298c61e8cac7,40656fa1ed1e75fab9bac8c5e53f2cae,e422068a7feb17a20ec040ed9adc9103,063aa0298388fbb8d9518234a32c4deb,dbfb5af8b25b36201fbf50a1ec515e57,2295b56e844801b9ffdbaf864b7ddc26,59804cbeabcf8b1db7af79c8f8c92385,13c1ee586173b3d5bb7b880ab6e4923d,9892e951365b5f64ca649ebe1c6ba44f,a590e1f2178962409f2fcfa0d899f1b3,d67982cdc3a4d5ed08da8c86c26180ba,8cd3a46c13203e616d99961c57954b01,d82da62f17c78643ab1cb749f167afe6,ab2ea892dcce1982aa57b26ed4b64c48,d09af28e0acc80422f2cfd3220f926bf,0eb90cc5e5ab73202aa8533c3af6b760,44edb6494d5a2c9304b3685efdeb4226,e6ce4f528704cac828fba8ff9f240418,312908fa90c39a59c6b8cd05b7977689,d7a653b97d3b880b47f82038bfd6c9f5,69ea174611d3925830497258da45db03,4c76d1d3df61364f6c5757d40ca7d237,3098c0572dbf6fa9c8ea0d221ba2ca33,b1bf79b11d76e2f17afdc2f85814cb40,846a527dc4b3bf2538354f9dbabe8e2d,8aa6a4125e96750738eafdc77a5561b0,699a4ffadd4599d2b17f18c8ffd1fe8c,932daa4fff621ea7c81fed8ea3d4e886,502ccb62b4043d9a69d386bf115c2eba,9ac7a16de0e8abb95460fcb2aea5ec3d,892c5d2c54efb8d4f147a0e168dc56c9,4c2cc5d66a50a0084becd3e0c1d38979,b60cac3bb84f90fae9abbd5b872c4609,357a448c043f7e758916c2efec6dd6a7,0d4f74ab3b716943fce13ef407323d5a,a3dbc08cd42c66e27357d292b0c3ed65,e6347dde31d123f8dc27613f07588627,12ac4f1a6a831add7b3bd3f76c8f853f,e4628da0d71bd9fbd91374cb8b112cc3,ee112a4a74c421e204a2222d121a5970,2046a77e7991a332b116ea52c7496062,ce9ad80e56eb9aa7c42e13d5c0ffae72,c33c4881c79003c5e3d5720184f5a685,5b937bc741ea381f09df4acb7ad642f3,971869aa4ffd685178f9acc46103177c,6098148e44afd659206e90e7fbdc5e72,292d5c74c837d895bedee98ffd343c56,9f872b2e711ef1e0db1c0ebe0b605042,5af2dfde496ef9f2ca38870d9d694f9a,436bda04e14bbe26626f69db22cbc67a,0bacd200d2599f91d054c74f552daed6,14039d8c21c14cd7d5e5215cbbb59c33,1d0ad335429f08afdb8f1a15f9d2d370,74eb497179d7f3c86fec846db9aab7bb,a25758b5ac00741e0ee997737c8bea0c,3453bd756ff3697c4b73976b2984a291,a0edc2e6048ddd4b3299758b48ae7e6f,32230fe402388c5caa0307a25be8535b,c6901c3e77ecd4a6aa88d1b3e2592bfe,cf7000e155dbc4e2ec3621f76f4a3296,0482486fa7e6429f790e305cbc97bc12,6b9374ad36114bfc34c5b23495df64e0,184f408f7f1d1e85fe6d68f8368fab94,52fd14a36ba916e10242f20109893600,303e344efd75d54851f27cd131652c2c,9ffb1b6520dc75dd4c8cff54ca5d2351,881d12f133f236aedbc28a1bc008da33,8e8c59ba358d92d5d32875aca400e1c8,bd06a0c61335c33c70aa6af37efcec8e,3b81af4d90997bdb5d7278e26b3495ef,33386aa64182021ac057fdaf52937a41,1f6f01dae19dfe09cf1c414557cdb527,dfebf5b5f71c6bb6e37428032274218a,3dc1a3db3bd48826c837cda837609c72,ef0627714eaa6a40ee3264646c473228,f198dd230168a8e0bd5e77b40fc211c1,59eab76d02311a4e91a4965cd80ddac2,2db5b1cd90d9615dd199d0a1d723dad2,cec15635e8125c18c947f503e44a1565,aaaabb8cf98476ea955df28190e97239,e065d1f48c60d609fa2224554a80f3c1,0aac5c8d1f6ceb4c514da97036b76bf4,48435e313751f4c0fd47b89f6126e718,4164bd29aa2a6d08c6f9b9cb2af35a90,94348656cbf7251facaed963fef497d5,a9bd95bbd519cc5fa5d1b68ae9e731f8,58aecb3824e4311e1863b2f08cd176eb,bf92f682dd8e7a3de56debb8e68b16a9,32b14ce33346bb8477a0d0a13b59a458,b35746ae69a929252318626660eeed7c,255f55ea23d190182ff03f24e530b667,3fa1b907e49195f4d1288f26f859371a,27c4a1de4b5a603e2c8728aabb1c6ce1,066f5268f57453b2e3bf6b287375608c,36ec2efdba2a81347283fc25d498bafb,9bc45d4516d204921ebc3807cd41e8ca,f5b1d54ac77aced68f94bd1b76e2864a,5112ae71c2d74344f249fc0d322636e4,83e46162ac5ec535001ad74a2182605f,338e8b8254e1fb6e72b2c039f6247180,8f35713062978fee599cd55a03835ffb,3b094fb4fa8359936722b21351fc1e59,10902f8f2edb0d23aad2f954ce4d4565,100fedf79d30cc1c3ca67b1b3e06d646,9356d50592c6b39a4f21a4875f228b97,654521844a5a820c0fad0e5b845175ce,773a2cb3573084d139cdd67271b79f52,7ca0fe2547637e14ec5f5c983f8a72ce,522fdbb564627aba94d6499eb4c80e27,8ab86a4493b78524839e7d15d61af29b,111fc394d24bd57502c1ed3dd6e7718b,b4d997ac30ffb9ab5050e2c114656c3a,a369adbb9f9ac56a984d78706a9f774f,2ec93f7252c844699200036f04a8aaf3,df0140be66821317fec723ac444adffd,0dd33a47e53be3cc3524752f1dc393c2,23037a1ced2a027e57e1b78ae58b2da7,5856d043699e220814043c7c3cab0560,41e08b3972c7f7074aae00ac164e7967,b5ca6d65e816a51c9acc937a7beff393,9d8631e68f59381b16b0acfb6d49eac2,f2a5a85ca85ac755eb2b27c0b09edfdf,3761f60b1b2ef2ac5e2688a9663c67bf,f54120c77985c31e6510e7fe1cacece8,927ba96123420fbd4e6df9ed27c1faa6,2216de37542f80dc7dcc5a5e3d59ff37,6cc0c4564bf41554c59cde932b212ddc,c273e3a2994c255f9389b1657748a9e6,a06775b93ab8fec4155d9a8d07fc3611,a3a00f7c4a1c8c57d40f319d74ba1352,f548996ee3245eb53a5ea87a5d179599,5cc7d167eabe0cebbad746e68c3700ba,149ecac8d163e3a89d5351caeefb3c3d,c8b3a9344a6b8315f948ca727cc30431,563bee364bbfeb6157f6541e096b2826,d0644cc3e4bf3459897960bfbd29a6a7,4331efbbce5c93c313dcf6d6661a0d53,8d493903db6600b8ebd27309829d7550,994f5ed564767d391d0ea7d8df2bd7f3,8cfeed0eb17336d74d4f22cf2b04dfff,113524531731432b2d73f1426d3ae4f7,5cb73d8f33fb2f2a7b5c539aa1141dbd,c5e5c5c9b0a126658879386fc277e08f,f1c618ba0db30478b952f1c846728711,a01ee08036e4a26da77e2d35ed727fff,0d07d7c862320082abba538a81590782,3dc2ebc6254f501924024291c0e44f79,555c948714bd780615f600ea11dd44ad,e9f79f665deba9f561b739930fe3fd24,7887a5403649ff80c80ce8c225b30e0f,f22c092acbe97d985b3c53b8400010b1,05f31e64fd76c6b5e979de08485348de,b038f1c231509e17ee888e8b34f69745,a61c0a1609b59b991e449aaa98d16ccd,a5412ec13d71a79c4e2f48105cb43ff7,e1b2183337cb51b28cbdf36174ad666e,e6f79e1d3a20ee15751634e24fec1385,52e9eae57ec3973e503bacad34baef75,d4b26eb6bc445794327f18ee01bc9f26,49f59899cdb3b1086edf6fcdb912af2e,44b1ca317a6e22943137fed1fbc5a9da,8a0f397655410beeb18bf310aa6f0a2d,bd04538db24a7aeb3d49a236ada3f8d0,dbb947e6ae7f47043a4a7aefa959e20c,d669be34654041299ffcbc13d93b07c0,0699c61196a3e592b70821934427f68e,e7a927716e37506dfb845141c90d8490,80b73fa85f3a4ea6360944602c630d06,a6fc36cfe04ca63d2216241e6e4af28b,17a058b885ae64c48b0574a474ade623,6c28eef9d28c7ed6f10b1d59ebf2c203,a57908aec7f9a49c85de07e09a619728,1aa267aa7424e10379fb5495a8d12e03,42960812498f4951b24cc79f4fcca352,315eb35f7829168b17a42e90f34a00a5,5c0985dab4379f8da1327c37025d237c,bb23389b320bbb7bb6a4de44660511f3,d3a17ee69b3c8c92316e2f6d222e3d5f,8d62e7412d83f2fd3e8ba48cdd61da1e,063476f7fff6cc13c52f53d0d2ddbe35,727ddd498657be8ee1c8857c52871ba3,289851ee794d6b7be1fc99e03e65d717,1f030de723f0a437887b8ee48da40d5c,512caf4881be108577e1ca0e05672ed1,9846b04c436ce4d8522d09b0a326f4df,bad403847e6b5765ae56f5457db3068b,27f58d249dd4e35bfb4e845d182ac1ef,2a6b83756529f957dbae7a33a82e1a9f,61e8b8b35ccd6446999baa251d3cb4f6,4f4627e25c80eba124272d5824e3b652,53f118488464355df48c06a69bb0fdba,0a60eec1a4829b75467ed786bfc7fd56,46f4c8d9a4ff9f52a9a0c1bf602a44a0,6ff084fc32ee0202e1b38da5f7007e45,a45785ba0be250117f3709b2aa43a142,3a1c54b4a615dd9de8eb5566fef50fb7,ef5bda8fc19fa18d91170c9ddd413e41,8cbb0ba7989a7cbf38ee5cc81184f64c,165694e882ddad78f5288ce791fe8cee,990269230f2b39db7cbb2e177fd804b9,1cee28305dffa91eb78a4d1b01ed0a85,03553013d32b6dd0dd00ab2aa960e7f4,e81644f89d0dee25b035cbe7d59a3a9f,2fc0f4d96da4586f7617c5c1e8dc2207,de879651123cbad3a7a0fbdbe8e1bece,c64b875c37f19a7b11b7886d8bafec6d,236946481c74836d761607241fb4875c,e80865b9de56f28de20d7cf75b065667,45dc6e76ec2a66521879400baa3cb9fd,9c6bb08a9614b21a3b3a0a121f54ce42,c7b06946aed2339ccd3af98ef762bea3
10.24M,0,0,0,0,0,0,0,0,83,133,0,0,0,0,0,149,89,0,0,23,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,12,0,0,25,0,0,0,0,0,0,76,0,0,0,3239,0,0,0,0,21,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3464,0,0,418,0,920,83,0,0,0,0,380,31,0,0,0,0,0,0,11,0,0,0,13,0,0,0,9722,0,5,9,0,0,0,4960,0,0,35,0,50,0,92,0,0,0,0,0,0,0,0,80,0,0,0,0,7,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,42,48,86,0,0,0,0,65,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,57,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,40,0,0,0,0,5,347,0,0,0,0,0,0,0,0,0,52,44,596,0,0,0,0,5,0,31,6,35,0,209,0,0,0,0,0,13,0,0,0,3,0,0,8,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,784,0,12,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,25,25,0,0,0,0,271,10,0,0,0,0,0,0,0,26,0,0,0,0,67,0,434,0,0,104,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,157,0,14,0,0,9,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,11,0,0
104.1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,96,0,132,0,0,0,0,0,0,0,0,0,0,0,25,0,0,7714,0,0,0,3782,0,0,0,108,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,198,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.24M,24,0,0,0,0,8,128,0,0,15,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,933,0,27,0,61,0,0,84,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,44,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,45,0,0,0,0,0,0,183,0,0,0,14,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,0,0,0,0,5,0,19,0,450,0,0,0,173,0,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,388,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0
122.12M,0,0,1440,0,0,0,0,0,0,1281,0,0,0,0,0,653,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,290,0,0,0,0,181,0,0,0,197,0,0,0,0,0,0,0,0,359,0,0,0,0,1285,135,40,0,0,3,0,0,33,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,2867,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,57,0,0,0,2695,11,0,153,49,0,0,2290,0,0,0,2403,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,622,81,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,283,0,0,0,0,0,0,2057,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,616,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,36,0,0,50,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,15,353,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,9,37,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.6M,0,3035,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,49,174,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,16494,0,0,0,13128,0,0,0,851,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1546,0,0,3,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585,0,0,0,0,49,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5950,0,0,0,0,0,7,6
128.12M,0,0,0,0,0,0,282,0,0,16,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,18,0,3,0,27,0,0,0,12,0,0,0,0,0,0,0,50,0,0,0,0,89,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,78,0,0,0,0,0,0,0,0,0,0,0,322,66,0,287,7,0,0,2374,0,0,0,1921,0,0,90,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,22,0,0,0,4,0,28,26914,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,17,0,0,3,0,88,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,3193,0,9131,0,242,0,0,73,0,0,0,0,0,0,0,15,0,0,491,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
