,y score 0,y score 1,y score 2,y score 3,y pred,y test
0,-0.25713355594183823,-0.7505653099253782,-0.08953590491022662,-1.206509805190708,2,2
1,-0.588750892565941,0.4222932131133159,-0.7293991278270144,-1.2338901395498878,1,1
2,-0.9514292919409207,-0.13694105579412108,-0.46446335353170387,-0.37943087987793367,1,0
3,-0.2652183316964951,-0.24647989393114722,-0.8643255162423673,-0.6155703770539649,1,1
4,-0.6243579310447848,-0.49015320306351656,-0.522362536643824,-0.2818650681765285,3,2
5,-0.3299742876939548,-0.28957325308707893,-0.8968879249155779,-0.533179180698588,1,0
6,0.34064407192042384,-1.1461559311846925,-0.23830813915590238,-1.4636262439411638,0,0
7,-0.3461207774014068,-0.7115552808720248,-0.585056512417911,-0.33308725393746375,3,2
8,-0.15141678651807222,-0.17092816896175433,-0.8117453078880011,-0.986693870914764,0,0
9,-1.1803001887588087,-0.8893978612281707,-0.09656828814716917,0.30618096002362394,3,3
10,-0.2291152307786632,-1.1174741783201338,-0.34424571844493246,-0.3132689856261745,0,0
11,-0.5990364010465111,-0.9634008170065204,-0.3245221638147121,-0.12383805093521405,3,3
12,-0.32647873043498243,-0.4839222840155143,-0.49450435390517766,-0.6785967598423541,0,2
13,-0.2686350072231919,-0.36038049257739574,-0.7506774362761859,-0.9271695670546569,0,0
14,-0.5181384789725128,-0.663979993587355,0.02774269745703528,-0.8989784030612487,2,2
15,-0.02873846734195301,-0.49512766099427624,-0.974910753971666,-0.6198810613536062,0,0
16,-0.5135147530396023,-0.6122388503088613,-0.3657503166512542,-0.7005405705552846,2,3
17,0.04120073518704853,-0.9752794227326798,-0.22427203259418294,-0.9527759748013596,0,0
18,-0.7810717137400953,-0.4936970299190385,-0.1568732777205914,-0.5533216835146986,2,2
19,-1.0549179623916298,0.16294079555273377,-1.3187496428715269,0.4407518361811533,3,1
20,-1.067953079055434,-0.6001313028772159,-0.23045657832183203,-0.009250554806834899,3,2
21,-0.5727508161429264,0.07978335049925023,-0.858252980450256,-0.6099278574123639,1,1
22,-0.503526102638921,0.3615620885729218,-0.8181920984231272,-1.173591625654341,1,1
23,-0.09695576761414954,-0.42651268926044994,-0.7580068949008173,-0.8339000358686399,0,1
24,-0.025832026161637156,-0.5123669971898595,-0.8486061775587477,-0.7751306173751181,0,0
25,-0.2881721095841948,-0.5049614929414648,-0.7246384812599764,-0.47452311622888516,0,0
26,-1.1521415079499553,-0.4067668759101662,-0.2533253024464999,-0.05772910855234836,3,3
27,-0.2830805366717623,-0.7495612608926805,-0.6969202384412587,-0.39906627993598665,0,0
28,-0.21786852029640397,-0.2885022189030785,-0.5597975409170598,-1.073497191817141,0,1
29,-0.24560084677898086,-1.15497990668765,-0.24633355100409243,-0.5583216961649101,0,0
30,-0.4820186918197256,-0.49979665310244586,-0.05768239932510899,-1.0566226272824655,2,2
31,0.5340140884942912,-1.2130417476371527,-0.7185072120868687,-0.9717206263325551,0,0
32,-0.47874377415538705,-0.30144839289281916,-0.5913360653551114,-0.703737224098569,1,1
33,-0.39934801902773776,-0.4899926849838747,-0.4407628513135106,-0.7560231688328687,0,0
34,-0.37204220987768166,-0.5220901158658895,-0.47113170324805986,-0.6713350443606356,0,0
35,0.052369959110616426,-0.9353907926865708,-0.4406182382707065,-0.8180657212961711,0,2
36,-0.3711373683555105,-0.2782276140972254,-0.6932936974856801,-0.5915368424609715,1,0
37,-0.35463962902910323,-0.6215047986806679,-0.5475219111010596,-0.5485394641187505,0,2
38,-0.5238184392872306,-0.7816720609612173,-0.38663101104813746,-0.2505667895847511,3,3
39,-0.09790313406069012,-0.27888301438396057,-0.6080624579001667,-1.2743451084001611,0,0
40,-0.2757428294703458,-1.2738549738952263,0.11008163826889428,-0.6289016776902907,2,3
41,0.1074821904394378,-0.9926109688116888,-0.7349880898407624,-0.3771746725021362,0,3
42,-0.4508736277976016,0.20388913564944222,-0.8893304033092763,-0.8193004855254975,1,1
43,-0.5858460055381178,-0.20983191557611275,-0.5757375851910662,-0.6530035132974297,1,2
44,-0.057661583917803294,-0.9110669823042363,-0.4913787294780854,-0.6877580420521424,0,0
45,-0.5261338199340958,-0.36930381450320227,-0.5425392957058466,-0.5842060975984014,1,2
46,-0.5248864361468228,-1.104848299282059,-0.037003032936448466,-0.3249911140226406,2,2
47,-1.117224109518116,-0.7624932853629985,0.16943259501254349,-0.21200537824308918,2,2
48,-0.3012596078298797,-0.34745612424142996,-0.4254732266248605,-0.9413069620221899,0,1
49,-0.7644084564082618,0.12116929438495039,-0.5112706625337604,-0.750514519875534,1,2
50,-0.4097022651080013,-1.5263498877663713,0.16173874314562275,-0.41133058698315955,2,2
51,-0.5951651953967375,-1.2071254114474672,-0.05675961956486869,-0.23044820837016644,2,3
52,-0.18347387959611733,-0.1559499014005754,-1.2179804804725678,-0.6036716931307236,1,1
53,-0.9119768135756283,-0.03422443374398387,-0.9629498119437336,0.01681622325880694,3,3
54,-0.8168019637803691,-0.13247233135416575,-0.6615272048270247,-0.31730116927374835,1,0
55,-0.573175902113179,-0.056483604168643675,-0.8104087729540468,-0.6371397406826129,1,0
56,0.12767879012144462,-0.5779038043105231,-1.120885347130119,-0.4750436022419141,0,0
57,-0.7454972895598764,0.0108939761020167,-0.8617011296990821,-0.2561767096727484,1,2
58,-0.8072950239440055,-0.08590055048092105,-0.4218027807325177,-0.8503459940197075,1,0
59,-0.8711594990163378,0.25454068075309233,-0.4571656815688444,-0.9070154652465018,1,1
60,-0.7164365684194545,-0.9462688492116766,-0.47817936167261066,0.23311093353162426,3,3
61,-1.2119951886828453,-0.05748184963405978,-0.6313340618826397,0.04993771173582129,3,2
62,0.013080815129516699,-0.11383650470912565,-0.741092398015993,-1.3406655453428884,0,1
