KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,10.0,auto,0.7471762137535,0.6854979615608618,0.6160596026490066,0.5859728506787331,0.5859728506787331,0.5859728506787331
linear,1000.0,auto,0.7482751767832566,0.6878276062900407,0.6151844843897825,0.5927601809954751,0.5927601809954751,0.5927601809954751
linear,100.0,auto,0.7483997555882493,0.6895748398369248,0.6148533585619678,0.5904977375565611,0.5904977375565611,0.5904977375565611
linear,100.0,auto,0.7585876575190912,0.691322073383809,0.6128246753246753,0.5972850678733032,0.5972850678733032,0.5972850678733032
linear,1000.0,auto,0.7587225775115358,0.6924868957483983,0.6128021284271286,0.5995475113122172,0.5995475113122172,0.5995475113122172
linear,1.0,auto,0.7472503678040909,0.6849155503785671,0.6089877010406812,0.590497737556561,0.5904977375565611,0.5904977375565611
linear,10.0,auto,0.758977426386153,0.6919044845661037,0.6083829365079364,0.6018099547511312,0.6018099547511312,0.6018099547511312
linear,1.0,auto,0.7573928660304441,0.6930693069306929,0.6067821067821068,0.5904977375565611,0.5904977375565611,0.5904977375565611
linear,0.1,auto,0.7406640050306108,0.6715200931857892,0.590728476821192,0.5678733031674208,0.5678733031674208,0.5678733031674208
linear,0.1,auto,0.7450237009453393,0.6796738497379151,0.5802895021645023,0.5565610859728506,0.5565610859728507,0.5565610859728507
linear,0.01,auto,0.6908992216790849,0.6406523005241701,0.5770577105014191,0.5610859728506787,0.5610859728506787,0.5610859728506787
linear,0.01,auto,0.6973159916169711,0.6587070471753058,0.5600198412698412,0.5452488687782806,0.5452488687782805,0.5452488687782805
