,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DirectPBLN329,0.8839531999999999,-1.8045276000000001,-0.21257257,0.6911634,0.8042149000000001,-0.32703024,-0.04950224,-0.9280200000000001,0.31276083,0.1883589,-0.030285597,0.9763644,0.58067465,-1.2532885,-0.072271764,-2.2976074,1.2649373,-0.25756276,2.0764186000000002,-0.11174144,0.68787336,0.11556871,0.88361454,-0.05886212,-0.7084062,-1.1358763,-0.38941503,0.49808407,-1.3167534,-1.2506921,-1.4731065,-1.1624703
DirectPBLN089,-0.7067595,-0.7151071999999999,-0.8920599,0.04906094,-0.02093333,0.20091024,0.17267832,1.1883011,-1.0237508,-0.18869044,-0.9976809000000001,0.7637762,-0.62795734,-0.54354864,0.37738025,-0.19207326,1.5596707,-0.26080644,0.6875346999999999,-0.32288912,-2.0363677,-0.18581071,-1.1522477,0.43459030000000004,-0.014555737,1.0519242,-0.6139683000000001,1.3066704,-1.5846356000000001,-1.8440515,-1.2062726000000001,0.30486602
DirectPBLN006,-2.3217735,-0.7756664000000001,-0.7154838000000001,-1.5533128999999999,0.739158,-1.028094,1.0057797,1.2683837,-0.031331837,-0.19336292,0.45065150000000004,0.54262507,0.16168383,0.9141829,-0.7153105,0.68273175,-0.35694509999999996,2.2957834999999998,0.431279,-0.5036364999999999,1.3519313,-0.79767436,1.2956295,-0.33224258,-1.0483937,-0.13761804,-1.459829,0.8183169,-1.2721163999999998,0.14705768,0.46748737,0.71581554
DirectPBLN299,2.3449285,2.2216897,-0.94916785,-0.9007109000000001,0.29901412,-0.2547957,-0.63337624,-1.9699578000000002,-1.9400766,0.16032729,-2.4862275,0.13620919,-1.5564655,-1.0697128999999999,0.42569312,-0.15914859,-0.039822623,1.0601543,0.36288828,0.47854847,1.2423111,0.2036914,-0.18604276,-2.071198,-0.55144477,0.23682176,0.59853816,-1.8980258,0.10940498,-1.7046139,-1.0360055000000001,-0.07953888
DirectPBLN270,-1.3409061000000002,0.14781217,0.6820569000000001,0.9780236999999999,1.6522324000000002,-1.8407127,0.05044447,-1.9275817,1.4495301,-0.842044,-0.76567554,-0.07004121,2.2239394,0.32537627,-0.17078182,-0.47103962,0.70386887,1.2863196000000001,0.15246679999999999,-0.08609915,1.025415,-0.89771104,1.50274,-1.4944153,0.2773193,1.3906771999999998,0.06291413,1.1277845,-1.8232523999999997,-1.0726336,-1.1609180000000001,-0.5063144
DirectPBLN041,-0.031139504,1.7675502,0.07317862,0.49769830000000004,2.0920877,-0.5191622,-0.90903777,0.11168261,0.35717790000000005,1.0425458,-0.09005383,-0.20961016,-0.9045553,-0.5655653,1.4966441000000001,0.3466982,1.3625826,-1.1800939,-0.98175824,-1.5117786,-0.2403188,-0.4789849,-0.59919995,0.601352,-0.20135593,1.5076311000000002,-0.29748482,-0.26415533,-2.1890216000000002,0.81871545,-1.3963848,1.7467110000000001
DirectPBLN351,1.1912478000000002,-0.046845555,-0.528975,2.9536674,0.91752356,0.40607536,0.41143137,1.5337794,-0.21944523,-0.9296745000000001,-1.3743497,-0.64155036,-0.2583734,0.7114081,-0.57188374,0.9625328000000002,-0.8227848,-1.2096701,-0.021469267,-0.13402644,1.7263558999999997,-0.6238059,1.457335,-0.58119965,-1.3997693000000002,-1.1588893,-0.54941416,1.1035663999999998,-0.28043506,0.56258714,-0.07350537,0.43740684
DirectPBLN250,2.3308256000000003,0.9028578000000002,0.77391547,-1.7883099999999998,-1.0114067,-1.7765572,-0.080218956,-2.1745167000000003,1.4687232,-1.8093834,0.030773044,0.35279092,1.0271610999999998,0.30690402,0.39822328,-0.020936042,0.011260688,1.2767026000000001,0.7399323,-2.1136374,0.5927916999999999,0.5704241999999999,-0.35567182,-0.27346492,1.100222,0.80351835,-2.376398,-1.4519781,-0.074526325,0.37181395,1.1457598,-2.89569
DirectPBLN272,-0.45211643,1.4867903999999998,0.69526637,-0.85340524,2.9871369999999997,0.012919068,-0.47550190000000003,-0.95715386,0.057899594000000006,-1.404021,1.4149188999999998,-0.20705044,0.33520818,-0.23953447,0.9913448,-0.4726777,-1.070411,0.7806888000000001,-0.40773940000000003,0.8418751,1.1342152,0.53589034,-0.5914742,0.11682612,-0.42788824,1.6306534,-0.89641905,1.5519923999999998,-0.88038677,-0.48274565,-0.15423417,0.23567654
DirectPBLN019,1.6579186999999997,-1.3428226,0.33300748,0.42197773,-0.13704307,-1.0499234,-1.0380723,0.69696367,1.2271041,-0.6395187,0.20332752,0.9053794,0.3393454,-1.6404281000000003,1.562625,0.79848343,-0.49364948,0.5902134,0.073881984,-0.9379904,2.3703220000000003,-0.62872815,1.3336993000000001,-0.4549991,1.7956151999999999,-0.6239845,0.11206728,0.036436707,-0.5018090999999999,0.48544294,-1.3887928,0.7269751
