feature_id	taxonomy	control.1	control.13	control.15	control.16	control.18	control.19	control.20	control.22	control.27	control.28	control.29	control.3	control.30	control.31	control.38	control.4	control.40	control.43	control.45	control.5	control.6	control.7	control.8	FIBRO.1	FIBRO.10	FIBRO.11	FIBRO.13	FIBRO.15	FIBRO.17	FIBRO.18	FIBRO.19	FIBRO.2	FIBRO.20	FIBRO.21	FIBRO.22	FIBRO.23	FIBRO.24	FIBRO.25	FIBRO.26	FIBRO.27	FIBRO.28	FIBRO.3	FIBRO.4	FIBRO.5	FIBRO.6	FIBRO.7	FIBRO.8	FIBRO.9	our.control.18	our.control.19	our.control.22	our.control.23	our.control.25	our.control.4	FIBRO.29	FIBRO.30	FIBRO.31	FIBRO.32	FIBRO.33	FIBRO.34	FIBRO.35	FIBRO.36	FIBRO.37	FIBRO.38	FIBRO.39F	FIBRO.40	FIBRO.41	FIBRO.43	FIBRO.44
948ff1ff39c9b2f9b587ba8ecd907de6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1aa447d3827cc848eaf25f6e3c31abae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
887b14f66f47689a79c6eecd93d06ce6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	29	119	71	80	131	72	388	102	0	55	0	75	19	21	299	34	163	1777	64	2095	10029	144	184	51	0	97	0	0	0	0	0	0	3658	17	34	0	0	0	2026	0	0	1067	666	36	0	79	5948	101	74	124	194	35	117	498	16	20	0	32	20	45	346	0	0	0	70	0	0	0	11
a12be1240a41953474c22834e1195a47	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	134	36	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40975632e1cdf0401349bf218b121ad7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0	0	10	4	0	0	0	9	0	0	0	0	0	0	0	0	0	24	0	0	0	3	5	0	11	13	0	14	0	4	0	13	6	12	0	0	30	27	52	0	0	0	17	0	0	0	71	8	0	0	0	3	0	0	0	0	0	0	0	7	5	0	0	4	0	0	4	0	9
9101e7100c8e3ce3db5e4db60aa62a27	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32abf98650c556f92b025e45af7c2552	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	686	2342	285	1595	2721	232	821	961	68	1954	396	1210	1524	179	1804	639	345	2465	1496	275	385	1709	1023	3199	697	2835	626	3325	2344	853	3120	31	687	1140	1651	0	507	2858	3793	581	611	417	3434	444	5839	159	883	832	1005	2933	439	549	160	813	28	1450	0	26	306	139	150	508	1177	140	32	599	141	102	46
95312876387270ec0f462a0863035e6b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	377	0	0	67	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	280	0	0	0	0	0	0	160	0	0	0	0	0	0	51	0	0	0	0	0	57	0	0	0	0	0	0
35757a80547c9e483681495e76439dab	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	20	0	0	0	0	9	0	0	0	0	0	7	3	0	0	4	7	6	0	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	2	0	11	0	0
3a9d3fe2de6aefa1a96675b76b233012	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
709880ad324afeee5ee911eafd46fd0d	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
3c7ddf308df192c7697ac12d22206717	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	1565	0	0	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212
73be4d474c1eace652aa4dec043ae4b6	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	26	1639	0	507	0	60	0	248	0	0	0	0	1269	510	0	152	0	0	0	37	4866	2865	1238	0	273	1054	4331	0	0	0	147	87	0	23	18	0	2019	0	38	215	0	465	0	0	46	0	1194	0	262	457	0	225	105	6023	93	12	0	67	0	392	232	7271	0	786	0	489	77	0	0
c94b999d3d7bac311b23804098e875a1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	751	0	965	169	132	124	135	106	323	607	0	83	812	11	0	0	0	225	41	418	87	6959	44	0	0	191	0	0	0	3597	0	12	60	178	0	0	453	44	1902	2948	2121	46	63	129	0	0	0	184	45	0	2089	113	0	66	30	370	1046	25	0	0	332	0	0	0	41	104	0	37	113
